learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.094930114,5.19152936126565E-7,1000.0,0.5,0.0,0.899,0.0,0.0,0.11234705228031146,0.0,0.0,-0.01000000000000001,1000.0,1832976.0
2000.0,3.441252578,1.984323045921897E-6,2000.0,0.5868444444444444,0.24432158259592487,0.797,0.1309931506849314,0.5,0.1111111111111111,0.521536192416212,0.32,-1.03,2000.0,2413808.0
3000.0,5.643793145,5.506390861682568E-6,3000.0,0.7289162035697538,0.2865357197883005,0.631,0.1331842441554536,0.5868444444444444,0.1273957158962796,0.6412722187688435,0.6548672566371682,-2.5367412140575096,3000.0,4580224.0
4000.0,7.997453881,1.0280107850259617E-5,4000.0,0.6431709184701567,0.2210973574729497,0.673,0.08968420114916908,0.7289162035697538,0.088139281828074,0.603259593864173,0.5308641975308642,-2.3197969543147194,4000.0,7839984.0
5000.0,10.367047827,1.5564067342277427E-5,5000.0,0.6461389172625127,0.19796802364969684,0.713,0.17133452676560618,0.6431709184701567,0.12359550561797752,0.6467487636074641,0.5727272727272728,-1.8472222222222225,5000.0,8619616.0
6000.0,12.339769995,2.0513422281306346E-5,6000.0,0.6933226922053738,0.21710680538390764,0.722,0.17763644431297157,0.6461389172625127,0.11731843575418995,0.6550274196226968,0.580952380952381,-1.7389162561576348,6000.0,9698064.0
7000.0,14.904410272,3.809160523208725E-5,7000.0,0.6863506833381797,0.21065901636699497,0.712,0.1291463820265487,0.6933226922053738,0.10497237569060773,0.6147077831146214,0.5157894736842106,-1.863636363636365,7000.0,1.2541968E7
8000.0,17.428689341,5.002806266282419E-5,8000.0,0.6474727363229106,0.17956329000214713,0.734,0.13366336633663356,0.6863506833381797,0.10864745011086474,0.5983521120638856,0.46938775510204084,-1.6533665835411486,8000.0,1.8278496E7
9000.0,20.03896386,5.5318615850970583E-5,9000.0,0.7179540941550833,0.2307528939275919,0.758,0.1666379696270534,0.6474727363229106,0.09769484083424808,0.6355719482694334,0.5168539325842697,-1.4444444444444449,9000.0,7834608.0
10000.0,22.375517722,7.035351842342384E-5,10000.0,0.7766408554572272,0.247270762188267,0.771,0.23362158978340603,0.7179540941550833,0.10619469026548672,0.6957387152387066,0.6145833333333334,-1.3201621073961496,10000.0,2.4872944E7
