learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.186613133,1.4212734364800983E-10,1000.0,0.9754476071617146,0.8068064860163584,0.943,0.8860282649902823,0.0,0.9920318725099602,0.9425615177564995,0.9759036144578314,0.8846153846153845,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.21847056,1.663904349009196E-10,2000.0,0.981592,0.8221222735820308,0.957,0.9139999999999999,0.9754476071617146,1.0,0.9563597649420431,0.992,0.9136546184738955,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.240554546,1.8320992781056296E-10,3000.0,0.9904044771100543,0.8489634149946792,0.963,0.9260703809972906,0.981592,0.9455252918287937,0.9633730433713746,0.9938271604938271,0.9251012145748987,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.275440008,2.33604935730497E-10,4000.0,0.97509765625,0.8043542039346652,0.942,0.8842222931970616,0.9904044771100543,0.953125,0.9418550654933548,0.9938524590163934,0.8810866222450024,4000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.303459712,2.9321838815179134E-10,5000.0,0.9810093881670645,0.8207877018948639,0.95,0.9002011943921054,0.97509765625,0.9305019305019305,0.9505635318338043,0.995850622406639,0.8972461981093299,5000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.320783464,3.3007561782168013E-10,6000.0,0.9902287043822658,0.8654100834963097,0.972,0.9440418566911949,0.9810093881670645,0.9342359767891683,0.9725437741561576,1.0,0.9423868312757201,6000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.336935977,3.6444097247388624E-10,7000.0,0.9795619561956196,0.8294126472948036,0.955,0.9100719424460431,0.9902287043822658,0.9801980198019802,0.9544061447355161,1.0,0.9076517150395778,7000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.352326848,3.9718589212331503E-10,8000.0,0.9875998015968256,0.8390579289745846,0.961,0.9219744076056946,0.9795619561956196,1.0080321285140563,0.9600451796597658,1.0,0.9201841903300076,8000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.377455076,4.694735710902346E-10,9000.0,0.9816895597242418,0.8119231540114458,0.941,0.8823219670980196,0.9875998015968256,0.9267822736030829,0.9415264551051219,0.9958419958419958,0.8790157211209841,9000.0,11120.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
10000.0,0.395257814,5.31667337624563E-10,10000.0,0.980426747311828,0.8694944212451168,0.96,0.9199436403227872,0.9816895597242418,1.0161290322580645,0.9588299321097967,1.0,0.9184172955333468,10000.0,13504.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
