learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.044143401,4.950727954554433E-7,1000.0,0.5,0.0,0.493,0.0,0.0,1.028397565922921,0.0,0.0,-0.04536082474226808,1000.0,1832976.0
2000.0,3.061708267,1.0558510124395661E-6,2000.0,0.7452965296529653,0.512735391595964,0.722,0.4464246599892471,0.5,1.02020202020202,0.6895908595358232,0.502970297029703,0.4326530612244897,2000.0,1074400.0
3000.0,5.00095806,3.878541258272578E-6,3000.0,0.9847864786478648,0.844688632035212,0.936,0.8721508619828603,0.7452965296529653,0.9801980198019802,0.9344877349289681,1.0,0.8689419795221844,3000.0,5626416.0
4000.0,7.109803969,5.142075548448745E-6,4000.0,0.9920054097527599,0.8610799423663353,0.954,0.9078174786076431,0.9847864786478648,1.0366598778004072,0.9520050659640321,1.0,0.9050567595459236,4000.0,2316032.0
5000.0,8.956682149,1.1350148564817093E-5,5000.0,0.9890156045617642,0.7906070017340656,0.931,0.862105902666752,0.9920054097527599,0.9880715705765407,0.9290161842285312,0.9979879275653923,0.8573200992555833,5000.0,1.101944E7
6000.0,11.133639159,2.0532808438686904E-5,6000.0,0.993890977443609,0.8042373511813028,0.946,0.8923032739804709,0.9890156045617642,0.8796992481203008,0.9478904159244906,1.0,0.8877338877338876,6000.0,9781168.0
7000.0,13.234384598,3.4126573463750416E-5,7000.0,0.9898800659717218,0.7534685990463211,0.938,0.8763324184591816,0.993890977443609,0.9455252918287937,0.9377512633457844,1.0,0.8720141551164847,7000.0,2.5013168E7
8000.0,15.867396929,5.025758358184873E-5,8000.0,0.9898879551820728,0.765733624599931,0.935,0.8696088264794385,0.9898800659717218,1.0408163265306123,0.9313146293146641,1.0,0.8664612223934259,8000.0,2.36816E7
9000.0,18.227637474,5.813791494715563E-5,9000.0,0.9883952572964669,0.7732626557636395,0.948,0.8960798107053782,0.9898879551820728,0.9841269841269841,0.9470086572072067,1.0,0.8926605504587155,9000.0,1.2905968E7
10000.0,20.344816858,7.354952518552656E-5,10000.0,0.9933066881108698,0.7645804452000899,0.949,0.8981255093724531,0.9883952572964669,0.9723865877712031,0.9483713850721502,1.0,0.8949103647228518,10000.0,2.8137968E7
