learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.195130236,7.109649903203051E-9,1000.0,0.9646909104006339,0.6621589727657624,0.918,0.8357615257353679,0.0,1.0449897750511248,0.9171669087178235,0.9412915851272016,0.8309278350515464,1000.0,140840.0,15.0,0.5723041200983547,0.4276958799016454,1088.7333333333333,8.61032971365079,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.310126129,1.1299572266317491E-8,2000.0,0.9629274068385094,0.6790250445438231,0.911,0.8219358969228923,0.9646909104006339,1.0080321285140563,0.90979406659084,0.954183266932271,0.8181818181818182,2000.0,140840.0,15.0,0.5029251554762355,0.4970748445237644,2181.5333333333338,12.38004025944171,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.375578624,1.3684360673692493E-8,3000.0,0.9731361316029509,0.6869502006340131,0.917,0.8339083173912,0.9629274068385094,1.0242914979757085,0.9166073228671829,0.9347826086956522,0.8294520547945207,3000.0,140840.0,15.0,0.4485502876291891,0.5514497123708109,3293.733333333333,16.865142035364393,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.513679656,2.1828650149951378E-8,4000.0,0.9651231195898815,0.6526703548846403,0.91,0.8200870778543184,0.9731361316029509,0.9569471624266145,0.9102202999721161,0.9304703476482618,0.8148148148148149,4000.0,227960.0,15.0,0.5019613529952913,0.4980386470047087,4415.2,15.82559710751931,8704.0,36.28458940888578,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.585096977,2.6193500162849412E-8,5000.0,0.9756791244484802,0.7058171837904212,0.927,0.853943914463154,0.9651231195898815,1.012072434607646,0.9263557053616839,0.9562624254473161,0.8512026090501428,5000.0,236248.0,15.0,0.4181841628736826,0.5818158371263172,5544.733333333333,17.5383842082137,9251.733333333332,401.72190649593665,5.4,0.28949874578229834,3.2,0.14474937289114917,3.2,0.14474937289114917,2.066666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.653149942,3.048878320889341E-8,6000.0,0.9786531751849671,0.7207179577175944,0.931,0.8623556729411203,0.9756791244484802,0.9267822736030829,0.9315519778532311,0.9833679833679834,0.8589437819420784,6000.0,243976.0,15.0,0.5862130205312617,0.4137869794687382,6658.666666666666,21.12156800336176,9762.133333333333,450.6834372760116,5.8,0.32659863237109044,3.4,0.16329931618554522,3.4,0.16329931618554522,2.2000000000000006,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.718855685,3.4781285139326425E-8,7000.0,0.9820668522785458,0.7214518454551203,0.931,0.862090468652564,0.9786531751849671,0.9841269841269841,0.930294248414378,0.9758064516129032,0.8593067288086222,7000.0,252528.0,15.0,0.4426663007431653,0.5573336992568346,7754.066666666667,22.417779225356494,10327.466666666667,532.3689185112381,6.199999999999998,0.3804758924845368,3.599999999999999,0.1902379462422684,3.599999999999999,0.1902379462422684,2.333333333333333,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.803191359,4.107560408144776E-8,8000.0,0.9722625634624387,0.6827620517438278,0.91,0.8201963455906152,0.9820668522785458,0.9723865877712031,0.909526326543207,0.9553752535496958,0.816793893129771,8000.0,288496.0,15.0,0.49365970036563267,0.5063402996343673,8866.8,24.15213684719665,12705.6,374.9685548720815,7.933333333333334,0.3304638394837614,4.466666666666667,0.1652319197418807,4.466666666666667,0.1652319197418807,3.133333333333334,0.09085135251589962,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.887069252,4.807526809326477E-8,9000.0,0.9800343366189236,0.7404978857190887,0.939,0.8777310082180797,0.9722625634624387,1.0449897750511248,0.9372433823593335,0.9784735812133072,0.8753122870769928,9000.0,322576.0,15.0,0.3725967326008705,0.6274032673991295,9977.6,25.475067175947665,14958.400000000001,396.3868817203718,9.533333333333333,0.23637473611411147,5.266666666666667,0.11818736805705574,5.266666666666667,0.11818736805705574,3.933333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.956812823,5.404884908166818E-8,10000.0,0.9832037312597002,0.7507820202661997,0.944,0.8880304557160451,0.9800343366189236,0.9920318725099602,0.9434650189698992,0.9799196787148594,0.8859005704971474,10000.0,331080.0,15.0,0.3922420672436278,0.6077579327563722,11111.266666666666,27.959744304755315,15521.06666666667,351.27272631670155,9.799999999999999,0.2618614682831907,5.3999999999999995,0.13093073414159534,5.3999999999999995,0.13093073414159534,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
