learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.187350426,1.426888769865036E-10,1000.0,0.9527832445319125,0.5835970084298363,0.894,0.7880373054342436,0.0,0.9920318725099602,0.8937834086513943,0.9176706827309237,0.7670329670329671,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.230648796,1.7566556096076966E-10,2000.0,0.956771527219335,0.6000205736727303,0.908,0.8157368722535782,0.9527832445319125,1.028397565922921,0.9062344989844302,0.9526627218934911,0.8065194532071505,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.277993799,2.4415741783256335E-10,3000.0,0.9311854813854166,0.5707709959099114,0.881,0.7614044655460028,0.956771527219335,1.053388090349076,0.8791828721405586,0.9181286549707602,0.750524109014675,3000.0,5592.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.327115821,3.5598695738655E-10,4000.0,0.9336631562936545,0.6189520092691114,0.884,0.7671888860790996,0.9311854813854166,1.053388090349076,0.8806703652772584,0.9395711500974658,0.7580813347236706,4000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.347319299,4.0198151441290977E-10,5000.0,0.9455342136854742,0.6415882180520853,0.888,0.7755151126433096,0.9336631562936545,1.0408163265306123,0.8858678822273132,0.9333333333333333,0.7692624639472601,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.365692707,4.438097957625158E-10,6000.0,0.9531588191285492,0.6540290546564514,0.898,0.7963706054979938,0.9455342136854742,0.9723865877712031,0.8962128244427393,0.9695740365111561,0.7904827114002054,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.38286372,4.829007451836434E-10,7000.0,0.960344,0.6766103420505183,0.917,0.8340000000000001,0.9531588191285492,1.0,0.9158951905103553,0.962,0.8301169590643276,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.405904507,5.528074603672656E-10,8000.0,0.945540514592934,0.6581720849730299,0.894,0.7877690927729369,0.960344,1.0161290322580645,0.8911244708684893,0.9583333333333334,0.7830647224354055,8000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
9000.0,0.427909457,6.362396173737942E-10,9000.0,0.9495589558955896,0.7069064173304513,0.909,0.8182036119546109,0.945540514592934,0.9801980198019802,0.9076135610697009,0.9696969696969697,0.8139904610492846,9000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
10000.0,0.449152437,7.312910673249926E-10,10000.0,0.9506306263033811,0.6957904347437257,0.906,0.8111456227975361,0.9495589558955896,1.053388090349076,0.9007688360057987,0.9805068226120858,0.8081241069606042,10000.0,17296.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
11000.0,0.464815139,8.013736327302951E-10,11000.0,0.965392065829918,0.7034957834487852,0.913,0.8252871716603744,0.9506306263033811,1.0491803278688525,0.9080941524721423,0.986328125,0.8224160326591206,11000.0,17296.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
12000.0,0.479132947,8.654384866501721E-10,12000.0,0.9579112238071775,0.6957263350741549,0.906,0.8106037709998106,0.965392065829918,1.079002079002079,0.899192717192254,0.9845857418111753,0.8077709611451943,12000.0,17296.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
13000.0,0.493461179,9.295499826284745E-10,13000.0,0.9712331233123312,0.7233225908383362,0.92,0.8401949621461817,0.9579112238071775,0.9801980198019802,0.9183399886934487,0.9858585858585859,0.836709059506987,13000.0,17296.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
14000.0,0.515196206,1.0564918286787965E-9,14000.0,0.9517307692307693,0.7048809969937353,0.914,0.8266408643767135,0.9712331233123312,1.0833333333333333,0.9070768774136301,0.9923076923076923,0.8245409501603032,14000.0,22576.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
15000.0,0.532069358,1.1665621017602581E-9,15000.0,0.9493840579710144,0.7087815254307869,0.905,0.8113582208101668,0.9517307692307693,0.8518518518518519,0.9078961186825509,0.9891304347826086,0.8057259713701432,15000.0,25216.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
16000.0,0.549186704,1.2911913228469589E-9,16000.0,0.9581957403204566,0.719897018180161,0.909,0.818641284418297,0.9493840579710144,0.949317738791423,0.9076413925767834,0.9897330595482546,0.8138583482485299,16000.0,28144.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
17000.0,0.563690835,1.3967940575857127E-9,17000.0,0.9627289146253069,0.7156170891017541,0.901,0.8029646849027163,0.9581957403204566,0.9342359767891683,0.8998400008353327,0.989648033126294,0.7973509933774835,17000.0,28144.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
18000.0,0.57868892,1.5059932086306312E-9,18000.0,0.9673696044424708,0.7266617784770235,0.912,0.8236098249327513,0.9627289146253069,1.028397565922921,0.908025111922771,0.9842209072978304,0.8201430680140798,18000.0,28144.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
19000.0,0.593296264,1.6123474241068792E-9,19000.0,0.9601443609022556,0.7195593127022012,0.911,0.8200566114031541,0.9673696044424708,1.105263157894737,0.9023678125758544,0.9942857142857143,0.8176819407008087,19000.0,28144.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
20000.0,0.611130658,1.7557065005372793E-9,20000.0,0.9486837680741701,0.7301128260363225,0.913,0.8265536407786348,0.9601443609022556,0.9455252918287937,0.9123445511991621,0.9835390946502057,0.8217578365089122,20000.0,31072.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
21000.0,0.627736013,1.901764285818984E-9,21000.0,0.9449177796711187,0.7271863100559067,0.907,0.8140550397082464,0.9486837680741701,0.9960079840319361,0.9040593284143896,0.9819639278557114,0.8096676737160121,21000.0,34000.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
22000.0,0.642328974,2.0301214070224925E-9,22000.0,0.9562253965584215,0.7616147691622828,0.927,0.8533417979893764,0.9449177796711187,1.0703933747412009,0.9238108903366733,0.97678916827853,0.8505768515072573,22000.0,34000.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
23000.0,0.656959317,2.158807333730575E-9,23000.0,0.959156,0.7555672025350892,0.926,0.8520000000000001,0.9562253965584215,1.0,0.9240541109696986,0.986,0.848724557817083,23000.0,34000.0,23.0,12.0,12.0,8.0,0.0,0.0,1.0
24000.0,0.673790426,2.317161604341947E-9,24000.0,0.9790105067589211,0.7994988110676113,0.944,0.8875827070084151,0.959156,1.0661157024793388,0.9415773178415914,0.9864341085271318,0.8852263023057215,24000.0,36368.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
25000.0,0.688304644,2.4547689285025824E-9,25000.0,0.9681358725434902,0.7920463276960814,0.938,0.8760252908406683,0.9790105067589211,0.9960079840319361,0.9366683027571914,0.9899799599198397,0.8730860558421353,25000.0,36648.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
26000.0,0.702960637,2.593720402129822E-9,26000.0,0.9780773894564969,0.7800220896720255,0.929,0.857510977675382,0.9681358725434902,1.0449897750511248,0.924950851934302,0.9960861056751468,0.8547028728846912,26000.0,36648.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
27000.0,0.719947993,2.7676075629972745E-9,27000.0,0.9572702447306042,0.7965168732804985,0.933,0.8653710133744857,0.9780773894564969,1.0661157024793388,0.9292212734474108,0.9903100775193798,0.862861041619286,27000.0,39568.0,27.0,14.0,14.0,9.0,0.0,0.0,1.0
28000.0,0.736410896,2.9485965302834905E-9,28000.0,0.9592559255925592,0.8032004951749416,0.933,0.8658390068081699,0.9572702447306042,1.02020202020202,0.9307795845760188,0.9881188118811881,0.8628354171236383,28000.0,42496.0,29.0,15.0,15.0,10.0,0.0,0.0,1.0
29000.0,0.751527797,3.1147878940155107E-9,29000.0,0.9738822115384616,0.8165748719494055,0.943,0.8854777786707384,0.9592559255925592,1.0833333333333333,0.9406038363323195,0.9807692307692307,0.883246221217686,29000.0,42496.0,29.0,15.0,15.0,10.0,0.0,0.0,1.0
30000.0,0.768578207,3.3022357637931902E-9,30000.0,0.967152215861452,0.8021368948831104,0.937,0.8730678099966153,0.9738822115384616,1.1141649048625792,0.9335337438956839,0.9791271347248577,0.8708222267787575,30000.0,42496.0,29.0,15.0,15.0,10.0,0.0,0.0,1.0
31000.0,0.783002622,3.460814112615254E-9,31000.0,0.977671068427371,0.8137272585538631,0.939,0.8777113989014073,0.967152215861452,1.0408163265306123,0.9366487732174467,0.9882352941176471,0.8749421334567818,31000.0,42496.0,29.0,15.0,15.0,10.0,0.0,0.0,1.0
32000.0,0.797477646,3.6199488439079787E-9,32000.0,0.9749430888454137,0.8217747988699411,0.946,0.8918576847130824,0.977671068427371,1.028397565922921,0.9445500866940777,0.9861932938856016,0.8893300883822209,32000.0,42496.0,29.0,15.0,15.0,10.0,0.0,0.0,1.0
33000.0,0.811881543,3.778301623057988E-9,33000.0,0.9702099800784011,0.8116979820832493,0.94,0.8787584869059165,0.9749430888454137,1.1367521367521367,0.9352211072122792,0.9887218045112782,0.8768733287730861,33000.0,42496.0,29.0,15.0,15.0,10.0,0.0,0.0,1.0
34000.0,0.827869856,3.966183827109635E-9,34000.0,0.9491506324478125,0.790535507562333,0.927,0.8544541031980223,0.9702099800784011,0.8552875695732839,0.9296375372606042,0.9848156182212582,0.8502383394678092,34000.0,45424.0,31.0,16.0,16.0,11.0,0.0,0.0,1.0
35000.0,0.842448644,4.137502390978237E-9,35000.0,0.955927592759276,0.8147239226718076,0.947,0.8938981422165277,0.9491506324478125,1.02020202020202,0.9455630116184189,0.9900990099009901,0.8914125153661534,35000.0,45424.0,31.0,16.0,16.0,11.0,0.0,0.0,1.0
36000.0,0.858576894,4.33924578304506E-9,36000.0,0.9672721804511278,0.8332281880586702,0.952,0.9035466693459258,0.955927592759276,1.105263157894737,0.9504622276110125,0.9752380952380952,0.901583323840984,36000.0,48352.0,33.0,17.0,17.0,12.0,0.0,0.0,1.0
37000.0,0.87465672,4.550200729436345E-9,37000.0,0.9612118448473794,0.8224197538048249,0.948,0.896015389722321,0.9672721804511278,0.9960079840319361,0.9473181037256485,0.9859719438877755,0.8933894830165677,37000.0,50712.0,35.0,18.0,18.0,12.0,0.0,0.0,1.0
38000.0,0.889372643,4.744328283307454E-9,38000.0,0.9592040100250626,0.8143590174936262,0.939,0.8772635814889335,0.9612118448473794,1.105263157894737,0.9363160360146812,0.9752380952380952,0.8749055585536966,38000.0,50992.0,35.0,18.0,18.0,12.0,0.0,0.0,1.0
