learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.023857712,4.854544875186683E-7,1000.0,0.5,0.0,0.478,0.0,0.0,1.0920502092050208,0.0,0.0,-0.09205020920502101,1000.0,1832976.0
2000.0,3.288246559,1.07776758670001E-6,2000.0,0.663434653738615,0.3904159505123407,0.677,0.3546762992383982,0.5,1.0040080160320641,0.6246675602576489,0.4151696606786427,0.32071503680336505,2000.0,1011120.0
3000.0,5.329545847,4.014514898956704E-6,3000.0,0.904475425387562,0.6336065390052423,0.867,0.7345245794310442,0.663434653738615,1.053388090349076,0.8669325594960631,0.8206627680311891,0.7170212765957447,3000.0,5561120.0
4000.0,7.279700667,5.167203156109456E-6,4000.0,0.8694064658192373,0.5716241407263124,0.848,0.6969636555752706,0.904475425387562,1.0618556701030928,0.8475296312390768,0.7864077669902912,0.679155672823219,4000.0,2284784.0
5000.0,9.234728819,1.1600861113895214E-5,5000.0,0.9109271735129859,0.5938450746159587,0.874,0.747709361184084,0.8694064658192373,0.9762845849802372,0.8723930272655434,0.8299595141700404,0.7369519832985386,5000.0,1.209352E7
6000.0,11.606418733,2.019627685547666E-5,6000.0,0.8816792822538959,0.5819591204108251,0.864,0.7263680591044992,0.9109271735129859,0.9193857965451055,0.8598466078536695,0.8058455114822547,0.7160751565762004,6000.0,9100656.0
7000.0,13.824691197,3.416002586186319E-5,7000.0,0.9063120158760642,0.5783247962884633,0.864,0.7277211864949708,0.8816792822538959,0.968503937007874,0.8631840720298335,0.8373983739837398,0.7171717171717171,7000.0,2.4332656E7
8000.0,16.372315963,4.823084088630399E-5,8000.0,0.8812935391066705,0.55053727623387,0.852,0.7034983191560119,0.9063120158760642,0.9646365422396856,0.8502953914551604,0.8105906313645621,0.6922277099038211,8000.0,2.1349424E7
9000.0,18.574785443,5.320926320326747E-5,9000.0,0.8830427384646181,0.561102653269739,0.853,0.7066336712700566,0.8812935391066705,1.0618556701030928,0.8531254542777768,0.8077669902912621,0.6955120828538549,9000.0,8737440.0
10000.0,20.532619836,6.534962055609947E-5,10000.0,0.9059663865546218,0.5785804453609346,0.877,0.7544223934832088,0.8830427384646181,1.0408163265306123,0.8765542418673098,0.8274509803921568,0.7459202644081802,10000.0,2.396944E7
11000.0,22.780099932,8.550386616175577E-5,11000.0,0.9023998333059517,0.5671739662170103,0.873,0.7447133553107662,0.9059663865546218,0.9193857965451055,0.8700018259777326,0.826722338204593,0.7390248458808145,11000.0,3.3121632E7
12000.0,25.265203905,1.1659032793349582E-4,12000.0,0.9120454299881142,0.5690725268888133,0.862,0.723257222384881,0.9023998333059517,0.9569471624266145,0.8591957269282892,0.8077709611451943,0.7165354330708661,12000.0,4.8353632E7
13000.0,28.455422725,1.5557280604448326E-4,13000.0,0.8849177037334404,0.5509180921765386,0.845,0.6874873986854309,0.9120454299881142,0.8867924528301887,0.8409291185448986,0.7957446808510639,0.680766793409379,13000.0,4.7233632E7
14000.0,31.741273511,2.0867183822682975E-4,14000.0,0.8863785514205682,0.5576998926420158,0.856,0.7111218103033221,0.8849177037334404,0.9607843137254902,0.8518393346757593,0.7857142857142857,0.703616583357836,14000.0,5.3304496E7
15000.0,35.523447268,2.704088122545817E-4,15000.0,0.8828405161372951,0.5596243954817357,0.848,0.6952099842792518,0.8863785514205682,0.953125,0.8456712908222093,0.8012295081967213,0.6872427983539094,15000.0,6.309664E7
16000.0,39.172351726,3.412363891293823E-4,16000.0,0.9224652087475149,0.583279704544001,0.877,0.7539114081069185,0.8828405161372951,0.9880715705765407,0.87639468873072,0.8490945674044266,0.7472710928470528,16000.0,7.2811072E7
17000.0,43.124697876,4.312582094164402E-4,17000.0,0.8997380605264422,0.5696638849444234,0.868,0.7348545717499598,0.9224652087475149,0.9305019305019305,0.8650490214508822,0.8195020746887967,0.728460793804453,17000.0,8.3117984E7
18000.0,47.360913747,5.368056416794188E-4,18000.0,0.8966933883768561,0.5768362045354932,0.867,0.7338339123613135,0.8997380605264422,0.9841269841269841,0.8659607340009946,0.8306451612903226,0.7265562535693889,18000.0,9.6310128E7
19000.0,51.654625675,6.268698515046717E-4,19000.0,0.8813069081947801,0.5543575441384733,0.864,0.7276993801156476,0.8966933883768561,0.9762845849802372,0.8624958675109651,0.8218623481781376,0.7199219596791675,19000.0,8.1081488E7
20000.0,55.547794732,7.228343159817244E-4,20000.0,0.8794359435943594,0.5442393180533922,0.852,0.7036740414455901,0.8813069081947801,0.9801980198019802,0.8499271954842735,0.8,0.6954732510288065,20000.0,9.4773488E7
21000.0,59.866332942,8.45733428800512E-4,21000.0,0.8897375542425261,0.5533979431445164,0.868,0.7349908451382866,0.8794359435943594,0.9455252918287937,0.8644569810717854,0.808641975308642,0.7282619351044015,21000.0,9.4776848E7
22000.0,64.326399822,9.726641118942149E-4,22000.0,0.8956341771949208,0.5731838257339952,0.87,0.7405810983397191,0.8897375542425261,1.0576131687242798,0.8699524957136003,0.8210116731517509,0.7326103216155572,22000.0,9.4780208E7
23000.0,68.785822606,0.0010995803407067512,23000.0,0.8870727072707271,0.5683059346021626,0.865,0.7302912854117553,0.8956341771949208,1.02020202020202,0.8636542073416802,0.807920792079208,0.7225449021535162,23000.0,1.10012208E8
24000.0,73.520267812,0.001230903237164384,24000.0,0.8757681966583445,0.5430189367167678,0.855,0.7104725088655315,0.8870727072707271,1.032520325203252,0.8540273513509476,0.7992125984251969,0.7021313018916373,24000.0,1.07219488E8
25000.0,78.197834225,0.0013456039296643328,25000.0,0.902479967948718,0.5525545494431217,0.848,0.6967762527928503,0.8757681966583445,1.0833333333333333,0.8485942372460348,0.8038461538461539,0.6874228839351814,25000.0,9.4786928E7
26000.0,82.451182244,0.0014499058708535336,26000.0,0.8687876024065541,0.5463947591854807,0.848,0.6957176259568879,0.902479967948718,0.9841269841269841,0.8457575181870348,0.7923387096774194,0.6877863801548427,26000.0,9.4790288E7
27000.0,86.689329198,0.0015701383020028082,27000.0,0.9031612645058024,0.5622799416735936,0.87,0.7402908742208726,0.8687876024065541,1.0408163265306123,0.869987788133029,0.8352941176470589,0.7324695121951219,27000.0,1.0953016E8
