learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.183900637,1.400614662634002E-10,1000.0,0.7658903561424569,0.34072361166155535,0.68,0.35917975008010267,0.0,1.0408163265306123,0.6788374828567236,0.707843137254902,0.3469387755102042,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.218556252,1.6645569920539858E-10,2000.0,0.7652192038353155,0.33869396147960906,0.677,0.3534051327221044,0.7658903561424569,1.0964360587002095,0.6769117900090048,0.6787762906309751,0.3298755186721992,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.242728425,1.848655864596367E-10,3000.0,0.8100878456221198,0.38669395070873747,0.736,0.4720337898374503,0.7652192038353155,1.0161290322580645,0.7360235531305562,0.7301587301587301,0.45975443383356074,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.279859743,2.4127142257988457E-10,4000.0,0.7617746989542938,0.3730816569651547,0.694,0.3891020598839692,0.8100878456221198,1.0449897750511248,0.6935191337618772,0.649706457925636,0.3735926305015353,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.314990751,3.212494912495216E-10,5000.0,0.8147853290873885,0.44872390744901347,0.753,0.5050615967875092,0.7617746989542938,0.9762845849802372,0.748241017657648,0.6761133603238867,0.4971498371335505,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.336237389,3.6961887117061354E-10,6000.0,0.8150050400806413,0.458824794895178,0.781,0.5624235739803871,0.8147853290873885,1.0080321285140563,0.7718869949367765,0.6593625498007968,0.5548780487804879,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.355574043,4.1364004589617257E-10,7000.0,0.8215941965196724,0.459526140032005,0.784,0.5664861697046085,0.8150050400806413,0.9646365422396856,0.7769270052232373,0.6904276985743381,0.5595688901835131,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.373926388,4.5542037592993845E-10,8000.0,0.8077568831418622,0.43938543619687365,0.775,0.5530783960082949,0.8215941965196724,1.0876826722338204,0.7732779573491049,0.6852207293666027,0.5446496331899824,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.391116076,4.945538402265973E-10,9000.0,0.7658040458357339,0.40673609560137247,0.738,0.4782040660251099,0.8077568831418622,1.032520325203252,0.7276012144732783,0.6043307086614174,0.46951631046119235,9000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.414195822,5.645787586520116E-10,10000.0,0.7801520608243298,0.4248249096874583,0.768,0.538620634794368,0.7658040458357339,1.0408163265306123,0.756722572427074,0.6235294117647059,0.5280716029292108,10000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
11000.0,0.436427576,6.488708470347855E-10,11000.0,0.814506606465971,0.4186269908870822,0.792,0.5866438260883391,0.7801520608243298,1.053388090349076,0.7845891486436366,0.6647173489278753,0.5762962962962964,11000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
12000.0,0.452463469,7.096712188836602E-10,12000.0,0.8170365566604217,0.41128623029524825,0.771,0.5455880368609459,0.814506606465971,1.0576131687242798,0.7607665557513963,0.6264591439688716,0.5323349217154527,12000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
13000.0,0.468290596,7.696800507522291E-10,13000.0,0.8079633544749824,0.41029171228324857,0.786,0.5669559023505796,0.8170365566604217,0.937984496124031,0.7610421049637005,0.6074380165289256,0.561198738170347,13000.0,14656.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
14000.0,0.487388006,8.565540423327022E-10,14000.0,0.812751251005004,0.4127051425070657,0.753,0.505671766052659,0.8079633544749824,0.9960079840319361,0.7342493830359178,0.5871743486973948,0.49385245901639346,14000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15000.0,0.502043316,9.232209504395723E-10,15000.0,0.8028921433176752,0.41070543040572005,0.775,0.5443610118830647,0.812751251005004,0.9342359767891683,0.7494486602351381,0.5962732919254659,0.5386192754613808,15000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.516566154,9.892852442959945E-10,16000.0,0.7526070938553788,0.3626855219659899,0.746,0.49084523699751037,0.8028921433176752,0.9880715705765407,0.7208818961144005,0.5573440643863179,0.48077168774754053,16000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
17000.0,0.531276177,1.056201041477422E-9,17000.0,0.8206971311540985,0.4264656667101957,0.793,0.5864730748024262,0.7526070938553788,1.0080321285140563,0.7803702606096021,0.649402390438247,0.5773480662983427,17000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
18000.0,0.551875746,1.1654267512510221E-9,18000.0,0.7934692504535242,0.40487032337784756,0.78,0.5546396427400189,0.8206971311540985,0.9342359767891683,0.7559262972004744,0.6066252587991718,0.5504597570666364,18000.0,20496.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
19000.0,0.568147866,1.2640999881178142E-9,19000.0,0.8167360802717333,0.45099829870587615,0.791,0.5802133881800945,0.7934692504535242,0.9723865877712031,0.7749307720496638,0.640973630831643,0.572597137014315,19000.0,23440.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
20000.0,0.586260973,1.3863450621130566E-9,20000.0,0.8287333504098361,0.416896860147212,0.784,0.5707199185957772,0.8167360802717333,1.0491803278688525,0.7749851267742572,0.6484375,0.5588685795976719,20000.0,26088.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
21000.0,0.601211869,1.4883314099473258E-9,21000.0,0.7956691729323309,0.3955407007239593,0.767,0.5416092858548102,0.8287333504098361,1.105263157894737,0.7548725597434537,0.5961904761904762,0.5234709777950916,21000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
22000.0,0.616166447,1.59034287425172E-9,22000.0,0.808687234748939,0.4162576939888948,0.783,0.5657429198085268,0.7956691729323309,0.9960079840319361,0.7686939336052121,0.6352705410821643,0.5566905005107253,22000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
23000.0,0.630883377,1.6907332416271999E-9,23000.0,0.784838287605184,0.387109249910333,0.777,0.5509609033941718,0.808687234748939,0.9646365422396856,0.751733392501798,0.5906313645621182,0.5443319118692254,23000.0,26368.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
24000.0,0.648612084,1.823813070712818E-9,24000.0,0.8140276237523943,0.4293433774633434,0.783,0.5763704513509292,0.784838287605184,1.1978021978021978,0.7808629523145589,0.634862385321101,0.5556313993174061,24000.0,29016.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
25000.0,0.663647919,1.9377681027311418E-9,25000.0,0.8003592014368057,0.4261267036348271,0.783,0.5657220621197567,0.8140276237523943,0.9960079840319361,0.7662704148545699,0.6232464929859719,0.5565636750040871,25000.0,29296.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
26000.0,0.679034094,2.054378325227234E-9,26000.0,0.8248661654135339,0.4154488197641732,0.769,0.5442888143618071,0.8003592014368057,1.105263157894737,0.7616049535442623,0.6247619047619047,0.5271610769957488,26000.0,29296.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
27000.0,0.697003857,2.2028792902227077E-9,27000.0,0.8144141764614073,0.41046570402649285,0.785,0.5667977691092556,0.8248661654135339,0.9569471624266145,0.7645043374441206,0.6196319018404908,0.5607596852300243,27000.0,31944.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
28000.0,0.713870208,2.3538158460106286E-9,28000.0,0.8054581972985084,0.3968153667415143,0.76,0.522809696506967,0.8144141764614073,1.032520325203252,0.7394349001614162,0.5748031496062992,0.5083766186260883,28000.0,34592.0,23.0,12.0,12.0,7.0,0.0,0.0,1.0
29000.0,0.728479621,2.486671620476991E-9,29000.0,0.8252817970900669,0.4561076893387517,0.781,0.5666592794275946,0.8054581972985084,1.0876826722338204,0.7743188237712249,0.6468330134357005,0.5509121764955452,29000.0,35152.0,23.0,12.0,12.0,7.0,0.0,0.0,1.0
30000.0,0.746080738,2.658754527910302E-9,30000.0,0.8110291029102911,0.44049117558987405,0.8,0.598868810044325,0.8252817970900669,0.9801980198019802,0.7866040138388939,0.6606060606060606,0.5899958999589997,30000.0,37792.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
31000.0,0.761136954,2.8059564028949375E-9,31000.0,0.7641857804129609,0.38437545582876076,0.764,0.5252750789531914,0.8110291029102911,0.9723865877712031,0.7340692175079638,0.5598377281947262,0.5159454810109833,31000.0,37792.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
32000.0,0.776138427,2.952623065563126E-9,32000.0,0.8214421716351801,0.40809150017036055,0.771,0.549297770500063,0.7641857804129609,1.0964360587002095,0.7564673594440499,0.5908221797323135,0.5301660575751748,32000.0,37792.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
33000.0,0.791719342,3.1049548268752797E-9,33000.0,0.784249712943737,0.40896579418851003,0.78,0.5620234516533614,0.8214421716351801,1.028397565922921,0.7639046903074174,0.6134122287968442,0.5487880671224363,33000.0,37792.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
