learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.144966353,5.279808160526057E-9,1000.0,0.6879911964785914,0.15161904834050316,0.633,0.26661604252427956,0.0,0.9607843137254902,0.6330310350342443,0.6571428571428571,0.22245762711864403,1000.0,140784.0,15.0,0.4426100035257085,0.5573899964742915,1093.7333333333333,9.061938543089452,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.230075961,8.379578511081635E-9,2000.0,0.6758132684426229,0.1558695851696284,0.598,0.19569114539983354,0.6879911964785914,1.0491803278688525,0.5978376603092318,0.603515625,0.18042813455657494,2000.0,140784.0,15.0,0.4956763036870768,0.5043236963129232,2219.3333333333335,12.138748137646079,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.298105735,1.0814906330895093E-8,3000.0,0.67797974458474,0.16533443374125523,0.613,0.22663106904765704,0.6758132684426229,1.0703933747412009,0.6133342178334393,0.597678916827853,0.20696721311475405,3000.0,138376.0,15.0,0.4835515162913007,0.5164484837086993,3319.3333333333335,15.939369249236066,2784.0,160.0,1.1333333333333335,0.1333333333333333,1.0666666666666669,0.06666666666666665,1.0666666666666669,0.06666666666666665,0.06666666666666668,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.423550797,1.7012338749149607E-8,4000.0,0.6951500600240096,0.22858674591701028,0.642,0.2873636436021977,0.67797974458474,1.0408163265306123,0.632977301414231,0.5235294117647059,0.2682677567705672,4000.0,190968.0,15.0,0.46226341017819345,0.5377365898218065,4418.266666666666,15.881545644662294,6262.400000000001,266.012760166554,3.266666666666667,0.18170270503179917,2.1333333333333337,0.0908513525158996,2.1333333333333337,0.0908513525158996,1.1333333333333335,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.506940711,2.1959983830878302E-8,5000.0,0.6907191243138625,0.2030732273056028,0.649,0.28142682836951455,0.6951500600240096,0.8832391713747646,0.6128259425516043,0.4605543710021322,0.2813267813267813,5000.0,229344.0,15.0,0.48532900539471263,0.5146709946052874,5544.8,16.86506674135848,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.570400562,2.5870539156171596E-8,6000.0,0.7266980346968824,0.2292049250604602,0.665,0.3258363653926652,0.6907191243138625,0.968503937007874,0.633977044761623,0.4715447154471545,0.3125854993160055,6000.0,238200.0,15.0,0.4828214156779241,0.517178584322076,6663.0,20.572056868712032,9385.600000000002,313.0163665278313,5.4,0.2138089935299395,3.2,0.10690449676496976,3.2,0.10690449676496976,2.2,0.10690449676496976,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.628317971,2.9439555291934972E-8,7000.0,0.691752,0.23088036264620476,0.682,0.3640000000000001,0.7266980346968824,1.0,0.6507749226883286,0.478,0.34912280701754395,7000.0,238200.0,15.0,0.4591309153750882,0.5408690846249118,7758.266666666667,21.54341500688156,9385.600000000002,313.0163665278313,5.4,0.2138089935299395,3.2,0.10690449676496976,3.2,0.10690449676496976,2.2,0.10690449676496976,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.696035426,3.391295310266109E-8,8000.0,0.7165345149253731,0.24557989314838946,0.693,0.36694765667529966,0.691752,0.8656716417910447,0.6499336836196815,0.4827586206896552,0.3674993561679113,8000.0,255352.0,15.0,0.5052957495630872,0.49470425043691274,8869.6,23.37699316686831,10519.466666666667,621.5446033618615,6.2,0.42761798705987897,3.6,0.21380899352993948,3.6,0.21380899352993948,2.266666666666667,0.15327120894696267,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.766354064,3.8934093181935864E-8,9000.0,0.736724353227459,0.2603465221959004,0.687,0.37927369072361233,0.7165345149253731,1.0491803278688525,0.6670834431946473,0.509765625,0.35655550479671094,9000.0,276016.0,15.0,0.3876662293631347,0.6123337706368653,9993.4,24.34353341336497,11885.866666666665,827.7549088989743,7.133333333333333,0.5679257720333553,4.066666666666666,0.28396288601667763,4.066666666666666,0.28396288601667763,2.6666666666666665,0.18687063686046268,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.836962869,4.441756486447942E-8,10000.0,0.7005012180438496,0.20857790130135218,0.653,0.30784390384016985,0.736724353227459,1.012072434607646,0.6151923476592392,0.43141153081510936,0.2880590890439066,10000.0,300192.0,15.0,0.29142842741608127,0.7085715725839188,11131.0,27.065880823684726,13484.8,557.0167065973617,8.2,0.3804758924845368,4.6,0.1902379462422684,4.6,0.1902379462422684,3.2000000000000006,0.10690449676496976,0.0,0.0,0.0,0.0,1.0,0.0
