learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.185086827,6.741032794006169E-9,1000.0,0.5486989204702378,0.07839872073868032,0.529,0.05750990515067833,0.0,0.949317738791423,0.5286784870194954,0.5195071868583162,0.028865979381443325,1000.0,140784.0,15.0,0.5569377126415096,0.44306228735849035,782.8666666666666,7.907721763698031,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.288061781,1.0491475508523485E-8,2000.0,0.5870282301324238,0.04411047791849099,0.554,0.1092968637663562,0.5486989204702378,1.0576131687242798,0.5540872656497322,0.5272373540856031,0.08135942327497443,2000.0,140784.0,15.0,0.40726637574780206,0.5927336242521979,1554.0,9.756072589979652,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.349121227,1.2715316797184448E-8,3000.0,0.5687676101434426,0.04929286788109982,0.543,0.08595612589404295,0.5870282301324238,0.953125,0.5430007674986274,0.5430327868852459,0.07552258934592043,3000.0,140784.0,15.0,0.5742405006044154,0.4257594993955844,2313.0,12.61405112223214,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.400963416,1.4603457092344761E-8,4000.0,0.5570849133586138,0.04725099999743665,0.546,0.0921307331744229,0.5687676101434426,1.0080321285140563,0.545769883592209,0.5278884462151394,0.07252298263534236,4000.0,140784.0,15.0,0.528709821582177,0.47129017841782295,3092.9333333333334,11.552557608667756,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.495688803,1.9138547637891025E-8,5000.0,0.6083249267425662,0.0756455290400952,0.576,0.15057296257712957,0.5570849133586138,0.9455252918287937,0.574542250367374,0.5473251028806584,0.132924335378323,5000.0,185064.0,15.0,0.5193953000581765,0.4806046999418236,3827.666666666667,12.861780468714175,5872.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.55176495,2.1823259858600796E-8,6000.0,0.6138628915768709,0.06325281408917721,0.59,0.1817379885123996,0.6083249267425662,1.0366598778004072,0.5879727975777995,0.5304518664047151,0.1612683259461302,6000.0,185064.0,15.0,0.5277448261106816,0.47225517388931837,4592.333333333334,17.521053095841623,5872.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.619523226,2.5429489518217744E-8,7000.0,0.6092038217835256,0.07151814960274888,0.591,0.17574223504848802,0.6138628915768709,0.949317738791423,0.5694024694013721,0.44353182751540043,0.1657925407925408,7000.0,205728.0,15.0,0.3658948882566056,0.6341051117433943,5371.866666666667,18.877516651313947,7238.4,390.4,3.933333333333333,0.2666666666666666,2.4666666666666663,0.1333333333333333,2.4666666666666663,0.1333333333333333,1.4666666666666668,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.6826833,2.9080399981029332E-8,8000.0,0.6159879699248121,0.07918146000585624,0.581,0.1445487954267047,0.6092038217835256,0.9047619047619048,0.5346350030311946,0.3705263157894737,0.1479410269445856,8000.0,223440.0,15.0,0.6818279535746397,0.3181720464253605,6162.866666666667,21.489945969633762,8409.599999999999,266.012760166554,4.7333333333333325,0.1817027050317992,2.8666666666666663,0.0908513525158996,2.8666666666666663,0.0908513525158996,1.8666666666666665,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.739433108,3.2447448763934274E-8,9000.0,0.6211821182118212,0.08346859653311889,0.576,0.15485658474356662,0.6159879699248121,1.02020202020202,0.552187007316457,0.4079207920792079,0.13801671560876438,9000.0,229344.0,15.0,0.444936630900459,0.5550633690995411,6955.7333333333345,22.150022394198405,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.805268757,3.675102616895197E-8,10000.0,0.6346501544024704,0.0879313894992792,0.577,0.1551152478728078,0.6211821182118212,1.0080321285140563,0.5535023955128193,0.4123505976095618,0.13602941176470587,10000.0,252680.0,15.0,0.5928155467172143,0.4071844532827859,7724.266666666666,24.445754654641384,10342.933333333332,386.15653705603773,6.066666666666667,0.2666666666666666,3.5333333333333337,0.1333333333333333,3.5333333333333337,0.1333333333333333,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
