learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.16197968,5.899449207385381E-9,1000.0,0.4913131313131313,0.052733954851863676,0.988,-0.0033444816053545237,0.0,0.010101010101010102,0.0,0.0,-0.2,1000.0,140784.0,15.0,0.9999999999995511,4.488924913070389E-13,1057.533333333333,9.064250378306786,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.236860459,8.62667618005226E-9,2000.0,0.5494264507422402,0.008030291137173996,0.988,0.0,0.4913131313131313,0.012145748987854251,0.0,0.0,-0.09090909090909091,2000.0,140784.0,15.0,0.9999999900910121,9.908987775733293E-9,2134.866666666667,13.083929316119294,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.289724008,1.0552015347580114E-8,3000.0,0.7414658634538153,0.00635654985418415,0.996,0.0,0.5494264507422402,0.004016064257028112,0.0,0.0,0.5384615384615404,3000.0,140784.0,15.0,0.9999999999999994,9.827799379561783E-24,3165.7999999999997,16.881435280889377,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.417221749,1.798417929516484E-8,4000.0,0.5080726538849647,0.012337196463060746,0.991,0.0,0.7414658634538153,0.009081735620585268,0.0,0.0,-0.02857142857142531,4000.0,225328.0,15.0,0.9999999999986011,1.3988589226531357E-12,4223.0666666666675,16.702855948172402,8532.266666666668,19.1374642960486,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.480882272,2.1695111271010503E-8,5000.0,0.7525535894115954,0.03674235121689882,0.99,-0.004217714400491855,0.5080726538849647,0.007049345417925478,0.0,0.0,-0.19047619047619677,5000.0,225328.0,15.0,0.9985219117058566,0.001478088294143479,5274.2,17.14842766636557,8532.266666666668,19.1374642960486,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.536822933,2.4964137335212692E-8,6000.0,0.9231350806451613,0.09125242030532271,0.992,0.0,0.7525535894115954,0.008064516129032258,0.0,0.0,0.03999999999999573,6000.0,225888.0,15.0,0.9998544418881509,1.4555811184909957E-4,6329.4,20.981579222419494,8569.6,30.788495068311306,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.591895043,2.8198820316137537E-8,7000.0,0.9127677176211049,0.10047170681878127,0.989,0.0,0.9231350806451613,0.011122345803842264,0.0,0.0,-0.26229508196722,7000.0,227040.0,15.0,0.9999186684826399,8.133151736001569E-5,7402.133333333333,20.70791582409437,8646.4,38.4,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.647636356,3.150603362149662E-8,8000.0,0.8419298753984352,0.1827008497328751,0.984,-0.0035122930255930855,0.9127677176211049,0.014198782961460446,0.0,0.0,-0.7066666666666641,8000.0,229344.0,15.0,0.9999997596534473,2.4034655257956413E-7,8512.466666666667,23.772706772717044,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.709397878,3.5246744430764676E-8,9000.0,0.9320603015075377,0.21253692213963793,0.991,-0.004464285714290195,0.8419298753984352,0.005025125628140704,0.0,0.0,-0.012500000000007026,9000.0,234120.0,15.0,0.9989224736335504,0.0010775263664497465,9560.733333333334,25.261012057293545,9115.2,214.77295209681537,5.266666666666668,0.18170270503179922,3.133333333333334,0.09085135251589961,3.133333333333334,0.09085135251589961,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.797808243,4.165908919076745E-8,10000.0,0.6891094806502661,0.096873278405552,0.993,0.0,0.9320603015075377,0.007049345417925478,0.0,0.0,0.1954022988505778,10000.0,280360.0,15.0,0.9979724440409522,0.0020275559590476992,10619.133333333333,27.171039671411144,12170.666666666666,311.44142102514036,7.533333333333334,0.23637473611411156,4.266666666666667,0.11818736805705574,4.266666666666667,0.11818736805705574,3.066666666666667,0.06666666666666668,0.0,0.0,0.0,0.0,1.0,0.0
