learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.13160773,4.793274801100294E-9,1000.0,0.5033333333333333,0.14428569234953642,0.953,0.06337186129932165,0.0,0.010101010101010102,0.43831633795834274,0.2,-3.7,1000.0,140784.0,15.0,0.9999999999995511,4.488924913070389E-13,24.866666666666664,1.2793847727815886,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203625736,7.416236943105857E-9,2000.0,0.9047739541160594,0.4411452505457746,0.909,0.13101604278074833,0.5033333333333333,0.012145748987854251,0.7797193169502542,0.6666666666666666,-7.272727272727263,2000.0,140784.0,15.0,0.9999999900910121,9.908987775733293E-9,49.73333333333333,1.4523106930703047,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.253301779,9.225484204875926E-9,3000.0,0.8729919678714859,0.3813446282536577,0.893,0.04573344748858466,0.9047739541160594,0.004016064257028112,0.8186456638201697,0.75,-11.346153846153781,3000.0,140784.0,15.0,0.9999999999999994,9.827799379561783E-24,57.73333333333333,1.3954574831579738,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.292847501,1.0665775840890903E-8,4000.0,0.9455095862764884,0.525089134271769,0.885,0.10717058476444781,0.8729919678714859,0.009081735620585268,0.8869246151802698,0.8888888888888888,-12.142857142857089,4000.0,140784.0,15.0,0.9999999999986011,1.3988589226531357E-12,75.0,2.0930724738891344,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.329258089,1.199188300764809E-8,5000.0,0.9775571860164005,0.6351821308083258,0.886,0.09743005082893874,0.9455095862764884,0.007049345417925478,0.9408487522563637,1.0,-12.57142857142863,5000.0,140784.0,15.0,0.9985219117058566,0.001478088294143479,88.46666666666668,2.4935472279020052,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.364595736,1.3278912674486636E-8,6000.0,0.9529989919354839,0.5507800767478581,0.881,0.09160305343511459,0.9775571860164005,0.008064516129032258,0.8780189853925013,0.875,-13.28000000000005,6000.0,140784.0,15.0,0.9998544418881509,1.4555811184909957E-4,103.73333333333332,2.856015650661844,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.398539758,1.4515185234621166E-8,7000.0,0.9133192389006343,0.487738865265872,0.88,0.09943714821763591,0.9529989919354839,0.011122345803842264,0.8007717575352828,0.7272727272727273,-12.770491803278752,7000.0,140784.0,15.0,0.9999186684826399,8.133151736001569E-5,124.13333333333334,3.200991909760037,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.432028138,1.5734862893248597E-8,8000.0,0.9411764705882353,0.5388952963333344,0.892,0.14794243877808705,0.9133192389006343,0.014198782961460446,0.8378799950589375,0.7857142857142857,-10.519999999999971,8000.0,140784.0,15.0,0.9999997596534473,2.4034655257956413E-7,152.8,3.4395459279498204,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.464502183,1.6917597536481916E-8,9000.0,0.9682412060301507,0.5991743116195427,0.89,0.07446360959192279,0.9411764705882353,0.005025125628140704,0.9431051034645632,1.0,-11.375000000000073,9000.0,140784.0,15.0,0.9989224736335504,0.0010775263664497465,163.0,3.322362899819229,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.497246791,1.8110186333494882E-8,10000.0,0.9584232484534599,0.5809292588855777,0.873,0.07402006532897766,0.9682412060301507,0.007049345417925478,0.8650904737874074,0.8571428571428571,-13.59770114942522,10000.0,140784.0,15.0,0.9979724440409522,0.0020275559590476992,176.4,3.2393414968683567,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
