learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.149380329,5.440569233857096E-9,1000.0,0.5313028764805414,0.1441819041064717,0.851,-9.404809888487773E-4,0.0,0.015228426395939087,0.33900421511836737,0.13333333333333333,-8.933333333333326,1000.0,140784.0,15.0,0.9999999515307497,4.846925033557813E-8,32.93333333333334,1.4457381264111182,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.241679132,8.802176691045365E-9,2000.0,0.6372727272727273,0.19500432734190704,0.702,0.01973684210526317,0.5313028764805414,0.010101010101010102,0.649475312708791,0.6,-22.84000000000009,2000.0,140784.0,15.0,0.9999985883788072,1.4116211927278738E-6,53.13333333333333,1.9733140282195971,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.299794051,1.0918775593029957E-8,3000.0,0.8421932464058843,0.2921649782327663,0.678,0.012421407759546414,0.6372727272727273,0.003009027081243731,0.8228189918079428,1.0,-33.5000000000001,3000.0,140784.0,15.0,0.9999999999999994,1.5861724886378843E-19,59.33333333333333,2.0923139768633616,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.339554098,1.2366873143042128E-8,4000.0,0.7879441806934254,0.2664705310699067,0.676,0.016459131448415824,0.8421932464058843,0.007049345417925478,0.694740501798759,0.7142857142857143,-36.028571428571276,4000.0,140784.0,15.0,0.9999999999119047,8.809534002625057E-11,73.66666666666666,2.53483664668886,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.376058819,1.3696408720401427E-8,5000.0,0.5134138162307177,0.1322956722184316,0.659,0.005564174647427359,0.7879441806934254,0.006036217303822937,0.5744387515441954,0.5,-40.58536585365861,5000.0,140784.0,15.0,0.9999999999999978,2.167071624017942E-15,84.8,2.903528231389561,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.412304483,1.501650920310368E-8,6000.0,0.5617221661621258,0.13568615267153217,0.625,0.013666635103998934,0.5134138162307177,0.009081735620585268,0.6453017869437226,0.6666666666666666,-44.00000000000016,6000.0,140784.0,15.0,0.9972187071241132,0.00278129287588693,103.33333333333334,3.008981265140788,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.446537108,1.626329295044144E-8,7000.0,0.8461441532258065,0.2432451972620342,0.657,0.029384465623797203,0.5617221661621258,0.008064516129032258,0.808847248229072,1.0,-40.39655172413765,7000.0,140784.0,15.0,0.9999999999800704,1.9929545142253395E-11,120.2,3.4767253339340813,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.480648426,1.7505658585056663E-8,8000.0,0.6665134663112419,0.14987864125899034,0.638,0.016224148707775173,0.8461441532258065,0.011122345803842264,0.6371903812416428,0.6363636363636364,-40.97101449275365,8000.0,140784.0,15.0,0.9184273510353232,0.08157264896467667,139.20000000000002,3.871999606454132,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.51390061,1.871673376771311E-8,9000.0,0.7149697580645161,0.17190098677865043,0.606,0.018924302788844747,0.6665134663112419,0.008064516129032258,0.7268781290671285,0.875,-45.051948051948145,9000.0,140784.0,15.0,0.9182880369551767,0.08171196304482324,154.33333333333334,4.217499447220068,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.5472016,1.9929586509863536E-8,10000.0,0.7728444892925216,0.2047744752103639,0.624,0.023645437879441133,0.7149697580645161,0.009081735620585268,0.7433224807233357,0.8888888888888888,-42.720930232557876,10000.0,140784.0,15.0,0.9999999999949277,5.072189641512649E-12,173.4,3.974681778217627,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.584046436,2.127150938893358E-8,11000.0,0.5923154859325072,0.15082546392882057,0.647,0.01874666429460973,0.7728444892925216,0.013171225937183385,0.63119735466632,0.6153846153846154,-38.222222222222186,11000.0,140784.0,15.0,0.9587075082122638,0.04129249178773614,198.73333333333335,3.763821091171738,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.617727707,2.24982123155271E-8,12000.0,0.5385605294604283,0.09835764929416194,0.658,-0.004151668007493046,0.5923154859325072,0.011122345803842264,0.42499790475468013,0.2727272727272727,-36.30909090909095,12000.0,140784.0,15.0,0.899999999950385,0.10000000004961493,219.13333333333335,3.804592045794218,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.649899818,2.366995024425288E-8,13000.0,0.8000287728384405,0.17850731686315002,0.661,0.02075197005060915,0.5385605294604283,0.007049345417925478,0.7519217215615358,0.8571428571428571,-36.66666666666663,13000.0,140784.0,15.0,0.9999999999999994,3.0168070586256406E-19,234.66666666666669,3.539796424959878,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.682013556,2.4839562174528835E-8,14000.0,0.658145532010315,0.11744252232316635,0.651,0.010490501842926103,0.8000287728384405,0.009081735620585268,0.6017875230469169,0.5555555555555556,-37.77777777777774,14000.0,140784.0,15.0,0.9999999999128708,8.712920630313419E-11,250.20000000000005,3.7061082141834603,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
