learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.196389866,7.152699889962872E-9,1000.0,0.7482610093217615,0.21327649312624947,0.88,0.2202222366625505,0.0,0.09289617486338798,0.5139519205757016,0.2823529411764706,-0.4117647058823535,1000.0,140784.0,15.0,0.971008972293659,0.028991027706340905,1338.9333333333334,8.46700411775965,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.300258679,1.0935697772937516E-8,2000.0,0.8210501878350428,0.2584519324650486,0.871,0.3834477221022045,0.7482610093217615,0.1185682326621924,0.6823170380830321,0.5094339622641509,-0.3507853403141358,2000.0,140784.0,15.0,0.9585067351433758,0.04149326485662417,2723.6,12.482292219284824,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.466644915,2.0645789213830398E-8,3000.0,0.8341214534594326,0.27761102042089575,0.906,0.4265775218388557,0.8210501878350428,0.10864745011086474,0.6479228839393516,0.4387755102040816,0.02422145328719801,3000.0,225584.0,15.0,0.8351963095841181,0.16480369041588194,4104.733333333334,17.45073792045068,8548.800000000001,368.68491128540074,5.133333333333334,0.23637473611411158,3.066666666666667,0.11818736805705579,3.066666666666667,0.11818736805705579,2.0,0.0975900072948533,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.558687497,2.6537321284136012E-8,4000.0,0.9189888888888889,0.4725305039595056,0.909,0.5450000000000003,0.8341214534594326,0.1111111111111111,0.7917210507636021,0.67,0.06426735218508978,4000.0,247424.0,15.0,0.9720468907781289,0.027953109221871168,5466.533333333334,15.560899308895582,9994.133333333333,528.852683301239,5.933333333333333,0.38379888913542637,3.4666666666666663,0.19189944456771318,3.4666666666666663,0.19189944456771318,2.3333333333333335,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.643208431,3.224320013906393E-8,5000.0,0.848843104719764,0.40227427669831295,0.895,0.4880046811000587,0.9189888888888889,0.10619469026548672,0.7771629821890359,0.65625,-0.0824742268041238,5000.0,260952.0,15.0,0.9877120624445198,0.012287937555480213,6840.466666666666,18.491405124869853,10889.066666666666,718.3642229575446,6.6,0.48599431703516477,3.8,0.24299715851758238,3.8,0.24299715851758238,2.533333333333333,0.19189944456771318,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.731590501,3.877275393820885E-8,6000.0,0.8371481777068369,0.3521078693742024,0.877,0.445746214852199,0.848843104719764,0.11731843575418995,0.7494256025155351,0.6190476190476191,-0.25084745762711796,6000.0,285576.0,15.0,0.8692700054707166,0.13072999452928344,8225.000000000002,23.603873774083386,12516.799999999997,860.1405156523363,7.666666666666666,0.6068393265551997,4.333333333333333,0.30341966327759984,4.333333333333333,0.30341966327759984,2.8,0.17457431218879388,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.817824446,4.5779496579331654E-8,7000.0,0.9256857303732303,0.45535999094199286,0.907,0.5941983453764792,0.8371481777068369,0.12612612612612611,0.8381656865720036,0.7589285714285714,0.07264957264957317,7000.0,314080.0,15.0,0.9590373384605143,0.04096266153948561,9589.133333333331,25.019966629848476,14402.133333333333,798.3588754239875,9.0,0.5520524474738834,5.0,0.2760262237369417,5.0,0.2760262237369417,3.466666666666667,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.914440663,5.467300521626034E-8,8000.0,0.8568939393939394,0.3942333036634586,0.881,0.49636025055019456,0.9256857303732303,0.13636363636363635,0.7656696415556777,0.6416666666666667,-0.15815085158150838,8000.0,355816.0,15.0,0.8105157940051119,0.18948420599488805,11002.133333333335,30.743774695695436,17161.066666666666,702.8609255286003,10.866666666666665,0.49633577983982413,5.933333333333333,0.24816788991991207,5.933333333333333,0.24816788991991207,4.133333333333334,0.09085135251589962,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.993442905,6.213187101981913E-8,9000.0,0.8686306909012749,0.4253308329089718,0.909,0.48936074699227894,0.8568939393939394,0.088139281828074,0.7806826937815868,0.654320987654321,0.09302325581395426,9000.0,364952.0,15.0,0.9987051388664224,0.0012948611335774646,12362.933333333332,32.02297786139058,17765.333333333332,822.4909590857385,11.26666666666667,0.5811865258054231,6.133333333333335,0.29059326290271154,6.133333333333335,0.29059326290271154,4.2666666666666675,0.11818736805705575,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.065842087,6.898874665195122E-8,10000.0,0.8678108214332504,0.41942448626953555,0.911,0.5512212832045829,0.8686306909012749,0.11358574610244988,0.7857246360101905,0.6568627450980392,0.11442786069651803,10000.0,366096.0,15.0,0.9077519036697344,0.09224809633026569,13743.599999999999,32.927886574842866,17841.600000000006,823.5576066241941,11.26666666666667,0.5811865258054231,6.133333333333335,0.29059326290271154,6.133333333333335,0.29059326290271154,4.2666666666666675,0.11818736805705575,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.143240115,7.656606227988376E-8,11000.0,0.8670080971179951,0.40872150353770365,0.925,0.592763129316711,0.8678108214332504,0.10253583241455347,0.8140681923826639,0.6989247311827957,0.24863387978142112,11000.0,378432.0,15.0,0.8620205645450423,0.13797943545495772,15130.466666666667,30.577748938709124,18656.533333333333,930.8971088694966,12.066666666666666,0.6130848357878508,6.533333333333333,0.3065424178939254,6.533333333333333,0.3065424178939254,4.666666666666667,0.1259881576697424,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.239244822,8.680246980641035E-8,12000.0,0.8507456588355464,0.3913650826103814,0.89,0.5187259362968151,0.8670080971179951,0.12359550561797752,0.7949277403384225,0.6909090909090909,-0.09271523178807917,12000.0,412152.0,15.0,0.8856450016736043,0.11435499832639573,16532.466666666667,28.33471145107843,20884.8,1007.569310861777,13.8,0.6982972487551756,7.4,0.3491486243775878,7.4,0.3491486243775878,5.2,0.1745743121887939,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.319959473,9.633637197411099E-8,13000.0,0.8664535070785071,0.40351639095997216,0.895,0.5323356493853554,0.8507456588355464,0.12612612612612611,0.791103403225264,0.6785714285714286,-0.03409090909090852,13000.0,456584.0,15.0,0.9808563600628272,0.019143639937172833,17930.599999999995,27.162088425212456,23822.4,744.233941714566,15.666666666666666,0.4646213682914464,8.333333333333334,0.23231068414572317,8.333333333333334,0.23231068414572317,5.533333333333333,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
