learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.194690573,1.4827924234999552E-10,1000.0,0.9080555555555555,0.28356983130583585,0.914,0.2785234899328867,0.0,0.1111111111111111,0.4346774027303978,0.19,0.14000000000000015,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.228483069,1.740161109964053E-10,2000.0,0.9568055684263636,0.2895207230409641,0.905,0.2281192108940817,0.9080555555555555,0.122334455667789,0.3827002719380473,0.14678899082568808,0.0909090909090915,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.253558402,1.931138583686617E-10,3000.0,0.9599218306476265,0.2929946397158476,0.916,0.2876526458616009,0.9568055684263636,0.11358574610244988,0.4313549317730605,0.18627450980392157,0.18971061093247638,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.292194166,2.5180508426494074E-10,4000.0,0.9088173263113754,0.3263160915287703,0.934,0.42349015565765885,0.9599218306476265,0.09769484083424808,0.5495805239707612,0.30337078651685395,0.34000000000000036,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.325842429,3.2590059469143557E-10,5000.0,0.9115423901940756,0.30798062015848704,0.914,0.38413062159839656,0.9088173263113754,0.12359550561797752,0.528773708046018,0.2818181818181818,0.15686274509803938,5000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.345839755,3.714258330232568E-10,6000.0,0.916,0.3263646724712499,0.923,0.3984375000000009,0.9115423901940756,0.1111111111111111,0.5367184240052382,0.29,0.24262295081967267,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.36408587,4.129643234196637E-10,7000.0,0.9520840487637363,0.38963275039848555,0.929,0.5188397939821093,0.916,0.11607142857142858,0.6464386269025455,0.4230769230769231,0.3039215686274513,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.380467615,4.5025845191544965E-10,8000.0,0.9535940409683427,0.39769295525518067,0.926,0.5169397480253285,0.9520840487637363,0.11731843575418995,0.6563176516010667,0.4380952380952381,0.27716727716727757,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.396774179,4.873814258807236E-10,9000.0,0.9647224029866082,0.4327499241582562,0.946,0.6305570378884282,0.9535940409683427,0.10741971207087486,0.7285186748008,0.5360824742268041,0.4694323144104797,9000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.419142384,5.552474990362922E-10,10000.0,0.9026529061668989,0.33206590049198226,0.92,0.43760193464934527,0.9647224029866082,0.1185682326621924,0.5795030030384495,0.33962264150943394,0.21722113502935428,10000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
11000.0,0.441518899,6.400884513101644E-10,11000.0,0.9298780823577352,0.3485821545130622,0.926,0.4399115968574501,0.9026529061668989,0.11234705228031146,0.5696946835905802,0.32673267326732675,0.275155832591274,11000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
12000.0,0.457054256,6.989910320647888E-10,12000.0,0.9730777777777778,0.4095688541210261,0.935,0.5330459770114946,0.9298780823577352,0.1111111111111111,0.6455488620804264,0.42,0.36222403924775187,12000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.472560215,7.577821497826113E-10,13000.0,0.9665337983723634,0.3971578821095695,0.922,0.4526162137884578,0.9730777777777778,0.1210762331838565,0.5830129378496243,0.3425925925925926,0.23816679188580073,13000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
14000.0,0.487127399,8.130138854889406E-10,14000.0,0.9543704565280605,0.3947543785384809,0.933,0.4995518374663882,0.9665337983723634,0.10497237569060773,0.6289515963070907,0.4,0.34221598877980425,14000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.501778895,8.685652916340364E-10,15000.0,0.9747161369296358,0.44426557995727783,0.945,0.6570473648766612,0.9543704565280605,0.1185682326621924,0.7485581937169464,0.5660377358490566,0.46148825065274085,15000.0,14656.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
16000.0,0.521950144,9.603241697119342E-10,16000.0,0.935257251459342,0.3966945895439127,0.925,0.46661735840468826,0.9747161369296358,0.10864745011086474,0.617500482966322,0.3877551020408163,0.2638036809815959,16000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
