learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.105045113,5.239488873590902E-7,1000.0,0.5,0.0,0.907,0.0,0.0,0.10253583241455347,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.427833604,2.0608383571268702E-6,2000.0,0.6293944444444445,0.2707420862839396,0.767,0.148391812865497,0.5,0.1111111111111111,0.5816642788871715,0.42,-1.4145077720207244,2000.0,2557616.0
3000.0,5.779456506,5.600295340923071E-6,3000.0,0.7706859701796346,0.3101847283852122,0.669,0.17211089211929606,0.6293944444444445,0.09409190371991247,0.7163303028942996,0.7790697674418605,-2.5591397849462374,3000.0,4000288.0
4000.0,7.995619263,1.0179448197635735E-5,4000.0,0.7384859584859584,0.2397074134345918,0.669,0.146159005313935,0.7706859701796346,0.0989010989010989,0.6729375400770363,0.6777777777777778,-2.588075880758805,4000.0,7987040.0
5000.0,10.535117624,1.6007392651369705E-5,5000.0,0.7539277129120879,0.24284293919119168,0.68,0.1842727791826414,0.7384859584859584,0.11607142857142858,0.6937156584906851,0.7115384615384616,-2.3826638477801256,5000.0,8870944.0
6000.0,12.962245883,2.263879833168259E-5,6000.0,0.7083043922369765,0.2366924174455429,0.671,0.16973704133649622,0.7539277129120879,0.12359550561797752,0.6717561939166418,0.6727272727272727,-2.385934819897085,6000.0,1.0561248E7
7000.0,15.555036475,3.852758835774412E-5,7000.0,0.755658835546476,0.2544666356267109,0.679,0.19310240812427734,0.7083043922369765,0.12359550561797752,0.6958214698292824,0.7181818181818181,-2.2424242424242427,7000.0,2.2126368E7
8000.0,18.387076735,6.722164166734716E-5,8000.0,0.7148091814159292,0.2178941548023179,0.674,0.12444673628120849,0.755658835546476,0.10619469026548672,0.6314928232693606,0.5833333333333334,-2.3054499366286447,8000.0,2.5813632E7
9000.0,20.884058336,9.257516333246432E-5,9000.0,0.7463738587429377,0.2261024381672896,0.664,0.15716385637670785,0.7148091814159292,0.11234705228031146,0.6724229002244196,0.6831683168316832,-2.3977528089887628,9000.0,3.9248704E7
10000.0,24.001740918,1.1296887120092833E-4,10000.0,0.7191575091575092,0.2105666299082959,0.663,0.12698823895134959,0.7463738587429377,0.0989010989010989,0.6494291660822155,0.6333333333333333,-2.4387755102040822,10000.0,2.5285216E7
11000.0,26.495262328,1.4033535933060206E-4,11000.0,0.6447648101851342,0.3086238123796483,0.602,0.08581823861522136,0.7191575091575092,0.11234705228031146,0.6028690897116291,0.6039603960396039,-3.0499537465309894,11000.0,3.3836256E7
12000.0,29.061065353,1.740296655482371E-4,12000.0,0.7154945054945054,0.4234423070789367,0.646,0.14302314321681037,0.6447648101851342,0.0989010989010989,0.6790516262487787,0.7222222222222222,-2.627668659265584,12000.0,5.0761632E7
13000.0,32.20427557,2.2926836080309034E-4,13000.0,0.7575088482644413,0.2350761372992507,0.681,0.1960280256061295,0.7154945054945054,0.11482720178372352,0.7094944426019711,0.7475728155339806,-2.2551020408163267,13000.0,3.3839552E7
14000.0,35.891525169,2.779081692370216E-4,14000.0,0.7057076728241408,0.206738818280777,0.663,0.13446819876924965,0.7575088482644413,0.11358574610244988,0.6424031261573921,0.6176470588235294,-2.4287790697674407,14000.0,5.0990784E7
15000.0,39.219163873,3.3648808639618976E-4,15000.0,0.7122877921247617,0.22763312363493288,0.672,0.13294950488244583,0.7057076728241408,0.10741971207087486,0.6425789592179004,0.6082474226804123,-2.340122199592669,15000.0,3.3842912E7
16000.0,42.5336508,3.7997152262057144E-4,16000.0,0.769623950346842,0.2322460138076825,0.708,0.17467029208757517,0.7122877921247617,0.09529025191675794,0.6943098701716358,0.6781609195402298,-1.9948717948717942,16000.0,5.0711904E7
17000.0,45.899720791,4.3901790617083264E-4,17000.0,0.756768573638718,0.21580590093091,0.684,0.16245686387803693,0.769623950346842,0.10987791342952276,0.6716175096444242,0.6565656565656566,-2.2380952380952377,17000.0,3.3846272E7
18000.0,49.050187308,4.8047494789549175E-4,18000.0,0.6803722012212853,0.17565359555050372,0.702,0.14098757602836443,0.756768573638718,0.10497237569060773,0.6379671115938728,0.5684210526315789,-2.0581527936145956,18000.0,5.0865792E7
19000.0,52.396734562,5.391817795812787E-4,19000.0,0.7199313337927199,0.2082185846690654,0.674,0.13030951377365652,0.6803722012212853,0.1001100110011001,0.6468232367257831,0.6153846153846154,-2.357181571815719,19000.0,3.3849632E7
20000.0,55.694511692,5.825962033053387E-4,20000.0,0.7152009587020649,0.21308644203221055,0.692,0.1581755367997549,0.7199313337927199,0.10619469026548672,0.6659778198181043,0.6354166666666666,-2.1736218444100994,20000.0,5.0887968E7
21000.0,59.114130744,6.428209101574755E-4,21000.0,0.7073639251373627,0.21251208782722492,0.703,0.18178211711810946,0.7152009587020649,0.11607142857142858,0.676231325024991,0.6442307692307693,-2.0498777506112487,21000.0,3.3852992E7
22000.0,62.452087853,6.869946699014431E-4,22000.0,0.7299489274770173,0.21585718150406452,0.676,0.15404699738903407,0.7073639251373627,0.12359550561797752,0.649852658714893,0.6181818181818182,-2.3076566125290037,22000.0,5.1154752E7
23000.0,65.467939183,7.404193191061362E-4,23000.0,0.7522674530548547,0.22502418384392286,0.707,0.2065985009315019,0.7299489274770173,0.12485939257592801,0.6930695219349399,0.6756756756756757,-1.973962930273609,23000.0,3.3856352E7
24000.0,68.707644427,7.82964483200196E-4,24000.0,0.7354062087593581,0.2248789854677038,0.713,0.18475173275764112,0.7522674530548547,0.09769484083424808,0.7003812702407466,0.6853932584269663,-1.92484076433121,24000.0,5.0762976E7
25000.0,72.04102182,8.415625564173739E-4,25000.0,0.7470166552197802,0.22940658837372485,0.717,0.2134868933010205,0.7354062087593581,0.11607142857142858,0.7059524195590795,0.6923076923076923,-1.877185847905653,25000.0,3.3859712E7
26000.0,75.400524069,8.860436330901682E-4,26000.0,0.690440721936785,0.18979338906347754,0.7,0.17194322842774065,0.7470166552197802,0.12485939257592801,0.6555817971692158,0.6036036036036037,-2.03501945525292,26000.0,5.1180288E7
27000.0,78.659197748,9.433947572544432E-4,27000.0,0.670996386952318,0.2010619510367797,0.7,0.12875795734398968,0.690440721936785,0.09409190371991247,0.6370392784498647,0.5697674418604651,-2.0496987951807246,27000.0,3.3863072E7
28000.0,82.009813259,9.873696466303969E-4,28000.0,0.6713247976230943,0.17355020940101964,0.683,0.11841592969575605,0.670996386952318,0.09529025191675794,0.6312361205772695,0.5747126436781609,-2.235873131607728,28000.0,5.0732064E7
29000.0,85.455996097,0.0010472162130496078,29000.0,0.757186134986614,0.22234730749580806,0.712,0.20074597042760078,0.6713247976230943,0.10375275938189846,0.7123431182020924,0.7127659574468085,-1.943954881917518,29000.0,6.6802944E7
30000.0,89.496576452,0.0011347769156476964,30000.0,0.7323549128519441,0.19412414570862607,0.708,0.17308563661078347,0.757186134986614,0.1013215859030837,0.6822228953297345,0.6521739130434783,-1.99078183680437,30000.0,8.3766016E7
31000.0,93.497047731,0.0012192252046833235,31000.0,0.7373834779813565,0.20582409742481605,0.72,0.17601012330419946,0.7323549128519441,0.09289617486338798,0.6914456413164609,0.6588235294117647,-1.8798938287989375,31000.0,8.159848E7
32000.0,97.575514216,0.0012897164642580593,32000.0,0.7594847728802819,0.22051901133766927,0.719,0.2331706891093861,0.7373834779813565,0.12866817155756208,0.7114201076449846,0.7017543859649122,-1.874680306905371,32000.0,6.6809888E7
33000.0,101.304740314,0.0013706093283584228,33000.0,0.6954507743362832,0.187167875404343,0.677,0.13811506030526186,0.7594847728802819,0.10619469026548672,0.6481871418012396,0.6145833333333334,-2.306141439205954,33000.0,6.8276176E7
34000.0,105.267219235,0.0014563338041653977,34000.0,0.6837960074859638,0.19375998754063167,0.705,0.13088055057980555,0.6954507743362832,0.09170305676855896,0.640200374122684,0.5714285714285714,-2.0320435308343403,34000.0,8.3625792E7
35000.0,109.533036197,0.0015300706014979815,35000.0,0.7663036596175763,0.21412341727045142,0.709,0.21010629634857364,0.6837960074859638,0.1185682326621924,0.7041756940176572,0.6981132075471698,-1.9833040421792618,35000.0,6.6816608E7
36000.0,113.185881258,0.001609348551396218,36000.0,0.7659509480066972,0.22364027494363142,0.732,0.20614232564752716,0.7663036596175763,0.10864745011086474,0.6954435949423384,0.6530612244897959,-1.7471526195899787,36000.0,6.6819968E7
37000.0,117.133833189,0.0016952844853152698,37000.0,0.7108807345027818,0.20743138194149197,0.697,0.1829624755967338,0.7659509480066972,0.12485939257592801,0.6711258562869145,0.6396396396396397,-2.09439690863925,37000.0,8.4140544E7
38000.0,121.410808816,0.0017692216011881245,38000.0,0.7570424957013019,0.22827740151556286,0.708,0.22346621280216966,0.7108807345027818,0.12994350282485875,0.7064081876893047,0.7043478260869566,-1.9684323167469246,38000.0,6.6823328E7
39000.0,125.00241194,0.0018470018280470754,39000.0,0.70261413476874,0.20728187570433204,0.731,0.19946194319453392,0.7570424957013019,0.09649122807017543,0.7082688309124616,0.6818181818181818,-1.7420282279142703,39000.0,6.6826688E7
40000.0,128.887939713,0.0019311317893374,40000.0,0.7137515579559618,0.20105770865222483,0.707,0.14178929609147972,0.70261413476874,0.09529025191675794,0.6489959590059541,0.5862068965517241,-1.9951443904932264,40000.0,8.369568E7
41000.0,133.315258438,0.0020088941442702162,41000.0,0.69947377614743,0.2031372425939496,0.7,0.18799532285305953,0.7137515579559618,0.11358574610244988,0.6894471342866145,0.6764705882352942,-2.0635118306351194,41000.0,6.7893936E7
42000.0,136.972968578,0.002089332714701033,42000.0,0.8016777777777778,0.2275426092131515,0.724,0.2384105960264899,0.69947377614743,0.1111111111111111,0.7397296803562772,0.76,-1.8170109356014594,42000.0,6.6833744E7
43000.0,140.970123142,0.0021761204144085584,43000.0,0.8006928328792924,0.23942041573507655,0.72,0.21445845326869425,0.8016777777777778,0.10987791342952276,0.7142096363512627,0.7070707070707071,-1.857142857142858,43000.0,8.3928528E7
44000.0,145.310731206,0.0022609585712194164,44000.0,0.7396870707417582,0.19678867768830288,0.723,0.2056846596774561,0.8006928328792924,0.11607142857142858,0.6913602911635888,0.6538461538461539,-1.8226030569708185,44000.0,7.5551488E7
45000.0,149.11341242,0.0023399489174204895,45000.0,0.7170686456400742,0.20617875008946535,0.71,0.18003121536338743,0.7396870707417582,0.10864745011086474,0.679056809215945,0.6428571428571429,-1.9551630434782623,45000.0,7.1234336E7
46000.0,152.667157453,0.0024211768485758083,46000.0,0.7175111111111111,0.38869469510236215,0.658,0.14670658682634746,0.7170686456400742,0.1111111111111111,0.6632998316498103,0.67,-2.483613817537645,46000.0,7.9727984E7
47000.0,156.988979635,0.0025293461451882833,47000.0,0.6926664728118639,0.3731262440664705,0.617,0.1199448529411763,0.7175111111111111,0.10497237569060773,0.650371759391784,0.6947368421052632,-2.903925395792669,47000.0,9.674744E7
48000.0,161.898546074,0.002633657563027273,48000.0,0.7521323691013176,0.23389436883072406,0.712,0.21561364614370576,0.6926664728118639,0.11982082866741321,0.7071030810231204,0.7009345794392523,-1.9300551080966515,48000.0,8.2127968E7
49000.0,165.958502053,0.0027174041683294676,49000.0,0.7014111111111111,0.19608165325089133,0.718,0.15467625899280568,0.7521323691013176,0.1111111111111111,0.6365270352991039,0.55,-1.8679950186799492,49000.0,7.9734864E7
50000.0,169.881426467,0.0028154438813939196,50000.0,0.7482343165766514,0.21614437649104096,0.718,0.17200556694129465,0.7014111111111111,0.09529025191675794,0.683168751296335,0.6436781609195402,-1.8746177370030594,50000.0,7.9738224E7
51000.0,174.243178793,0.0029249639099096303,51000.0,0.7047092086462166,0.189349481276479,0.699,0.1780088698577762,0.7482343165766514,0.12485939257592801,0.663716249173468,0.6216216216216216,-2.060406698564592,51000.0,9.70588E7
52000.0,178.782885811,0.0030319594803596525,52000.0,0.6772446475416772,0.33277300406297927,0.631,0.10716878139426846,0.7047092086462166,0.1001100110011001,0.6338531748870567,0.6373626373626373,-2.7571960054826685,52000.0,9.1104608E7
53000.0,183.221696324,0.0031268023255396223,53000.0,0.7367313585291113,0.4321970225972422,0.618,0.13629375056525278,0.6772446475416772,0.12359550561797752,0.6523079165375261,0.7,-2.880774391412691,53000.0,8.2592384E7
54000.0,187.430172284,0.003235253365616808,54000.0,0.7384821168944461,0.2160717213989446,0.712,0.1850363620928715,0.7367313585291113,0.10497237569060773,0.6896147324478157,0.6631578947368421,-1.9277108433734955,54000.0,8.2595744E7
55000.0,191.891900675,0.0033501042052885206,55000.0,0.7026110336831979,0.21103303664844136,0.696,0.1384733975321796,0.7384821168944461,0.09769484083424808,0.6483197165290755,0.5955056179775281,-2.095723014256621,55000.0,8.2599104E7
56000.0,196.236607933,0.0034620368734216123,56000.0,0.6898673400433901,0.34330110375462597,0.64,0.11058844456742499,0.7026110336831979,0.10253583241455347,0.6326017242266018,0.6236559139784946,-2.6694575900982898,56000.0,9.9586096E7
57000.0,200.764814851,0.003570269253428878,57000.0,0.7033017566449002,0.4105275318303139,0.647,0.1318078073351172,0.6898673400433901,0.09051254089422028,0.6751355157915779,0.7108433734939759,-2.6078536847767633,57000.0,9.2391776E7
58000.0,205.204047768,0.0036651406749179122,58000.0,0.7987141604701756,0.2484860366265042,0.699,0.18949193800286476,0.7033017566449002,0.11482720178372352,0.6903343898791927,0.6796116504854369,-2.0735915492957746,58000.0,8.2609472E7
59000.0,209.433920982,0.0037743471223599155,59000.0,0.6995621565934066,0.198419806211244,0.691,0.1449916989485332,0.7987141604701756,0.11607142857142858,0.6374111120965619,0.5769230769230769,-2.1519709543568455,59000.0,8.2612832E7
60000.0,213.850707513,0.0038880606238037036,60000.0,0.7219378630718188,0.1997361173586618,0.703,0.16026735730199826,0.6995621565934066,0.09769484083424808,0.6739062668560446,0.6404494382022472,-2.034224416822749,60000.0,8.2616192E7
61000.0,218.286748851,0.004002597611358556,61000.0,0.7359739869505495,0.20096581019677767,0.74,0.22081035722848255,0.7219378630718188,0.11607142857142858,0.6956235220850586,0.6442307692307693,-1.6535051028944292,61000.0,9.9805056E7
62000.0,223.111576145,0.004119014786587691,62000.0,0.738962148962149,0.20406234944736168,0.706,0.17341430499325225,0.7359739869505495,0.0989010989010989,0.6879390040258462,0.6666666666666666,-2.0044503049283025,62000.0,9.3269072E7
63000.0,227.471079136,0.00421219769985283,63000.0,0.6826405502392344,0.1861864954526869,0.711,0.14413987538202735,0.738962148962149,0.09649122807017543,0.6476170895960376,0.5795454545454546,-1.95808285946385,63000.0,8.2623136E7
64000.0,231.721005805,0.004321750721620833,64000.0,0.7281651642919453,0.19946408979514163,0.701,0.15196551137330525,0.6826405502392344,0.10497237569060773,0.6534227773554048,0.6,-2.0617600000000005,64000.0,8.2626496E7
65000.0,235.939714321,0.004430605357855648,65000.0,0.749,0.21839329050814427,0.71,0.18903803131991023,0.7281651642919453,0.1111111111111111,0.6872166082587546,0.66,-1.9685039370078727,65000.0,8.2629856E7
66000.0,240.074128901,0.004537187939703115,66000.0,0.7334108752544344,0.19853006471729678,0.71,0.16793389378245765,0.749,0.10497237569060773,0.668390714429663,0.6210526315789474,-1.969743987587277,66000.0,9.9649376E7
67000.0,244.861593413,0.004652532145879566,67000.0,0.8013620295279684,0.23448323689407646,0.706,0.20585184544904447,0.7334108752544344,0.09170305676855896,0.7459340818048226,0.7976190476190477,-2.0170010721396845,67000.0,9.313064E7
68000.0,249.146603869,0.004744138077392669,68000.0,0.7160618392582877,0.20561029787138707,0.717,0.1933369058341977,0.8013620295279684,0.10987791342952276,0.6892876279550876,0.6565656565656566,-1.9034399517199772,68000.0,8.2636912E7
69000.0,252.948128252,0.004842127395945611,69000.0,0.7569043257714527,0.21541497378045327,0.729,0.20681379148861453,0.7160618392582877,0.10375275938189846,0.7069240941473859,0.6808510638297872,-1.781761380541506,69000.0,8.2640272E7
70000.0,257.35518981,0.0049557076144776625,70000.0,0.7708148095458264,0.22598931871027916,0.722,0.17754885892300293,0.7569043257714527,0.10253583241455347,0.675698443730389,0.6236559139784946,-1.8554658840792386,70000.0,8.2643632E7
71000.0,261.92358307,0.005073894449429835,71000.0,0.6989254821362653,0.2054745560949522,0.724,0.2022521923612759,0.7708148095458264,0.1273957158962796,0.6714971344632245,0.6106194690265486,-1.8285219399538102,71000.0,1.0000184E8
72000.0,266.550857582,0.005186068740622894,72000.0,0.6785848480578648,0.19087578970076602,0.713,0.14370278430857725,0.6989254821362653,0.10375275938189846,0.6352934474032923,0.5531914893617021,-1.9427513528909148,72000.0,9.3706656E7
73000.0,270.926439759,0.005279626529025975,73000.0,0.6867222222222222,0.19501503838210887,0.711,0.17522831050228285,0.6785848480578648,0.1111111111111111,0.6686470585360328,0.62,-1.9622297107554079,73000.0,8.2650688E7
74000.0,275.023956162,0.005384980798873673,74000.0,0.6679619565217392,0.18947444605865676,0.701,0.1365369065496127,0.6867222222222222,0.08695652173913043,0.6588445089370646,0.6125,-2.072202166064981,74000.0,8.81688E7
75000.0,279.626731062,0.0055038230535954065,75000.0,0.6800624481418402,0.18851687910207432,0.712,0.17043045441976218,0.6679619565217392,0.11358574610244988,0.658441442328199,0.5980392156862745,-1.9572836801752482,75000.0,8.2657408E7
76000.0,283.877252173,0.0056136359877529156,76000.0,0.7139664804469273,0.20198237324846918,0.691,0.1401858756747729,0.6800624481418402,0.11731843575418995,0.6299098184313464,0.5619047619047619,-2.169658523417466,76000.0,9.9865088E7
77000.0,288.764956222,0.005736390293995442,77000.0,0.6816143497757847,0.16694161223732695,0.695,0.14452721805860919,0.7139664804469273,0.1210762331838565,0.6288805786968482,0.5555555555555556,-2.124251696155382,77000.0,9.7080992E7
78000.0,293.425978572,0.005836068051119877,78000.0,0.7486967342683214,0.20473162762046393,0.704,0.1914026432391972,0.6816143497757847,0.10987791342952276,0.6963106238227914,0.6868686868686869,-2.031512605042018,78000.0,8.2664576E7
79000.0,297.211782098,0.005917970416230919,79000.0,0.7081750386942451,0.19983336716974176,0.718,0.17923523351048637,0.7486967342683214,0.11482720178372352,0.6634877831269499,0.6019417475728155,-1.886125145744267,79000.0,8.2667936E7
80000.0,301.458885053,0.0060273344829800115,80000.0,0.728707935189032,0.19278765156749667,0.715,0.16924153209351106,0.7081750386942451,0.09529025191675794,0.681619028125472,0.6436781609195402,-1.9208301306687177,80000.0,8.2671296E7
81000.0,305.980978666,0.006144179785947413,81000.0,0.7448363926576217,0.20369237750749847,0.713,0.20489804964538985,0.728707935189032,0.11731843575418995,0.6964509276703085,0.6761904761904762,-1.9385665529010239,81000.0,9.9878976E7
82000.0,310.877076466,0.006265568956875307,82000.0,0.727951189793578,0.1986874970911333,0.72,0.24737656975744,0.7448363926576217,0.14678899082568808,0.7058893797995274,0.6875,-1.8560766264460746,82000.0,9.5836784E7
83000.0,315.400032142,0.0063623100931654636,83000.0,0.711865374296446,0.18176494593008702,0.689,0.16903576085330135,0.727951189793578,0.10741971207087486,0.6804860567406961,0.6701030927835051,-2.1726892822025556,83000.0,8.267824E7
84000.0,319.237409582,0.006456334913148149,84000.0,0.7651551426929707,0.21134789881289834,0.72,0.18831168831168835,0.711865374296446,0.1013215859030837,0.6936985502403988,0.6630434782608695,-1.8585318424890636,84000.0,8.8304672E7
85000.0,323.757819653,0.006579790585234103,85000.0,0.7337962962962963,0.19857698069175156,0.695,0.17007706038573703,0.7651551426929707,0.1210762331838565,0.6608804704180905,0.6203703703703703,-2.1100047984644914,85000.0,8.8308032E7
86000.0,328.437959124,0.006707270927413855,86000.0,0.784483882822966,0.22406277246400247,0.724,0.22454919898179898,0.7337962962962963,0.10253583241455347,0.7367035733075192,0.7526881720430108,-1.8159924071657387,86000.0,8.8311392E7
87000.0,333.132047666,0.006835409496400289,87000.0,0.7403884011705241,0.1942582519824047,0.69,0.18909728216798755,0.784483882822966,0.11731843575418995,0.6923056004588647,0.6952380952380952,-2.1602999765643305,87000.0,1.05519072E8
88000.0,338.078791492,0.00695823865802669,88000.0,0.757667366124883,0.21742992954375584,0.731,0.19052949602185879,0.7403884011705241,0.10253583241455347,0.6855916578611014,0.6344086021505376,-1.7439434334067474,88000.0,9.5980816E7
89000.0,342.766139446,0.007065335533919286,89000.0,0.7630209511742613,0.20161366601845387,0.704,0.17432830491832516,0.757667366124883,0.10864745011086474,0.6759008348487636,0.6428571428571429,-2.019369627507164,89000.0,8.831856E7
90000.0,347.11153581,0.00717420274316892,90000.0,0.7022825219473264,0.2103736658665104,0.684,0.15596036218916118,0.7630209511742613,0.11731843575418995,0.6543284981208185,0.6190476190476191,-2.2208380520951283,90000.0,8.832192E7
91000.0,351.589830419,0.007296440997751886,91000.0,0.7681683550824175,0.21957209557642832,0.724,0.21743864265299612,0.7022825219473264,0.11607142857142858,0.7053669233568683,0.6826923076923077,-1.8112827400940237,91000.0,8.832528E7
92000.0,355.866628124,0.007413099694864083,92000.0,0.7774444444444445,0.21414111389536988,0.732,0.23690205011389506,0.7681683550824175,0.1111111111111111,0.7311102668012687,0.73,-1.7292450741642693,92000.0,8.832864E7
93000.0,360.414606602,0.007537159374003931,93000.0,0.7143,0.1998440299057369,0.705,0.17320627802690547,0.7774444444444445,0.1111111111111111,0.6703730304837747,0.63,-2.00361287497263,93000.0,1.0544224E8
94000.0,365.326162103,0.007662643654057302,94000.0,0.7103327019078817,0.19706583626869784,0.681,0.16514001570269574,0.7143,0.11982082866741321,0.6647871836613911,0.6448598130841121,-2.244886917000326,94000.0,9.875808E7
95000.0,369.956150385,0.007768450362911517,95000.0,0.6525047218406593,0.18257506543022584,0.705,0.15406850037851821,0.7103327019078817,0.11607142857142858,0.6395457103752168,0.5673076923076923,-1.9989299090422699,95000.0,8.8335584E7
96000.0,374.204897806,0.007865548466246298,96000.0,0.6940180210245286,0.19093613765440393,0.729,0.16255670510871306,0.6525047218406593,0.08459869848156182,0.6806748972989182,0.6282051282051282,-1.7609041706462927,96000.0,8.8338944E7
97000.0,378.238054271,0.007975634487053008,97000.0,0.7647389897284368,0.19564759527113823,0.717,0.20392020073588152,0.6940180210245286,0.11482720178372352,0.6956602915394803,0.6699029126213593,-1.8816922107915177,97000.0,8.8342304E7
98000.0,382.912191464,0.008103129291650989,98000.0,0.8273747463536587,0.22479551217763244,0.721,0.2493542832544121,0.7647389897284368,0.10987791342952276,0.7582178693360266,0.8080808080808081,-1.8407272727272734,98000.0,8.8345664E7
99000.0,387.241520694,0.008221201579371696,99000.0,0.746934250418571,0.20662236674217033,0.712,0.19664375613674884,0.8273747463536587,0.10864745011086474,0.6991992472190192,0.6836734693877551,-1.9324282628818275,99000.0,1.05421632E8
100000.0,392.021015316,0.008344236379288637,100000.0,0.7208031672812936,0.19495655844168103,0.719,0.1904536916464036,0.746934250418571,0.09769484083424808,0.703596503378427,0.6853932584269663,-1.8638401956787614,100000.0,9.9505792E7
101000.0,396.738067456,0.008452053350902336,101000.0,0.8053285425766756,0.22844326829337258,0.738,0.23497395407507762,0.7208031672812936,0.10375275938189846,0.7362233351442579,0.7340425531914894,-1.671310316979609,101000.0,8.8352496E7
102000.0,401.152105471,0.008552948209764264,102000.0,0.785018315018315,0.22407009356275498,0.726,0.20014012143858023,0.8053285425766756,0.0989010989010989,0.7089864474457763,0.6888888888888889,-1.7959183673469397,102000.0,8.8355856E7
103000.0,405.601218994,0.00867445066269607,103000.0,0.7769406757116254,0.20678479024837731,0.702,0.20403856940623402,0.785018315018315,0.11731843575418995,0.7032172484636914,0.7047619047619048,-2.0387090387090385,103000.0,8.8359216E7
104000.0,410.256310848,0.008801333042707792,104000.0,0.720398290357428,0.19741137392268154,0.703,0.17015926236378864,0.7769406757116254,0.10375275938189846,0.6781166469269941,0.648936170212766,-2.0297204512015714,104000.0,8.8362576E7
105000.0,414.676933286,0.00892217853601857,105000.0,0.7285086823289071,0.3551214626636396,0.638,0.14218009478672974,0.720398290357428,0.12359550561797752,0.6529261549675076,0.6727272727272727,-2.688500727802036,105000.0,1.0566944E8
106000.0,419.560031943,0.009051624538634593,106000.0,0.7314959469417833,0.433946179931238,0.677,0.1891756200421729,0.7285086823289071,0.12994350282485875,0.6850331740295518,0.6956521739130435,-2.2857965451055677,106000.0,1.02469712E8
107000.0,424.429410963,0.009162948840989726,107000.0,0.7282789458033678,0.21858921465798442,0.719,0.18595084417766555,0.7314959469417833,0.11234705228031146,0.6746548730932891,0.6237623762376238,-1.8578081931375336,107000.0,8.8372832E7
