learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.154741188,1.1785319526990255E-10,1000.0,0.5786346750801485,0.05822136014941644,0.912,0.032626857796148975,0.0,0.09409190371991247,0.15216450953637203,0.023255813953488372,-0.023255813953488403,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.189929042,1.4465278936756982E-10,2000.0,0.5690422538369264,0.02565233266903274,0.901,0.0,0.5786346750801485,0.10987791342952276,0.0,0.0,-0.07027027027026972,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.215138261,1.6385250631305906E-10,3000.0,0.5731764595368936,0.0186494631960724,0.906,0.0,0.5690422538369264,0.10375275938189846,0.0,0.0,-0.010752688172043024,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.251600775,2.1924236856400967E-10,4000.0,0.6112888888888889,0.06890516831249413,0.901,0.04807692307692414,0.5731764595368936,0.1111111111111111,0.17301252363147973,0.03,-0.04485488126649051,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.286279935,2.981917753070593E-10,5000.0,0.6070007128430557,0.06258706572867563,0.887,0.053633044119125596,0.6112888888888889,0.12866817155756208,0.1869997650327192,0.03508771929824561,-0.14604462474644994,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.308732173,3.4930578355160023E-10,6000.0,0.48034632888910817,0.019543852329747445,0.91,-0.001981697134332475,0.6070007128430557,0.09769484083424808,0.0,0.0,0.07216494845360832,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.326830186,3.9050710992680654E-10,7000.0,0.6232832140288386,0.031764943283486606,0.903,0.0,0.48034632888910817,0.10741971207087486,0.0,0.0,0.0,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.343791836,4.291214305990272E-10,8000.0,0.5533911925425908,0.015695657788876903,0.915,0.0,0.6232832140288386,0.09289617486338798,0.0,0.0,0.10994764397905823,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.367024646,4.996107516272201E-10,9000.0,0.5174686725705682,0.05411019702776214,0.909,0.05460438829787165,0.5533911925425908,0.10253583241455347,0.17950626408043718,0.03225806451612903,0.04434072345390916,9000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.383802342,5.505149857451519E-10,10000.0,0.5735780792764033,0.06256135250944143,0.894,0.040984348140775596,0.5174686725705682,0.11731843575418995,0.16865270539162366,0.02857142857142857,-0.10187110187110224,10000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
11000.0,0.400027885,5.997439644775457E-10,11000.0,0.6233040702314445,0.04513662365390266,0.895,0.0,0.5735780792764033,0.11731843575418995,0.0,0.0,-0.0824742268041238,11000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
12000.0,0.415394639,6.463673413255149E-10,12000.0,0.5828205873800524,0.031922290256986285,0.905,0.0,0.6233040702314445,0.10497237569060773,0.0,0.0,0.01893287435456131,12000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
13000.0,0.44104,7.630279186285205E-10,13000.0,0.6859814989697802,0.08918347286889881,0.896,0.09634366745446954,0.5828205873800524,0.11607142857142858,0.2584218469122502,0.0673076923076923,-0.06793048973143721,13000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
14000.0,0.456106508,8.315653637134368E-10,14000.0,0.6506573997069423,0.04948362615518206,0.886,0.0,0.6859814989697802,0.12866817155756208,0.0,0.0,-0.15652173913043516,14000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15000.0,0.470407658,8.966212003264163E-10,15000.0,0.7074255410840835,0.0870165492875333,0.909,0.019565592139286755,0.6506573997069423,0.1013215859030837,0.10425720702853739,0.010869565217391304,0.0726902173913043,15000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.484835009,9.622511244523858E-10,16000.0,0.5919553072625698,0.05369088793410218,0.896,0.045433685176686646,0.7074255410840835,0.11731843575418995,0.16884188403258,0.02857142857142857,-0.055168040583386015,16000.0,17584.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
17000.0,0.502856789,1.0565777133363817E-9,17000.0,0.5694701338265695,0.03887553808688793,0.909,0.0,0.5919553072625698,0.1001100110011001,0.0,0.0,0.07254196642685884,17000.0,20232.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
18000.0,0.516839408,1.1307760485716993E-9,18000.0,0.6249614686440388,0.08415810521359156,0.904,0.06471035248728625,0.5694701338265695,0.10741971207087486,0.2027316280833132,0.041237113402061855,0.02096317280453291,18000.0,20512.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
19000.0,0.533699846,1.2330168132939273E-9,19000.0,0.5294220350989215,0.060624639809834936,0.89,0.07108716580249654,0.6249614686440388,0.1273957158962796,0.21011429765306136,0.04424778761061947,-0.11288604898828587,19000.0,23440.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
20000.0,0.548052215,1.3200487861368393E-9,20000.0,0.5568728730492627,0.044016353567924875,0.9,0.017662429517278998,0.5294220350989215,0.11234705228031146,0.09950371902099892,0.009900990099009901,-0.010611419909044928,20000.0,23440.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
21000.0,0.562426225,1.4072119888083803E-9,21000.0,0.621576665521978,0.047718676279503755,0.896,0.0,0.5568728730492627,0.11607142857142858,0.0,0.0,-0.048487758041286716,21000.0,23440.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
22000.0,0.579277568,1.5209414374310938E-9,22000.0,0.6195385370643103,0.06748249937472428,0.906,0.05449717355006064,0.621576665521978,0.10741971207087486,0.17586311452816475,0.030927835051546393,0.05137614678899137,22000.0,26088.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
23000.0,0.594236671,1.6229837686630587E-9,23000.0,0.6137064316864539,0.07284503377217552,0.905,0.07052285535378931,0.6195385370643103,0.10987791342952276,0.20100756305184242,0.04040404040404041,0.04124616059675348,23000.0,26368.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
24000.0,0.608852746,1.7226861616782846E-9,24000.0,0.5883088612364078,0.042502094195819795,0.893,0.014478871163835135,0.6137064316864539,0.11982082866741321,0.09661950515968384,0.009345794392523364,-0.07627829002514608,24000.0,26368.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
25000.0,0.62344362,1.8222166480765577E-9,25000.0,0.6033741143473119,0.046000920147365384,0.893,0.0,0.5883088612364078,0.11982082866741321,0.0,0.0,-0.07300441235459237,25000.0,26368.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
26000.0,0.638067437,1.9219718525289665E-9,26000.0,0.6181388298113036,0.04652159300651641,0.902,0.0,0.6033741143473119,0.10864745011086474,0.0,0.0,0.016595908915477384,26000.0,26368.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
27000.0,0.652630362,2.021311687046869E-9,27000.0,0.6387799810077192,0.04595517202806383,0.879,0.0,0.6181388298113036,0.13765642775881684,0.0,0.0,-0.20464601769911497,27000.0,26368.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
28000.0,0.669567767,2.148451639360024E-9,28000.0,0.7279449989602828,0.060318505248419474,0.916,0.0,0.6387799810077192,0.09170305676855896,0.0,0.0,0.158798283261803,28000.0,29016.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
29000.0,0.683951236,2.257462457211481E-9,29000.0,0.6339342717295473,0.08632703457086918,0.891,0.08233709378683203,0.7279449989602828,0.12485939257592801,0.23197163881047186,0.05405405405405406,-0.08737530099759191,29000.0,29296.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
30000.0,0.69844871,2.367337307118707E-9,30000.0,0.5923076923076923,0.034790513634365056,0.907,-0.005840363400389195,0.6339342717295473,0.0989010989010989,0.0,0.0,0.06906906906906925,30000.0,29296.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
31000.0,0.715435244,2.5077129309334686E-9,31000.0,0.6201144154766584,0.07112939463563925,0.9,0.06345995354761472,0.5923076923076923,0.11358574610244988,0.197808862834788,0.0392156862745098,-3.2268473701186804E-4,31000.0,31944.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
32000.0,0.729710251,2.6267146973849998E-9,32000.0,0.5836390235381458,0.0513121591091451,0.9,0.03467449223878329,0.6201144154766584,0.11358574610244988,0.14002800840280097,0.0196078431372549,3.124023742584261E-4,32000.0,32224.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
33000.0,0.744083241,2.746533286559085E-9,33000.0,0.6612426659913048,0.043766850455352814,0.893,-0.0019852417874677043,0.5836390235381458,0.1185682326621924,0.0,0.0,-0.06773510734804959,33000.0,32224.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
34000.0,0.758592889,2.8674911076368556E-9,34000.0,0.4970813158966469,0.023722179507124894,0.902,0.0,0.6612426659913048,0.10864745011086474,0.0,0.0,0.02143906020557983,34000.0,32224.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
35000.0,0.777571153,3.054452120715545E-9,35000.0,0.6223550489605536,0.05639136097682555,0.893,0.032234723779891325,0.4970813158966469,0.122334455667789,0.13545709229571928,0.01834862385321101,-0.06573705179282804,35000.0,38080.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
36000.0,0.792075056,3.1973347573189268E-9,36000.0,0.5957435488161745,0.05806859617713124,0.893,0.024968106433387698,0.6223550489605536,0.11731843575418995,0.1377043573164718,0.01904761904761905,-0.06438242608455365,36000.0,38080.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
37000.0,0.806593759,3.3403631935061677E-9,37000.0,0.6381555555555556,0.057462215045861124,0.9,0.01574803149606344,0.5957435488161745,0.1111111111111111,0.09994442900376634,0.01,0.005108900242001256,37000.0,38080.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
38000.0,0.821388873,3.4861146437997617E-9,38000.0,0.6330788461754056,0.05374731855528835,0.902,0.03358775614855157,0.6381555555555556,0.10987791342952276,0.14205491341728144,0.020202020202020204,0.02462022001047649,38000.0,38080.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
39000.0,0.83596491,3.629707895753284E-9,39000.0,0.6084735576923077,0.03944854313129099,0.895,-0.0019848843423160736,0.6330788461754056,0.11607142857142858,0.0,0.0,-0.04411014788373296,39000.0,38080.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
40000.0,0.850533089,3.773223736008836E-9,40000.0,0.6258389261744967,0.04034430423086305,0.893,-0.0019852417874677043,0.6084735576923077,0.1185682326621924,0.0,0.0,-0.06256206554121124,40000.0,38080.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
41000.0,0.867591555,3.951722270900176E-9,41000.0,0.6008205042333413,0.037401596037936226,0.892,-0.001985415545617579,0.6258389261744967,0.11982082866741321,0.0,0.0,-0.07085852478839186,41000.0,40448.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
42000.0,0.883281076,4.1181692444615885E-9,42000.0,0.5565353635911128,0.06564494243554456,0.906,0.07129307619348824,0.6008205042333413,0.10864745011086474,0.20203050891044214,0.04081632653061224,0.0673281360737066,42000.0,41008.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
43000.0,0.898908179,4.28395403801153E-9,43000.0,0.5976127684351132,0.040431239621470966,0.9,0.010194991586658278,0.5565353635911128,0.10741971207087486,0.10130948404895328,0.010309278350515464,0.006928406466513066,43000.0,41008.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
44000.0,0.914155523,4.445710044689476E-9,44000.0,0.5980841958008797,0.028064189205360822,0.905,-0.00393118315931901,0.5976127684351132,0.10253583241455347,0.0,0.0,0.05494008591453782,44000.0,41008.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
45000.0,0.929305484,4.606432934701442E-9,45000.0,0.6129150810304561,0.03550295690606874,0.906,-0.0019826465133137867,0.5980841958008797,0.10253583241455347,0.0,0.0,0.06333038086802485,45000.0,41008.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
46000.0,0.944459455,4.767198365997108E-9,46000.0,0.6015217697618712,0.03234306800203605,0.906,0.0,0.6129150810304561,0.10375275938189846,0.0,0.0,0.062039045553145496,46000.0,41008.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
47000.0,0.960179102,4.933964940235018E-9,47000.0,0.6630539221338253,0.03466092879854632,0.882,0.0,0.6015217697618712,0.13378684807256236,0.0,0.0,-0.173011844331641,47000.0,41008.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
48000.0,0.975468332,5.096165307064851E-9,48000.0,0.5233525481462072,0.029262530529040043,0.898,0.0,0.6630539221338253,0.11358574610244988,0.0,0.0,-0.013664596273292081,48000.0,41008.0,27.0,14.0,14.0,6.0,0.0,0.0,1.0
49000.0,0.992886839,5.292887110666682E-9,49000.0,0.535533764111223,0.027775209783051313,0.897,0.0,0.5233525481462072,0.11482720178372352,0.0,0.0,-0.023109669572268007,49000.0,43656.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
50000.0,1.010517979,5.50281125144619E-9,50000.0,0.5530348557692307,0.025730780825099366,0.896,0.0,0.535533764111223,0.11607142857142858,0.0,0.0,-0.03236053206273504,50000.0,46024.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
51000.0,1.026659695,5.696170896753254E-9,51000.0,0.6179396161647683,0.03539110900951833,0.884,0.0,0.5530348557692307,0.13122171945701358,0.0,0.0,-0.14806908596933832,51000.0,46304.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
52000.0,1.042084456,5.882059536721142E-9,52000.0,0.6246427717138145,0.04495034697779891,0.912,-0.001981190080385038,0.6179396161647683,0.09529025191675794,0.0,0.0,0.1267175572519083,52000.0,46584.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
