learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.177963155,6.4815820954119175E-9,1000.0,0.548480775692411,0.06811427892131208,0.52,0.04032245165624344,0.0,1.0080321285140563,0.5184634035964486,0.47808764940239046,0.002079002079002081,1000.0,140784.0,15.0,0.45516250632016186,0.544837493679838,1110.9333333333336,8.946649634502283,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.264693085,9.640366066309314E-9,2000.0,0.5023049219687875,0.022972877585409918,0.488,-0.021385253750398996,0.548480775692411,1.0408163265306123,0.48510012250208784,0.42549019607843136,-0.05025641025641018,2000.0,140784.0,15.0,0.19837284357963036,0.8016271564203696,2204.4,12.880697999424592,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.33167717,1.207998816681405E-8,3000.0,0.48053319678033635,0.013000895706504784,0.479,-0.04322683475767513,0.5023049219687875,0.9762845849802372,0.4758661666893732,0.4291497975708502,-0.07128169979437986,3000.0,140784.0,15.0,0.5799707549405761,0.4200292450594241,3313.6000000000004,16.17369999191812,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.460738687,1.8850335456139098E-8,4000.0,0.6204194035167774,0.07098234626740607,0.597,0.1971727732003123,0.48053319678033635,1.053388090349076,0.5938673341795871,0.52046783625731,0.16950025759917556,4000.0,202776.0,15.0,0.3935270822091433,0.6064729177908568,4408.733333333333,16.891380350898768,7043.2,383.36518956659137,3.8,0.26186146828319085,2.4000000000000004,0.13093073414159542,2.4000000000000004,0.13093073414159542,1.4,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.545333889,2.3611075848843903E-8,5000.0,0.6208787909118206,0.05243636912883698,0.594,0.1884382433485917,0.6204194035167774,0.941747572815534,0.594237163113704,0.6061855670103092,0.16735028712059064,5000.0,217536.0,15.0,0.6782368652132165,0.32176313478678353,5513.599999999999,17.85491795663296,8019.2,346.05261367105936,4.466666666666667,0.23637473611411153,2.7333333333333334,0.11818736805705576,2.7333333333333334,0.11818736805705576,1.7333333333333334,0.11818736805705575,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.621006801,2.8100859959628434E-8,6000.0,0.5877928666167119,0.044694579745408136,0.572,0.14205417887769456,0.6208787909118206,0.9193857965451055,0.5704858464801947,0.5469728601252609,0.11691884456671246,6000.0,229344.0,15.0,0.48288524521287485,0.5171147547871251,6610.599999999999,21.73975949400412,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.69502735,3.276988693302083E-8,7000.0,0.5483746936029094,0.035122506243239315,0.543,0.0896051635523328,0.5877928666167119,1.0746887966804979,0.5420893318018487,0.48841698841698844,0.06543967280163605,7000.0,243824.0,15.0,0.434531906286891,0.5654680937131089,7710.066666666667,21.605878094952974,9757.333333333336,452.8429841059352,5.666666666666667,0.31872762915583835,3.3333333333333335,0.15936381457791918,3.3333333333333335,0.15936381457791918,2.0666666666666664,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.761487046,3.701756295924592E-8,8000.0,0.6135544542178168,0.03751119876134984,0.578,0.15611139329608484,0.5483746936029094,0.9960079840319361,0.5771146612635386,0.6112224448897795,0.1453164556962025,8000.0,247056.0,15.0,0.37220763081766955,0.6277923691823304,8822.266666666668,23.8072551300102,9971.2,478.1403977912763,5.8,0.32659863237109044,3.4,0.16329931618554522,3.4,0.16329931618554522,2.133333333333334,0.09085135251589961,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.8453248,4.301150374793965E-8,9000.0,0.5952741096438575,0.04141608705148769,0.587,0.17594477034199277,0.6135544542178168,1.0408163265306123,0.5850683053873176,0.5274509803921569,0.16189402480270565,9000.0,276360.0,15.0,0.35867243180992553,0.6413275681900744,9937.333333333334,25.265196589976448,11907.733333333334,441.48036106530174,7.4,0.34914862437758776,4.199999999999999,0.1745743121887939,4.199999999999999,0.1745743121887939,2.5999999999999996,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.925988416,4.933743245148617E-8,10000.0,0.6141938271012336,0.03875455442938952,0.56,0.12050658820519392,0.5952741096438575,1.0080321285140563,0.5556122202391057,0.48804780876494025,0.10804784107034263,10000.0,303144.0,15.0,0.47621237347322143,0.5237876265267789,11073.066666666668,28.461915517417903,13680.0,547.1572247274348,8.333333333333332,0.37374127372092536,4.666666666666666,0.1868706368604627,4.666666666666666,0.1868706368604627,3.0666666666666673,0.1817027050317991,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.99917631,5.524476573361911E-8,11000.0,0.6566416641664167,0.0472152824148363,0.611,0.22321178960821117,0.6141938271012336,1.02020202020202,0.6066537751306655,0.5326732673267327,0.2113896056026539,11000.0,312000.0,15.0,0.3973377099586751,0.6026622900413249,12207.999999999998,26.79481115368995,14265.599999999999,561.8815736942644,8.733333333333333,0.3837988891354264,4.866666666666666,0.1918994445677132,4.866666666666666,0.1918994445677132,3.2,0.17457431218879388,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.079356641,6.215640230487618E-8,12000.0,0.6529724485213932,0.05262132678118475,0.615,0.2245657568238214,0.6566416641664167,0.9083969465648855,0.6080030546091112,0.5441176470588235,0.21668362156663282,12000.0,333208.0,15.0,0.5160775931004806,0.4839224068995194,13315.066666666668,19.979624541652317,15667.200000000003,607.7301656868071,9.933333333333334,0.3837988891354264,5.466666666666667,0.1918994445677132,5.466666666666667,0.1918994445677132,3.4666666666666663,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.166301934,6.99045453720188E-8,13000.0,0.6627047490985637,0.05506687948440114,0.617,0.23480804270690145,0.6529724485213932,1.0449897750511248,0.6170123668633046,0.5909980430528375,0.22105757196495612,13000.0,344472.0,15.0,0.4205227975422907,0.5794772024577093,14405.4,18.148802925235824,16412.8,557.0167065973617,10.2,0.38047589248453684,5.6,0.19023794624226842,5.6,0.19023794624226842,3.533333333333333,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.298596637,8.250225936346584E-8,14000.0,0.6075252664848041,0.0482027523222216,0.588,0.16924429460371734,0.6627047490985637,0.9267822736030829,0.5747564860062824,0.4802494802494803,0.16138412329165455,14000.0,368088.0,15.0,0.5693941594506936,0.43060584054930645,15525.133333333331,21.108758431979982,17974.4,692.1052273421185,11.266666666666666,0.472749472228223,6.133333333333333,0.2363747361141115,6.133333333333333,0.2363747361141115,3.733333333333333,0.11818736805705578,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.400702001,9.269285114566485E-8,15000.0,0.5947042442865373,0.042730716417194226,0.567,0.13629400312769274,0.6075252664848041,1.032520325203252,0.5620897454052722,0.484251968503937,0.11968013011656266,15000.0,385792.0,15.0,0.5225516633571148,0.47744833664288516,16617.466666666667,23.219627712586384,19144.533333333336,484.7727584153086,12.2,0.3265986323710905,6.6,0.16329931618554525,6.6,0.16329931618554525,3.933333333333333,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.497275127,1.026193099721397E-7,16000.0,0.6199135274624438,0.048106604123654806,0.599,0.19298358597039192,0.5947042442865373,0.9193857965451055,0.5919409558257516,0.5260960334029228,0.1844413372314733,16000.0,397320.0,15.0,0.37876184600155743,0.6212381539984425,17740.000000000004,16.15136733117862,19907.2,502.0053044682752,12.6,0.34914862437758776,6.8,0.17457431218879388,6.8,0.17457431218879388,4.066666666666666,0.11818736805705578,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.58375442,1.1204304068975771E-7,17000.0,0.6017909802776099,0.04015393696549413,0.597,0.19032732474504338,0.6199135274624438,0.9646365422396856,0.5816301291445533,0.47046843177189407,0.17745227518309512,17000.0,421224.0,15.0,0.5439595979257507,0.4560404020742493,18849.266666666663,17.409211209030637,21487.999999999996,547.1572247274347,13.666666666666668,0.37374127372092536,7.333333333333334,0.18687063686046268,7.333333333333334,0.18687063686046268,4.133333333333334,0.13333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.650016123,1.1951665659874056E-7,18000.0,0.6109116812537269,0.039385799607697614,0.577,0.15026114905584567,0.6017909802776099,0.9569471624266145,0.5663596467022661,0.47648261758691207,0.13595097594189726,18000.0,435984.0,15.0,0.3628734810597584,0.6371265189402416,19935.8,22.880892423488223,22463.999999999996,617.2765992648676,14.333333333333334,0.4216370213557839,7.666666666666667,0.21081851067789195,7.666666666666667,0.21081851067789195,4.333333333333334,0.1868706368604627,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.717560253,1.2739282867397492E-7,19000.0,0.6545774577457746,0.04852882938458941,0.614,0.2262823468099179,0.6109116812537269,0.9801980198019802,0.6029729327554957,0.503030303030303,0.2117368873602752,19000.0,450744.0,15.0,0.5215492332882217,0.47845076671177833,21044.733333333334,23.46394735326572,23440.000000000004,638.9419826109859,15.0,0.4364357804719847,8.0,0.21821789023599236,8.0,0.21821789023599236,4.533333333333333,0.2363747361141115,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.786288792,1.3566954667481904E-7,20000.0,0.6552941176470588,0.04679416755199384,0.603,0.20405790127912102,0.6545774577457746,0.9607843137254902,0.5989252746326853,0.5428571428571428,0.19053930064226735,20000.0,465504.0,15.0,0.4517768600553921,0.548223139944608,22142.8,24.08639212738778,24416.000000000004,737.7866513140116,15.666666666666666,0.5039526306789696,8.333333333333334,0.25197631533948484,8.333333333333334,0.25197631533948484,4.666666666666666,0.23231068414572317,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.854273222,1.4390843239845295E-7,21000.0,0.594487038334501,0.03887487130351025,0.555,0.11520260866107308,0.6552941176470588,1.0618556701030928,0.5490057072015607,0.458252427184466,0.09210142815505686,21000.0,468448.0,15.0,0.43629089033027535,0.5637091096697247,23249.266666666666,24.730637768655324,24610.133333333335,745.5477875307951,15.933333333333334,0.47274947222822294,8.466666666666667,0.23637473611411147,8.466666666666667,0.23637473611411147,4.666666666666666,0.23231068414572317,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.927355252,1.53150623984579E-7,22000.0,0.6347579031612645,0.04522219495479679,0.592,0.18731575173292966,0.594487038334501,1.0408163265306123,0.5849246573208354,0.49019607843137253,0.1675785959380505,22000.0,488840.0,15.0,0.39153297452275043,0.6084670254772496,24368.0,23.317273384665565,25958.93333333333,691.6046728385105,16.733333333333334,0.47274947222822306,8.866666666666667,0.23637473611411153,8.866666666666667,0.23637473611411153,4.733333333333333,0.22817425810877978,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.997521301,1.622333074516865E-7,23000.0,0.5933577740778688,0.03915937418576454,0.559,0.12233915521660924,0.6347579031612645,1.0491803278688525,0.5517022024465973,0.45703125,0.09872045494935154,23000.0,500368.0,15.0,0.49899634778123275,0.5010036522187673,25472.6,25.88156173988033,26721.066666666666,918.6318163270058,17.26666666666667,0.6434036477735062,9.133333333333335,0.3217018238867531,9.133333333333335,0.3217018238867531,4.8,0.22253945610567472,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.075243745,1.7277460602873523E-7,24000.0,0.6535377915470858,0.04836302365858136,0.597,0.198915454769534,0.5933577740778688,1.053388090349076,0.5878925390944891,0.47953216374269003,0.17622008346818838,24000.0,524264.0,15.0,0.4805697472187917,0.5194302527812084,26572.93333333333,23.053244099086413,28301.333333333332,741.5409096165366,18.333333333333332,0.5039526306789694,9.666666666666666,0.2519763153394847,9.666666666666666,0.2519763153394847,5.0,0.19518001458970663,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.146258792,1.826282737347132E-7,25000.0,0.6577007363960102,0.050548468173089556,0.621,0.22917971705404286,0.6535377915470858,0.8450184501845018,0.6069259774525267,0.5240174672489083,0.2248854712041884,25000.0,536352.0,15.0,0.5364335656034488,0.46356643439655143,27680.600000000002,25.345573484103642,29100.800000000003,726.6355816855025,18.866666666666674,0.4963357798398245,9.933333333333337,0.24816788991991226,9.933333333333337,0.24816788991991226,5.133333333333334,0.2363747361141115,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,2.214827089,1.9226164735604286E-7,26000.0,0.6205539943797672,0.04538510156392772,0.565,0.14366707350683086,0.6577007363960102,1.127659574468085,0.5565348432166409,0.4358490566037736,0.11035947455360641,26000.0,543072.0,15.0,0.4824928777458744,0.5175071222541257,28797.533333333333,23.30641985267586,29544.000000000004,711.267681176162,19.533333333333335,0.4563485162175596,10.266666666666667,0.2281742581087798,10.266666666666667,0.2281742581087798,5.333333333333333,0.23231068414572317,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,2.287418032,2.02883085529738E-7,27000.0,0.6325238987366095,0.04400616233985799,0.607,0.21850764788698782,0.6205539943797672,1.0576131687242798,0.6006753496911369,0.5038910505836576,0.19607546026214107,27000.0,565592.0,15.0,0.45978458882759654,0.5402154111724033,29910.466666666667,24.100556537076635,31034.13333333333,623.8126540088676,20.2,0.42761798705987897,10.6,0.21380899352993948,10.6,0.21380899352993948,5.3999999999999995,0.23502786055720126,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,2.362171209,2.142273218653558E-7,28000.0,0.6468286895069968,0.049294758090653534,0.597,0.20134760206103847,0.6325238987366095,1.0964360587002095,0.5926408594303735,0.497131931166348,0.17490494296577944,28000.0,586608.0,15.0,0.2668841166073943,0.7331158833926057,31017.466666666664,19.92697780508715,32423.466666666667,446.6725003172711,21.266666666666666,0.2666666666666666,11.133333333333333,0.1333333333333333,11.133333333333333,0.1333333333333333,5.6,0.23502786055720123,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,2.4374602,2.2611674289514416E-7,29000.0,0.6534933973589436,0.060054047997580906,0.617,0.2310780967677173,0.6468286895069968,0.9607843137254902,0.6081216364921643,0.5224489795918368,0.215884221673138,29000.0,610424.0,15.0,0.757848582844578,0.2421514171554219,32135.13333333333,21.31171523714599,33998.399999999994,622.7436436562687,22.333333333333332,0.4216370213557839,11.666666666666666,0.21081851067789195,11.666666666666666,0.21081851067789195,5.666666666666666,0.21081851067789195,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.517619162,2.3937559860425486E-7,30000.0,0.677370709482838,0.06894306035663711,0.624,0.24818344323984942,0.6534933973589436,1.0040080160320641,0.6211099283622605,0.562874251497006,0.2306118272969102,30000.0,639376.0,15.0,0.40045909127162055,0.5995409087283795,33243.86666666667,24.716269302910476,35912.0,608.4274186865051,23.8,0.47005572111440247,12.4,0.23502786055720123,12.4,0.23502786055720123,5.733333333333333,0.2281742581087798,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,2.590080991,2.516988710692939E-7,31000.0,0.653447385177265,0.06173895918860001,0.594,0.1932118514396994,0.677370709482838,1.0703933747412009,0.5891971734703626,0.4990328820116054,0.1686922060766182,31000.0,657384.0,15.0,0.5401281632028481,0.4598718367971517,34363.0,25.920023515568165,37104.000000000015,841.2062087944224,24.333333333333332,0.574594404914223,12.666666666666666,0.2872972024571115,12.666666666666666,0.2872972024571115,5.8,0.22253945610567472,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,2.663074993,2.6449228381878803E-7,32000.0,0.6569984310963115,0.05995391911733128,0.604,0.2111805201427843,0.653447385177265,1.0491803278688525,0.5998660412275667,0.51953125,0.18935516888433984,32000.0,677488.0,15.0,0.4426036190270053,0.5573963809729947,35477.40000000001,27.736652731754138,38433.06666666667,807.9886342120617,25.26666666666667,0.5474326805028538,13.133333333333335,0.2737163402514269,13.133333333333335,0.2737163402514269,5.933333333333334,0.2666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
