learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.182593069,1.3906560298469333E-10,1000.0,0.5505888094209508,0.08425442158552959,0.534,0.06800000000000006,0.0,1.0080321285140563,0.5340005266898152,0.5338645418326693,0.031185031185031215,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.22532785,1.7161304917600422E-10,2000.0,0.5024129651860745,0.029017086525329888,0.48,-0.039334825711544674,0.5505888094209508,1.0408163265306123,0.48005851984210135,0.4647058823529412,-0.06666666666666661,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.258402369,1.9680309583743415E-10,3000.0,0.4608703653326079,0.013578891711770846,0.462,-0.07532899470730264,0.5024129651860745,0.9762845849802372,0.46160013296609503,0.48785425101214575,-0.10623714873200829,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.312683309,2.7926076152258453E-10,4000.0,0.5383519259019097,0.06679201965981163,0.535,0.074140443934724,0.4608703653326079,1.053388090349076,0.5301754560007115,0.4502923976608187,0.04173106646058731,4000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.352874194,3.707579756197003E-10,5000.0,0.5811510359323391,0.09098202362558355,0.551,0.10253847691385172,0.5383519259019097,0.941747572815534,0.5512254207836085,0.5628865979381443,0.0791632485643972,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.37146498,4.130811323970557E-10,6000.0,0.5451536510404353,0.05945657804789739,0.543,0.08492387047167471,0.5811510359323391,0.9193857965451055,0.5423493966247089,0.5302713987473904,0.05708390646492447,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.388665402,4.52239033356309E-10,7000.0,0.5219644659478684,0.04117351522276097,0.525,0.0522518496053377,0.5451536510404353,1.0746887966804979,0.5251260625473756,0.4922779922779923,0.02862985685071577,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.40423544,4.876852570556933E-10,8000.0,0.5813343253373013,0.042533265492829486,0.581,0.16202011151732354,0.5219644659478684,0.9960079840319361,0.5809796469321457,0.5871743486973948,0.1513924050632911,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.426268286,5.545338369243675E-10,9000.0,0.567374949979992,0.1076080078340104,0.548,0.09744408945686914,0.5813343253373013,1.0408163265306123,0.5472876844254851,0.5078431372549019,0.08275084554678698,9000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.442025199,6.023409725601475E-10,10000.0,0.5745411926590825,0.06410159079428651,0.556,0.11187210958378023,0.567374949979992,1.0080321285140563,0.5556446165086437,0.5737051792828686,0.099939185080073,10000.0,11728.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
