learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.158147456,5.759876077969869E-9,1000.0,0.9556388888888889,0.7835358784830084,0.942,0.7178988326848247,0.0,0.1111111111111111,0.9091204540653565,0.87,0.4199999999999994,1000.0,140784.0,15.0,0.904239758308017,0.09576024169198305,201.46666666666667,2.9029814996485226,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.240088599,8.744248013533653E-9,2000.0,0.9913431013431013,0.8747521362155216,0.94,0.7139042532901007,0.9556388888888889,0.0989010989010989,0.9567956288873164,0.9777777777777777,0.3684210526315782,2000.0,140784.0,15.0,0.9928666287867793,0.007133371213220564,377.20000000000005,4.9494588448781816,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.294066737,1.0710181539518138E-8,3000.0,0.9880507376395534,0.8554756142965426,0.94,0.7073284944977756,0.9913431013431013,0.09649122807017543,0.9515985354797856,0.9659090909090909,0.35251798561151027,3000.0,140784.0,15.0,0.9805510673178562,0.019448932682143625,549.0666666666666,5.882554244921531,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.337327961,1.22857951821511E-8,4000.0,0.9884079417930695,0.8643684578194739,0.943,0.7438294353461447,0.9880507376395534,0.10987791342952276,0.9635214769146276,0.98989898989899,0.39522546419098054,4000.0,140784.0,15.0,0.8283183435124134,0.1716816564875866,738.0666666666668,6.233906263458529,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.377990742,1.3766771136298776E-8,5000.0,0.9882001872366984,0.8602456081180295,0.951,0.7955334490586191,0.9884079417930695,0.13122171945701358,0.9646283634355723,0.9827586206896551,0.503042596348884,5000.0,140784.0,15.0,0.9153920462330316,0.08460795376696832,963.1333333333333,6.8950407759191155,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.41724677,1.5196511849885185E-8,6000.0,0.9858426966292135,0.8416338548699528,0.935,0.7294597519354036,0.9882001872366984,0.12359550561797752,0.9474119362321859,0.9636363636363636,0.35323383084577187,6000.0,140784.0,15.0,0.8183707202297914,0.18162927977020846,1174.8,8.248636250920514,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.45477058,1.6563163587699335E-8,7000.0,0.9883333333333333,0.8592313139790008,0.935,0.7159090909090912,0.9858426966292135,0.1111111111111111,0.9546727187890099,0.98,0.35277382645803745,7000.0,140784.0,15.0,0.8247914779960241,0.1752085220039758,1368.8,8.21682362450299,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.49131651,1.7894200034812093E-8,8000.0,0.9883207178819742,0.850162778450114,0.934,0.7068672997148622,0.9883333333333333,0.10741971207087486,0.9539223862969377,0.979381443298969,0.34000000000000036,8000.0,140784.0,15.0,0.9849016416966101,0.015098358303389936,1565.8666666666668,9.842505810763875,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.54979348,2.006428625031064E-8,9000.0,0.9839106145251396,0.8506047382309987,0.938,0.7383193348246316,0.9883207178819742,0.11731843575418995,0.9647415493194228,1.0,0.38342541436464006,9000.0,143448.0,15.0,0.8670179921117758,0.1329820078882243,1771.3333333333335,10.166549569973592,3120.0,176.0,1.1333333333333335,0.1333333333333333,1.0666666666666667,0.06666666666666665,1.0666666666666667,0.06666666666666665,0.06666666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.593025907,2.1668645947730788E-8,10000.0,0.9898874939241977,0.871822917018737,0.946,0.7421228068499822,0.9839106145251396,0.10253583241455347,0.9604143395778828,0.978494623655914,0.4589178356713422,10000.0,143448.0,15.0,0.9442268711642933,0.055773128835706835,1958.5333333333335,11.146157427419798,3120.0,176.0,1.1333333333333335,0.1333333333333333,1.0666666666666667,0.06666666666666665,1.0666666666666667,0.06666666666666665,0.06666666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
