learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.075857305,5.101097061834608E-7,1000.0,0.5,0.0,0.907,0.0,0.0,0.10253583241455347,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.452575027,2.0631932765352437E-6,2000.0,0.761007326007326,0.49267478324323466,0.934,0.5522388059701495,0.5,0.0989010989010989,0.7134586175968436,0.5222222222222223,0.2786885245901647,2000.0,2525920.0
3000.0,5.912393767,6.238376500118793E-6,3000.0,0.9949533335360107,0.8581986269340474,0.94,0.7541366508494576,0.761007326007326,0.12485939257592801,0.965664764007388,1.0,0.38775510204081565,3000.0,3266800.0
4000.0,8.26141672,1.1355723228743046E-5,4000.0,0.9975111996017919,0.8627453332003964,0.946,0.7547773014604371,0.9949533335360107,0.10864745011086474,0.9696045780079698,1.0,0.4489795918367341,4000.0,8420928.0
5000.0,10.656128298,1.7250360419588952E-5,5000.0,0.9949451941132801,0.8774132801427809,0.948,0.7684607986321376,0.9975111996017919,0.11358574610244988,0.9706150324421483,1.0,0.4736842105263153,5000.0,9514944.0
6000.0,13.028873194,2.4296096963924106E-5,6000.0,0.9975710014947683,0.8683704614959421,0.944,0.7632895982686324,0.9949451941132801,0.1210762331838565,0.9681010954139573,1.0,0.44186046511627886,6000.0,1.1478304E7
7000.0,15.658480961,4.081720448022756E-5,7000.0,0.9973184273142728,0.8748918018381112,0.939,0.7084798898914204,0.9975710014947683,0.09529025191675794,0.9660161979144438,1.0,0.3802612481857759,7000.0,2.2205216E7
8000.0,18.538171066,7.013688805476785E-5,8000.0,0.9959605222935499,0.8670286290863721,0.937,0.7300077140653126,0.9973184273142728,0.11358574610244988,0.9642842412875706,1.0,0.3628318584070805,8000.0,2.2204656E7
9000.0,21.246534685,9.740859025379647E-5,9000.0,0.9967839030223066,0.8744104141474218,0.943,0.7054446235892345,0.9959605222935499,0.08577633007600434,0.9685611747255141,1.0,0.41034482758620644,9000.0,3.892312E7
10000.0,24.597339593,1.1822391589898175E-4,10000.0,0.996576665521978,0.8532499998124184,0.938,0.7366990555140313,0.9967839030223066,0.11607142857142858,0.9647816185171499,1.0,0.3634496919917862,10000.0,2.4012448E7
11000.0,27.332698545,1.4735295430480977E-4,11000.0,0.9949997816498537,0.8411188661136658,0.943,0.750616895049089,0.996576665521978,0.11358574610244988,0.9677425341856998,1.0,0.4172862453531592,11000.0,3.9210192E7
12000.0,30.598272766,1.948109330371689E-4,12000.0,0.9958126269804176,0.8704458205751805,0.945,0.7813886194890056,0.9949997816498537,0.13507377979568672,0.9682824702075512,1.0,0.4476987447698741,12000.0,5.617616E7
13000.0,34.279556026,2.6464879954999796E-4,13000.0,0.9977708239578864,0.8524560395433547,0.942,0.7549537369555113,0.9958126269804176,0.11982082866741321,0.966980036990056,1.0,0.4208909370199687,13000.0,3.8708416E7
14000.0,38.146315987,3.2034591609187514E-4,14000.0,0.9953964250707606,0.8476925762923325,0.933,0.7149712418745536,0.9977708239578864,0.11234705228031146,0.9620149414105891,1.0,0.33143264433357134,14000.0,5.5678544E7
15000.0,41.598181663,3.743345315136697E-4,15000.0,0.9992338632445892,0.8690596537039497,0.954,0.7751798561151076,0.9953964250707606,0.1013215859030837,0.9743403958824955,1.0,0.5384615384615381,15000.0,5.5969632E7
16000.0,44.947113773,4.376170929622518E-4,16000.0,0.9955314720123083,0.8470937697132679,0.933,0.7095291771438483,0.9992338632445892,0.10864745011086474,0.9621437630845882,1.0,0.3270558694287513,16000.0,7.3043248E7
17000.0,49.239573459,5.011637207988103E-4,17000.0,0.9962225274725275,0.8570372230516969,0.944,0.757281553398058,0.9955314720123083,0.11607142857142858,0.9682458365518543,1.0,0.43901001767825554,17000.0,5.7225376E7
18000.0,52.696964856,5.676483922808226E-4,18000.0,0.9974360571333666,0.8585358063302273,0.935,0.7332041767912263,0.9962225274725275,0.1210762331838565,0.9628759239087087,1.0,0.3518005540166212,18000.0,5.6103088E7
19000.0,56.362777943,6.367871379323679E-4,19000.0,0.9934300960050222,0.8493637311575694,0.943,0.7522170057381322,0.9974360571333666,0.11482720178372352,0.9677059726478533,1.0,0.43238993710691787,19000.0,7.2904368E7
20000.0,60.158066824,7.009497601886015E-4,20000.0,0.9971466816964915,0.8729144168995664,0.952,0.7706685013186558,0.9934300960050222,0.10375275938189846,0.9731494579712147,1.0,0.5204795204795198,20000.0,5.5979936E7
21000.0,63.65650934,7.669731850365122E-4,21000.0,0.996871989695966,0.8629151317105531,0.94,0.741848878333376,0.9971466816964915,0.11482720178372352,0.9659763806082303,1.0,0.40142517814726786,21000.0,7.2950064E7
22000.0,67.582265679,8.281127288111426E-4,22000.0,0.9953,0.8489694106583386,0.94,0.7368421052631576,0.996871989695966,0.1111111111111111,0.9660917830792959,1.0,0.4013605442176865,22000.0,6.0200656E7
23000.0,71.144458339,8.990641036975152E-4,23000.0,0.9974236874236875,0.8597289518576994,0.949,0.7519696527575137,0.9953,0.0989010989010989,0.9715740033348175,1.0,0.48888888888888826,23000.0,5.5987104E7
24000.0,74.428723897,9.609796802929372E-4,24000.0,0.9962418939905869,0.8290432277286975,0.932,0.6965017361885976,0.9974236874236875,0.10253583241455347,0.9617835325039675,1.0,0.3165829145728651,24000.0,7.287256E7
25000.0,78.061554219,0.001013600403143631,25000.0,0.9972488332105134,0.8620702824357167,0.95,0.7934311092749431,0.9962418939905869,0.12994350282485875,0.9713407357146909,1.0,0.5005992808629639,25000.0,5.5990464E7
26000.0,81.236071491,0.0010734091811499535,26000.0,0.9970986109599971,0.8466210966164344,0.938,0.7131674639377478,0.9972488332105134,0.1001100110011001,0.9652943485372386,1.0,0.3785659213569768,26000.0,7.2826528E7
27000.0,85.133113994,0.0011370443220071883,27000.0,0.9939763280259265,0.8392586892068469,0.94,0.7260874328914207,0.9970986109599971,0.10375275938189846,0.9663202545932099,1.0,0.39732142857142777,27000.0,6.31196E7
28000.0,88.791109201,0.0012128464408292844,28000.0,0.9959929342864934,0.8387288979127322,0.939,0.720639689314697,0.9939763280259265,0.10253583241455347,0.9657874063284902,1.0,0.3858324343761231,28000.0,5.599752E7
29000.0,92.312186801,0.0012794780262238225,29000.0,0.9950106991571684,0.844466482062995,0.948,0.7684607986321376,0.9959929342864934,0.11358574610244988,0.9706150324421483,1.0,0.4769337495664231,29000.0,7.3148752E7
30000.0,96.094284848,0.0013342710495414301,30000.0,0.994425759840558,0.8617902784220542,0.951,0.7879595651872878,0.9950106991571684,0.1210762331838565,0.9721457013092178,1.0,0.5085255767301902,30000.0,5.600088E7
31000.0,99.60136946,0.0014005043133834738,31000.0,0.9935418721525527,0.8330484117812378,0.933,0.701867112827724,0.994425759840558,0.10375275938189846,0.9623141717346849,1.0,0.32674230145867134,31000.0,7.3001584E7
32000.0,103.469449133,0.0014721894185966817,32000.0,0.993835283517682,0.8561427997784592,0.942,0.7313745287475566,0.9935418721525527,0.10253583241455347,0.9674982799571046,1.0,0.41598489616110723,32000.0,7.1636752E7
33000.0,107.237286043,0.0015431245206259745,33000.0,0.997071312031942,0.8438761294665111,0.951,0.7919143876337692,0.993835283517682,0.12485939257592801,0.9720503535125017,1.0,0.5083612040133776,33000.0,6.3349872E7
34000.0,110.97185099,0.0016209357819393436,34000.0,0.994870364010989,0.852437381412713,0.951,0.7823924396916188,0.997071312031942,0.11607142857142858,0.9722718241315028,1.0,0.5089890951959912,34000.0,8.0538736E7
35000.0,115.323598298,0.0017086129347914129,35000.0,0.9965,0.849483469565401,0.939,0.7333916083916081,0.994870364010989,0.1111111111111111,0.9655165571973492,1.0,0.3887775551102199,35000.0,7.7879856E7
36000.0,118.983400038,0.0017685987454332487,36000.0,0.9987041467304625,0.865656896564777,0.943,0.725274725274725,0.9965,0.09649122807017543,0.9682458365518543,1.0,0.42697570511030364,36000.0,6.3356816E7
37000.0,122.186828412,0.0018352869298221576,37000.0,0.9953333333333333,0.8307693164592985,0.938,0.7299651567944249,0.9987041467304625,0.1111111111111111,0.9649409884086753,1.0,0.3767997826677529,37000.0,8.0470416E7
38000.0,126.467020879,0.0019216505350793606,38000.0,0.9961385151968112,0.8401260879597818,0.95,0.7843637869169195,0.9953333333333333,0.1210762331838565,0.9715689313377652,1.0,0.49854842966481877,38000.0,7.7995552E7
39000.0,130.191290397,0.001982699800098556,39000.0,0.995479310506787,0.8342956926335425,0.937,0.7155550739556809,0.9961385151968112,0.10375275938189846,0.9646053991964488,1.0,0.36724182333247524,39000.0,6.3363872E7
40000.0,133.728993473,0.002056181085534098,40000.0,0.9968742368742368,0.8547469666243406,0.945,0.7367161321206316,0.995479310506787,0.0989010989010989,0.969309258988296,1.0,0.4462622703246912,40000.0,8.0289312E7
