learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.132301132,4.818529140899578E-9,1000.0,0.7736005147531942,0.40719714955853803,0.967,0.21978437677321663,0.0,0.011122345803842264,0.6649332490980157,0.45454545454545453,-2.0,1000.0,140784.0,15.0,0.9999895504234144,1.0449576585483112E-5,26.066666666666666,1.0711216491610964,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.198753271,7.238777277904251E-9,2000.0,0.981476814516129,0.6891087449353662,0.957,0.2073440495502126,0.7736005147531942,0.008064516129032258,0.847939865868466,0.75,-3.5263157894737107,2000.0,140784.0,15.0,0.9935378727151004,0.006462127284899705,42.46666666666667,1.323295549418614,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.248238875,9.04108857580771E-9,3000.0,0.8763673131721665,0.5930609576437854,0.935,0.1613336085879447,0.981476814516129,0.011122345803842264,0.7727313280201575,0.6363636363636364,-5.499999999999989,3000.0,140784.0,15.0,0.9999140463033113,8.595369668871314E-5,63.86666666666666,2.0280571670975824,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.290751395,1.0589433728841443E-8,4000.0,0.9478606499883095,0.7277498842055847,0.892,0.14932497361332117,0.8763673131721665,0.013171225937183385,0.8690685708343707,0.8461538461538461,-9.046511627906941,4000.0,140784.0,15.0,0.9972093071783663,0.0027906928216336834,90.13333333333334,1.6326043076620935,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.329569391,1.2003220913348097E-8,5000.0,0.9605336921179505,0.6973604500635958,0.919,0.1332448743740094,0.9478606499883095,0.009081735620585268,0.8460350531352322,0.7777777777777778,-6.788461538461561,5000.0,140784.0,15.0,0.9999931440341174,6.855965882514596E-6,106.53333333333333,1.7316841971705343,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.365528383,1.331288053764651E-8,6000.0,0.9846270161290323,0.7852777066688524,0.906,0.1165413533834584,0.9605336921179505,0.008064516129032258,0.8904879280484379,0.875,-8.39999999999999,6000.0,140784.0,15.0,0.998357679673174,0.0016423203268260682,120.33333333333331,2.0063391601114775,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.399421404,1.4547295594364403E-8,7000.0,0.8568225137347236,0.6474830227133249,0.907,0.1162719981755286,0.9846270161290323,0.009081735620585268,0.840450602316644,0.7777777777777778,-8.43478260869561,7000.0,140784.0,15.0,0.9999963499131319,3.6500868679567596E-6,138.73333333333335,2.8576824887221486,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.433359901,1.578336692890773E-8,8000.0,0.9809395672160556,0.7680606703103433,0.904,0.14369815359914426,0.8568225137347236,0.009081735620585268,0.9503305495354887,1.0,-8.846153846153808,8000.0,140784.0,15.0,0.9998820960730662,1.179039269336377E-4,156.0,3.292126248808699,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.466421773,1.6987510773154597E-8,9000.0,0.9274582352281646,0.6675282992176739,0.923,0.15835956628191736,0.9809395672160556,0.009081735620585268,0.905935876118214,0.8888888888888888,-6.965517241379269,9000.0,140784.0,15.0,0.9999997055016028,2.9449839712514923E-7,173.6,3.611885142929423,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.50478669,1.8384796402975918E-8,10000.0,0.8991919191919192,0.6432974265347807,0.894,0.11489645958583831,0.9274582352281646,0.010101010101010102,0.8461439569952598,0.8,-9.927835051546342,10000.0,140784.0,15.0,0.8811563057656651,0.11884369423433504,190.9333333333333,3.7549543991482164,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.53830512,1.9605568510293962E-8,11000.0,0.8903729838709677,0.600810806468907,0.882,0.07847057353492481,0.8991919191919192,0.008064516129032258,0.8138171705590723,0.75,-11.361904761904789,11000.0,140784.0,15.0,0.9714189068497306,0.02858109315026939,207.20000000000002,3.465750794767069,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.570407092,2.077475191200773E-8,12000.0,0.9593003699966364,0.7345385429549989,0.899,0.12216659713530857,0.8903729838709677,0.009081735620585268,0.8939758020279428,0.8888888888888888,-9.631578947368471,12000.0,140784.0,15.0,0.9999999999999994,6.437179359302939E-18,224.73333333333338,3.4893943623318098,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.601784326,2.191753968792657E-8,13000.0,0.8809885290148448,0.5269205238747515,0.874,0.09274193548387098,0.9593003699966364,0.012145748987854251,0.7644249335823113,0.6666666666666666,-12.000000000000034,13000.0,140784.0,15.0,0.9999296035392677,7.039646073226937E-5,248.13333333333333,3.480375823530539,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.633926326,2.3088180946285524E-8,14000.0,0.9407894736842105,0.6852774774831039,0.858,0.11444821392935499,0.8809885290148448,0.012145748987854251,0.8864800215515217,0.9166666666666666,-13.405797101449219,14000.0,140784.0,15.0,0.999999999576962,4.2303785733909206E-10,270.7333333333334,3.551614879736859,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.665365537,2.4233225981655217E-8,15000.0,0.9808853118712274,0.77779081489576,0.875,0.07700032489588635,0.9407894736842105,0.006036217303822937,0.935010947977093,1.0,-12.020833333333261,15000.0,140784.0,15.0,0.9521703099999995,0.04782969000000001,282.8,3.5952349416573997,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.696581857,2.537015312141428E-8,16000.0,0.9211624226729966,0.6389383121538845,0.879,0.07799689109695448,0.9808853118712274,0.007049345417925478,0.8680787053931304,0.8571428571428571,-11.821192052980148,16000.0,140784.0,15.0,0.9999999999999938,6.0296985495736384E-15,297.79999999999995,3.805009229699086,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.727794364,2.650694138819972E-8,17000.0,0.7924288617886179,0.4621188347751042,0.869,0.09495384955507641,0.9211624226729966,0.016260162601626018,0.7011532312259116,0.5625,-12.335329341317408,17000.0,140784.0,15.0,0.9396327446448801,0.060367255355119845,328.1333333333333,4.041294779159705,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.759294556,2.765420740778247E-8,18000.0,0.9825092499159098,0.7386683459641891,0.846,0.08911312741769498,0.7924288617886179,0.009081735620585268,0.919021987068008,1.0,-14.750000000000009,18000.0,140784.0,15.0,0.9999999999999959,3.917917310115997E-15,345.53333333333336,4.476251266051248,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,0.790775396,2.8800768609692648E-8,19000.0,0.8464932438643258,0.6017241297110035,0.836,0.07988195558747277,0.9825092499159098,0.011122345803842264,0.8271409476360009,0.8181818181818182,-15.663101604278113,19000.0,140784.0,15.0,0.9996618290079368,3.381709920632248E-4,367.5333333333333,5.0434933723388,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.82242651,2.9953531347587697E-8,20000.0,0.8950271164629102,0.5998856156400642,0.854,0.09110151026557287,0.8464932438643258,0.011122345803842264,0.8360940268913986,0.8181818181818182,-13.747474747474719,20000.0,140784.0,15.0,0.999996845724948,3.1542750519713294E-6,388.59999999999997,5.365498246069178,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,0.855758548,3.116751488650838E-8,21000.0,0.8079650845608293,0.46976304519538037,0.838,0.06741120257901156,0.8950271164629102,0.013171225937183385,0.7193724262921493,0.6153846153846154,-15.123222748815113,21000.0,140784.0,15.0,0.9993634698869589,6.365301130411436E-4,413.8,5.306061224136574,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
