learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171313665,6.239401542209089E-9,1000.0,0.7438427800269906,0.3387274533606369,0.968,0.18633034987794944,0.0,0.012145748987854251,0.5702948073947636,0.3333333333333333,-1.6666666666666667,1000.0,140784.0,15.0,0.9833228014001509,0.016677198599849178,29.666666666666668,1.128280050792299,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.251864333,9.173131096971532E-9,2000.0,0.9870707070707071,0.8153308910056082,0.946,0.2574257425742568,0.7438427800269906,0.010101010101010102,0.9723448696087954,1.0,-3.909090909090909,2000.0,140784.0,15.0,0.9917845385673146,0.008215461432685318,51.06666666666667,1.5444729927702927,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.304883289,1.1104130330644548E-8,3000.0,0.9848637739656912,0.8525295714563783,0.94,0.21832252012819434,0.9870707070707071,0.009081735620585268,0.9692549178945469,1.0,-4.806451612903246,3000.0,140784.0,15.0,0.8977462339067929,0.102253766093207,66.39999999999999,1.3338094388058654,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.344899281,1.2561549633406103E-8,4000.0,0.9849758941585379,0.8003254349769683,0.945,0.23449504509519936,0.9848637739656912,0.009081735620585268,0.9718541580612122,1.0,-4.5,4000.0,140784.0,15.0,0.9989217195507818,0.001078280449218134,83.66666666666667,1.4463967270647058,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.381572588,1.389722526823481E-8,5000.0,0.9847503956265286,0.792066956834523,0.952,0.18998278713422634,0.9849758941585379,0.007049345417925478,0.9036443741548635,0.8571428571428571,-4.1063829787234285,5000.0,140784.0,15.0,0.9099730257142223,0.0900269742857775,97.93333333333334,1.798058918115831,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.416682829,1.5175972599002223E-8,6000.0,0.9846270161290323,0.8298051270176584,0.939,0.1962685780541783,0.9847503956265286,0.008064516129032258,0.9687662589686581,1.0,-5.654545454545468,6000.0,140784.0,15.0,0.9466093964957599,0.053390603504240026,112.8,2.219395026964395,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.45041326,1.640446597809593E-8,7000.0,0.9438277833837874,0.6043009125589555,0.911,0.10412304718956275,0.9846270161290323,0.009081735620585268,0.7802644725718024,0.6666666666666666,-8.734375000000021,7000.0,140784.0,15.0,0.9999999970736989,2.926301097820081E-9,129.9333333333333,2.79534760879005,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.483601151,1.7613199550447366E-8,8000.0,0.9770665322580645,0.7737422206623106,0.93,0.15442597603401537,0.9438277833837874,0.008064516129032258,0.9022960184100945,0.875,-6.777777777777765,8000.0,140784.0,15.0,0.9999999998154735,1.8452643702282405E-10,145.73333333333332,3.117487796083596,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.519525276,1.8921589286476377E-8,9000.0,0.9852453468697123,0.8421424973347525,0.917,0.24586589133200137,0.9770665322580645,0.015228426395939087,0.9569409807345158,1.0,-7.58620689655168,9000.0,140784.0,15.0,0.9999492264640327,5.07735359672084E-5,174.20000000000002,3.2192871142241297,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.555541252,2.023332432056467E-8,10000.0,0.9851819882031363,0.8518348996662475,0.912,0.12585675970994306,0.9852453468697123,0.007049345417925478,0.9546620646088451,1.0,-8.361702127659607,10000.0,140784.0,15.0,0.9999999634237914,3.657620854046971E-8,188.13333333333333,3.0703911130834105,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
