learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.181007905,1.3785831845468945E-10,1000.0,0.7493252361673415,0.15924069274576297,0.988,0.24547283702212824,0.0,0.012145748987854251,0.407834874367479,0.16666666666666666,0.0,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.21795857,1.6600049568547142E-10,2000.0,0.9870707070707071,0.26854855914957654,0.991,0.18032786885246582,0.7493252361673415,0.010101010101010102,0.31622776601683794,0.1,0.18181818181818182,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.248206493,1.8903776470157833E-10,3000.0,0.9079493216728333,0.1909224031899282,0.988,0.2440468690941128,0.9870707070707071,0.009081735620585268,0.47021380274695773,0.2222222222222222,-0.16129032258064932,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.284726691,2.4179428738852337E-10,4000.0,0.6571364502746945,0.06931420208545148,0.991,0.0,0.9079493216728333,0.009081735620585268,0.0,0.0,0.1,4000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.303977943,2.696043532838424E-10,5000.0,0.8803049920874694,0.05884747895095115,0.992,-0.0017530678687651396,0.6571364502746945,0.007049345417925478,0.0,0.0,0.14893617021276193,5000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.319376778,2.9184927616268394E-10,6000.0,0.6290322580645161,0.01105320614307374,0.992,0.0,0.8803049920874694,0.008064516129032258,0.0,0.0,0.1272727272727255,6000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
7000.0,0.344265061,3.4485196810836594E-10,7000.0,0.6670030272452069,0.009657893392281342,0.991,0.0,0.6290322580645161,0.009081735620585268,0.0,0.0,0.015624999999996584,7000.0,8232.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.366282864,4.0841956673810876E-10,8000.0,0.7049521169354839,0.02004491371666249,0.992,0.0,0.6670030272452069,0.008064516129032258,0.0,0.0,0.1111111111111111,8000.0,11160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.382287968,4.546279021973411E-10,9000.0,0.9823350253807107,0.1777214936979686,0.985,0.0,0.7049521169354839,0.015228426395939087,0.0,0.0,-0.5517241379310286,9000.0,11160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.397710628,4.991546635950605E-10,10000.0,0.9919436052366566,0.1995349975954462,0.993,0.0,0.9823350253807107,0.007049345417925478,0.0,0.0,0.2553191489361667,10000.0,11160.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.418526668,5.719615459566315E-10,11000.0,0.9875922199865862,0.20192068938268062,0.994,0.0,0.9919436052366566,0.006036217303822937,0.0,0.0,0.3399999999999956,11000.0,13520.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
12000.0,0.432311431,6.211741129991909E-10,12000.0,0.904906937394247,0.12801038486512129,0.985,0.0,0.9875922199865862,0.015228426395939087,0.0,0.0,-0.5652173913043402,12000.0,13800.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.446851503,6.74166505727917E-10,13000.0,0.8717867943548387,0.1453678832746591,0.992,0.0,0.904906937394247,0.008064516129032258,0.0,0.0,0.1544715447154418,13000.0,14088.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
14000.0,0.466218828,7.580195698328316E-10,14000.0,0.9004459789958279,0.14718124878494912,0.993,0.0,0.8717867943548387,0.007049345417925478,0.0,0.0,0.246153846153841,14000.0,16736.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
15000.0,0.479797259,8.168089506630269E-10,15000.0,0.9899462239887772,0.2026219884711667,0.987,0.0,0.9004459789958279,0.013171225937183385,0.0,0.0,-0.3636363636363721,15000.0,16736.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
16000.0,0.49307612,8.743013086770145E-10,16000.0,0.9820607691445229,0.1715726317893704,0.991,0.0,0.9899462239887772,0.009081735620585268,0.0,0.0,0.05263157894736289,16000.0,16736.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
17000.0,0.51163735,9.673794672451915E-10,17000.0,0.8990404040404041,0.23442629114573613,0.99,0.16387959866220456,0.9820607691445229,0.010101010101010102,0.3160680146724592,0.1,-0.049382716049382,17000.0,19384.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
18000.0,0.529555303,1.057231813805799E-9,18000.0,0.9840978031069032,0.33547839398354856,0.99,0.28233098894790243,0.8990404040404041,0.011122345803842264,0.42618580618278695,0.18181818181818182,-0.040462427745664074,18000.0,19384.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
