learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.165298286,6.015184361773232E-9,1000.0,0.5691919191919191,0.052767770014040115,0.99,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.243589401,8.864188438039273E-9,2000.0,0.9746963562753036,0.04615871821676675,0.988,0.0,0.5691919191919191,0.012145748987854251,0.0,0.0,-0.09090909090909091,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.302156728,1.0995446287145218E-8,3000.0,0.9824432392683151,0.027953104373274397,0.989,0.0,0.9746963562753036,0.011122345803842264,0.0,0.0,0.0,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.426348631,1.6827417801432313E-8,4000.0,0.9766885080645161,0.05947753781716129,0.992,0.0,0.9824432392683151,0.008064516129032258,0.0,0.0,0.2195121951219491,4000.0,181520.0,15.0,3983.5333333333333,15.59727285889813,5643.733333333334,30.516734935295943,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.501427425,2.0456554865170685E-8,5000.0,0.9468477531857814,0.03381708719209177,0.994,0.0,0.9766885080645161,0.006036217303822937,0.0,0.0,0.36170212765957144,5000.0,186848.0,15.0,4983.866666666667,16.370666759748385,5995.733333333333,235.91425937780394,3.266666666666667,0.18170270503179917,2.1333333333333337,0.09085135251589958,2.1333333333333337,0.09085135251589958,1.1333333333333335,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.580544867,2.4637213327201703E-8,6000.0,0.8791249195698134,0.03565943821220031,0.989,0.0,0.9468477531857814,0.011122345803842264,0.0,0.0,-0.13793103448275426,6000.0,204256.0,15.0,5980.666666666666,20.516350428880724,7145.599999999999,352.95040525749306,4.333333333333332,0.2519763153394847,2.666666666666666,0.12598815766974236,2.666666666666666,0.12598815766974236,1.6666666666666665,0.12598815766974242,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.646780153,2.848658283441431E-8,7000.0,0.8142186452045607,0.016717737059845056,0.994,0.0,0.8791249195698134,0.006036217303822937,0.0,0.0,0.3437499999999977,7000.0,224648.0,15.0,6977.400000000001,20.572473518433963,8494.933333333336,43.719393829574194,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.713566024,3.277749757549829E-8,8000.0,0.9316645087037836,0.04127285278987237,0.993,0.0,0.8142186452045607,0.007049345417925478,0.0,0.0,0.21126760563379912,8000.0,248352.0,15.0,7989.533333333332,23.421168013382918,10060.800000000001,340.82772075947014,6.199999999999999,0.2618614682831908,3.5999999999999996,0.1309307341415954,3.5999999999999996,0.1309307341415954,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.77154885,3.6599668168603546E-8,9000.0,0.9569458459468551,0.04126503841246827,0.991,0.0,0.9316645087037836,0.009081735620585268,0.0,0.0,-0.012500000000007026,9000.0,254808.0,15.0,8997.666666666668,24.060175882400852,10488.0,310.39882179452394,6.466666666666666,0.23637473611411153,3.733333333333333,0.11818736805705576,3.733333333333333,0.11818736805705576,2.066666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.838330927,4.1263513084927366E-8,10000.0,0.9788306451612904,0.05592270542355185,0.992,0.0,0.9569458459468551,0.008064516129032258,0.0,0.0,0.0909090909090932,10000.0,269952.0,15.0,10008.4,25.97284296007217,11487.466666666667,346.9793168896474,7.4,0.28949874578229834,4.199999999999999,0.1447493728911492,4.199999999999999,0.1447493728911492,2.333333333333334,0.12598815766974236,0.0,0.0,0.0,0.0,1.0,0.0
