learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.050756013,4.982081160493071E-7,1000.0,0.5,0.0,0.987,0.0,0.0,0.013171225937183385,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.312944732,1.522744245873727E-6,2000.0,0.6448712415479787,0.32827984741869926,0.941,0.08082507633825588,0.5,0.007049345417925478,0.6362655395807681,0.42857142857142855,-4.9,2000.0,1750656.0
3000.0,5.219592522,5.135094668905027E-6,3000.0,0.7813197969543147,0.31273917100868054,0.876,0.0492984742773897,0.6448712415479787,0.015228426395939087,0.5429131174785591,0.3333333333333333,-9.628571428571385,3000.0,5126464.0
4000.0,7.339365015,7.878686289858892E-6,4000.0,0.6623115577889447,0.31887634921315383,0.835,0.014101338432121883,0.7813197969543147,0.005025125628140704,0.5786833087789007,0.4,-15.49999999999999,4000.0,5003024.0
5000.0,9.398448484,8.803480959172927E-6,5000.0,0.7304906937394247,0.3898838017830133,0.885,0.09818067754077854,0.6623115577889447,0.015228426395939087,0.6890980887891993,0.5333333333333333,-9.454545454545444,5000.0,1736096.0
6000.0,11.301521463,1.5107266811472909E-5,6000.0,0.768523185483871,0.2328653292126891,0.94,0.018581523161476453,0.7304906937394247,0.008064516129032258,0.3439790292745259,0.125,-4.714285714285745,6000.0,1.2387968E7
7000.0,13.559555745,3.137923846618435E-5,7000.0,0.7604661199827363,0.31584936797832364,0.895,0.0239095675454581,0.768523185483871,0.007049345417925478,0.5068939211252919,0.2857142857142857,-9.49999999999999,7000.0,2.7855568E7
8000.0,15.905222957,4.787214192096589E-5,8000.0,0.8266436483959143,0.4328494468390505,0.852,0.038424054991748474,0.7604661199827363,0.007049345417925478,0.6985609064004986,0.5714285714285714,-14.376623376623387,8000.0,2.7178976E7
9000.0,18.155933699,5.942309050857408E-5,9000.0,0.7157575757575757,0.48635474954325214,0.871,0.05439085178126362,0.8266436483959143,0.010101010101010102,0.6613423753047565,0.5,-12.344827586206835,9000.0,1.9838112E7
10000.0,20.35081321,7.952346350792631E-5,10000.0,0.7505050505050505,0.5425445704573156,0.843,0.03026559604694198,0.7157575757575757,0.010101010101010102,0.5822283907453321,0.4,-15.185567010309212,10000.0,3.5399392E7
11000.0,23.354561679,9.870289048295004E-5,11000.0,0.7538773283454134,0.3731236685059512,0.9,0.06957702971771051,0.7505050505050505,0.013171225937183385,0.5905630452939281,0.38461538461538464,-8.99999999999999,11000.0,2.4681664E7
12000.0,25.924454072,1.254611209781905E-4,12000.0,0.7159595959595959,0.4468717999798651,0.846,0.05451866404715126,0.7538773283454134,0.010101010101010102,0.7135060680126757,0.6,-14.39999999999999,12000.0,3.224632E7
13000.0,28.86039294,1.5951335549813426E-4,13000.0,0.763184584178499,0.5226013751746048,0.798,0.05709697897606344,0.7159595959595959,0.014198782961460446,0.717228074793573,0.6428571428571429,-18.59701492537305,13000.0,4.4833328E7
14000.0,32.148514402,2.1094340673405055E-4,14000.0,0.8281882591093117,0.4760351331189042,0.915,0.12291563480270695,0.763184584178499,0.012145748987854251,0.7321884081622937,0.5833333333333334,-7.150684931506826,14000.0,4.3560768E7
15000.0,35.756048369,2.5855750607412675E-4,15000.0,0.785050505050505,0.39401870228773106,0.883,0.04645476772616167,0.8281882591093117,0.010101010101010102,0.5959458995173263,0.4,-10.250000000000037,15000.0,5.101848E7
16000.0,38.764774373,3.1032923972329485E-4,16000.0,0.6955645161290323,0.362905341212469,0.812,0.005585646580907546,0.785050505050505,0.008064516129032258,0.4518108725076556,0.25,-17.341463414634173,16000.0,4.325896E7
17000.0,42.078412846,3.606719789027357E-4,17000.0,0.8102431304848223,0.5233785077342752,0.894,0.05779452809727834,0.6955645161290323,0.007049345417925478,0.7156511190804611,0.5714285714285714,-9.538011695906407,17000.0,5.8726496E7
18000.0,45.46773951,4.2468244004925616E-4,18000.0,0.5264321608040201,0.23172197836978342,0.916,0.013968775677896755,0.8102431304848223,0.005025125628140704,0.4288584824740555,0.2,-7.590909090909091,18000.0,7.2702976E7
