learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.178555072,6.503140257994335E-9,1000.0,0.5566986205284078,0.11179558168831338,0.981,0.0861869949980768,0.0,0.013171225937183385,0.2763648371013104,0.07692307692307693,-0.46153846153846156,1000.0,140784.0,15.0,0.9999996770639844,3.229360155289815E-7,1092.8666666666666,10.000888849386227,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.258664266,9.420790922865272E-9,2000.0,0.3200978276506977,0.0073045068934701855,0.993,0.0,0.5566986205284078,0.007049345417925478,0.0,0.0,0.3,2000.0,140784.0,15.0,0.9994846224792616,5.153775207382823E-4,2139.866666666667,12.642282293450862,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.328259594,1.2046402914615142E-8,3000.0,0.5945177664974619,0.017263674021945438,0.985,0.0,0.3200978276506977,0.015228426395939087,0.0,0.0,-0.28571428571428165,3000.0,145832.0,15.0,0.9998820979897285,1.1790201027155609E-4,3246.0,16.34537942574074,3277.333333333333,227.53893788529524,1.2666666666666668,0.18170270503179914,1.1333333333333335,0.0908513525158996,1.1333333333333335,0.0908513525158996,0.13333333333333336,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.455718235,1.9447798398546877E-8,4000.0,0.5768844221105528,0.019053248127903672,0.995,0.0,0.5945177664974619,0.005025125628140704,0.0,0.0,0.5,4000.0,224464.0,15.0,0.9999999999985675,1.4325397666867066E-12,4279.266666666666,15.70516040962532,8474.666666666668,25.43837870445187,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.528827626,2.3814233520453176E-8,5000.0,0.7821996615905246,0.17576665211475848,0.985,0.2055084745762755,0.5768844221105528,0.015228426395939087,0.36477747429489266,0.13333333333333333,-0.36363636363636365,5000.0,230864.0,15.0,0.9999993248370619,6.751629381261123E-7,5383.533333333333,16.71607913319693,8899.733333333334,164.30562308630152,5.133333333333334,0.1333333333333333,3.066666666666667,0.06666666666666665,3.066666666666667,0.06666666666666665,2.066666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.592354856,2.7661625033712222E-8,6000.0,0.49974798387096775,0.04369419132277158,0.99,-0.0032102728731974394,0.7821996615905246,0.008064516129032258,0.0,0.0,0.047619047619042586,6000.0,234104.0,15.0,0.9999914560957852,8.543904214731284E-6,6442.000000000001,21.437172876860018,9114.133333333333,261.4403668082368,5.266666666666667,0.18170270503179917,3.1333333333333333,0.09085135251589958,3.1333333333333333,0.09085135251589958,2.066666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.650527528,3.1233368510897786E-8,7000.0,0.7974392173787944,0.066384978053777,0.993,0.0,0.49974798387096775,0.007049345417925478,0.0,0.0,0.3,7000.0,237336.0,15.0,0.9878423087823961,0.012157691217603801,7496.533333333333,21.611695834094043,9328.0,309.37799349201106,5.3999999999999995,0.2138089935299395,3.1999999999999997,0.10690449676496976,3.1999999999999997,0.10690449676496976,2.1333333333333333,0.09085135251589957,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.711391187,3.518056942351576E-8,8000.0,0.8732556466695439,0.09256052184573194,0.993,0.0,0.7974392173787944,0.007049345417925478,0.0,0.0,0.27272727272727165,8000.0,250688.0,15.0,0.9969096845617228,0.0030903154382771352,8563.066666666668,24.46697806990095,10210.133333333331,430.29467053644004,6.066666666666666,0.3304638394837613,3.533333333333333,0.16523191974188065,3.533333333333333,0.16523191974188065,2.466666666666667,0.16523191974188065,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.773634437,3.941188666705456E-8,9000.0,0.7712121212121212,0.04680337738362389,0.99,0.0,0.8732556466695439,0.010101010101010102,0.0,0.0,-0.03448275862068569,9000.0,262776.0,15.0,0.9833227333373326,0.01667726666266744,9645.600000000002,25.035365461872576,11009.6,718.4598129729615,6.6,0.5237229365663817,3.8,0.26186146828319085,3.8,0.26186146828319085,2.666666666666667,0.2323106841457232,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.84749691,4.497866208663417E-8,10000.0,0.6636363636363637,0.05888879004516802,0.99,0.0,0.7712121212121212,0.010101010101010102,0.0,0.0,-0.03092783505154285,10000.0,291328.0,15.0,0.9998382690730075,1.6173092699235184E-4,10735.666666666668,26.308185701804565,12895.466666666669,898.0691980267691,8.066666666666666,0.6434036477735061,4.533333333333333,0.32170182388675306,4.533333333333333,0.32170182388675306,3.4000000000000004,0.30550504633038933,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.923171813,5.133152606561987E-8,11000.0,0.7060244719819188,0.08866520175988857,0.988,0.1412623443537949,0.6636363636363637,0.013171225937183385,0.2773500981126146,0.07692307692307693,-0.2,11000.0,324504.0,15.0,0.9999999969036092,3.0963907794001092E-9,11842.466666666664,25.544334320412737,15091.199999999999,793.0724052695314,9.4,0.5589105048046175,5.2,0.27945525240230873,5.2,0.27945525240230873,3.933333333333333,0.22817425810877978,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.00593625,5.896865096349476E-8,12000.0,0.7753535353535354,0.08695320421410857,0.99,0.0,0.7060244719819188,0.010101010101010102,0.0,0.0,0.0,12000.0,356688.0,15.0,0.994762475293105,0.005237524706894953,12915.066666666668,20.77119495076143,17216.000000000004,602.6612726265142,11.133333333333333,0.4125030062420518,6.066666666666666,0.2062515031210259,6.066666666666666,0.2062515031210259,4.066666666666666,0.22817425810877978,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.080088576,6.614779409899273E-8,13000.0,0.8291799478412054,0.1016460182230108,0.986,0.0,0.7753535353535354,0.014198782961460446,0.0,0.0,-0.3582089552238761,13000.0,374240.0,15.0,0.9999998748923496,1.2510765036859053E-7,14008.266666666665,19.39304408106578,18378.133333333335,669.9299029903315,11.8,0.47005572111440247,6.4,0.23502786055720123,6.4,0.23502786055720123,4.333333333333333,0.21081851067789195,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.19434909,7.856978453419068E-8,14000.0,0.8826754385964912,0.1233940441019302,0.988,0.0,0.8291799478412054,0.012145748987854251,0.0,0.0,-0.15068493150684756,14000.0,420240.0,15.0,0.9999190222714458,8.097772855420222E-5,15091.466666666665,21.653299906143598,21416.0,869.094328816471,14.200000000000001,0.6414269805898184,7.6000000000000005,0.3207134902949092,7.6000000000000005,0.3207134902949092,4.733333333333333,0.2062515031210259,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.283066761,8.889420854340204E-8,15000.0,0.86989898989899,0.08088082423419578,0.99,0.0,0.8826754385964912,0.010101010101010102,0.0,0.0,0.038461538461534356,15000.0,449840.0,15.0,0.9999999999999324,6.752583245571975E-14,16153.733333333332,24.732755737062682,23371.733333333337,980.9935850800726,15.66666666666667,0.721550359042888,8.33333333333333,0.360775179521444,8.33333333333333,0.360775179521444,4.9333333333333345,0.18170270503179925,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.349319443,9.683012508498919E-8,16000.0,0.784148185483871,0.07165351624826109,0.992,0.0,0.86989898989899,0.008064516129032258,0.0,0.0,0.2195121951219491,16000.0,463016.0,15.0,0.9999126823365508,8.731766344896919E-5,17213.333333333332,20.331693922980893,24243.2,875.1759725090393,16.333333333333332,0.6666666666666665,8.666666666666666,0.3333333333333333,8.666666666666666,0.3333333333333333,5.000000000000001,0.19518001458970666,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.419924909,1.0564339094270642E-7,17000.0,0.7637749964033952,0.031610632560416685,0.993,0.0,0.784148185483871,0.007049345417925478,0.0,0.0,0.3040935672514629,17000.0,482504.0,15.0,0.9999999999948085,5.191507977363421E-12,18266.0,21.838367285909527,25532.799999999996,734.6330162546662,17.133333333333326,0.5679257720333555,9.066666666666663,0.2839628860166777,9.066666666666663,0.2839628860166777,5.000000000000001,0.19518001458970666,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.502888976,1.1683378454826772E-7,18000.0,0.7565829145728643,0.1100643977023198,0.995,0.0,0.7637749964033952,0.005025125628140704,0.0,0.0,0.488636363636363,18000.0,521384.0,15.0,0.9999999999838111,1.618887720444179E-11,19293.13333333333,26.550198038301282,28102.93333333333,847.3873318375313,18.866666666666664,0.6314508363524105,9.933333333333332,0.31572541817620525,9.933333333333332,0.31572541817620525,5.2666666666666675,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.580145141,1.2761099670127033E-7,19000.0,0.7014735772357723,0.04476741742566756,0.984,0.0,0.7565829145728643,0.016260162601626018,0.0,0.0,-0.583333333333336,19000.0,539232.0,15.0,0.9999730278090687,2.6972190931208407E-5,20412.600000000002,26.401984052429803,29288.0,776.9655259864678,19.266666666666666,0.5474326805028539,10.133333333333333,0.27371634025142694,10.133333333333333,0.27371634025142694,5.2666666666666675,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
