learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.156604817,5.701098862269687E-9,1000.0,0.9552165172239421,0.6775498973343788,0.981,0.8745642759057778,0.0,0.09769484083424808,0.9041701442613982,0.8202247191011236,0.786516853932584,1000.0,140720.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.237845437,8.658612016236616E-9,2000.0,0.9983221476510067,0.7678724350001251,0.986,0.9242424242424242,0.9552165172239421,0.1185682326621924,0.9495305185446724,0.9056603773584906,0.8564102564102564,2000.0,140720.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.301005198,1.0957902986183761E-8,3000.0,0.9980990851847451,0.7589600584524997,0.985,0.9248843218556576,0.9983221476510067,0.12866817155756208,0.9564597507691541,0.9210526315789473,0.8543689320388348,3000.0,140720.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.413939637,1.6396093337554485E-8,4000.0,0.9958112803195116,0.7285158880884689,0.981,0.8958333333333333,0.9980990851847451,0.11482720178372352,0.9408707348019023,0.8932038834951457,0.815533980582524,4000.0,186136.0,15.0,3983.5333333333333,15.59727285889813,5944.533333333334,240.2112932333228,3.266666666666667,0.18170270503179917,2.133333333333334,0.09085135251589961,2.133333333333334,0.09085135251589961,1.1333333333333335,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.478538781,1.9581638336845985E-8,5000.0,0.9780115116506554,0.7626918912467305,0.986,0.9267437601381402,0.9958112803195116,0.122334455667789,0.9551350006514335,0.9174311926605505,0.8656429942418424,5000.0,190616.0,15.0,4983.866666666667,16.370666759748385,6243.200000000001,253.3202603143189,3.266666666666667,0.18170270503179917,2.133333333333334,0.09085135251589961,2.133333333333334,0.09085135251589961,1.1333333333333335,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.539277096,2.2576796223359804E-8,6000.0,0.9989955531284131,0.7974088248109279,0.989,0.946960345625675,0.9780115116506554,0.13122171945701358,0.9787092228346481,0.9655172413793104,0.8963893249607534,6000.0,190616.0,15.0,5980.666666666666,20.516350428880724,6243.200000000001,253.3202603143189,3.266666666666667,0.18170270503179917,2.133333333333334,0.09085135251589961,2.133333333333334,0.09085135251589961,1.1333333333333335,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.638040976,2.9123597205401295E-8,7000.0,0.9982698081522569,0.741520600590321,0.986,0.908039936941671,0.9989955531284131,0.09409190371991247,0.9380050333409181,0.8837209302325582,0.8644536652835407,7000.0,256232.0,15.0,6977.400000000001,20.572473518433963,10575.466666666665,338.6772851728671,6.866666666666667,0.1333333333333333,3.9333333333333336,0.06666666666666665,3.9333333333333336,0.06666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.713647151,3.4871079414815953E-8,8000.0,0.9976283482142857,0.7446004076308104,0.983,0.9068023332309986,0.9982698081522569,0.11607142857142858,0.9424662417074904,0.8942307692307693,0.8355501813784763,8000.0,293848.0,15.0,7989.533333333332,23.421168013382918,13061.333333333334,281.8147089112457,8.6,0.21380899352993943,4.8,0.10690449676496971,4.8,0.10690449676496971,2.8,0.10690449676496976,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.772584496,3.948815533272715E-8,9000.0,0.9836238268530932,0.7950292397074651,0.988,0.9281746791802336,0.9976283482142857,0.1013215859030837,0.9636418583193407,0.9347826086956522,0.882480957562568,9000.0,302816.0,15.0,8997.666666666668,24.060175882400852,13656.0,182.88856872814267,8.866666666666667,0.13333333333333328,4.933333333333334,0.06666666666666664,4.933333333333334,0.06666666666666664,2.9333333333333336,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.828907254,4.3943304114811534E-8,10000.0,0.9969170403587444,0.8079750903538805,0.989,0.9444893015744852,0.9836238268530932,0.1210762331838565,0.9856868881250733,0.9814814814814815,0.8928919182083738,10000.0,305760.0,15.0,10008.4,25.97284296007217,13850.666666666666,31.01008540500007,9.0,0.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
