learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.180823682,1.377180114719603E-10,1000.0,0.9559442025678659,0.7182240383530983,0.985,0.9030757301628326,0.0,0.09769484083424808,0.9286115798328343,0.8651685393258427,0.8314606741573032,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.23061544,1.7564015653398302E-10,2000.0,0.9983327001815036,0.7673931032986273,0.986,0.923590795965594,0.9559442025678659,0.1185682326621924,0.9451026102507324,0.8962264150943396,0.8564102564102564,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.26546015,2.0217840704652998E-10,3000.0,0.9981386875767296,0.7559735918425219,0.983,0.9142055433312473,0.9983327001815036,0.12866817155756208,0.9473068153287102,0.9035087719298246,0.8349514563106795,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.319308041,2.800776954512629E-10,4000.0,0.9740450909720644,0.7692307203335524,0.979,0.8868388153640556,0.9981386875767296,0.11482720178372352,0.9443728682553555,0.9029126213592233,0.7961165048543687,4000.0,5592.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.356409886,3.3643875941427215E-10,5000.0,0.9781402197304337,0.7768265058206353,0.987,0.9328012571334049,0.9740450909720644,0.122334455667789,0.9640945331905011,0.9357798165137615,0.875239923224568,5000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.381729605,3.749017065287464E-10,6000.0,0.999132079887658,0.798483163926194,0.988,0.9423520368946963,0.9781402197304337,0.13122171945701358,0.9781510766684473,0.9655172413793104,0.8869701726844582,6000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
7000.0,0.428439494,5.062776682608658E-10,7000.0,0.9809233626787441,0.7327858145160472,0.979,0.8597718956168698,0.999132079887658,0.09409190371991247,0.9056278616660154,0.8255813953488372,0.796680497925311,7000.0,10872.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.462709432,6.260704319882725E-10,8000.0,0.9800448574862637,0.7511206856921816,0.976,0.8666903661571275,0.9809233626787441,0.11607142857142858,0.9157504578753434,0.8461538461538461,0.7678355501813783,8000.0,13512.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
9000.0,0.485450603,7.072109361117085E-10,9000.0,0.9858863244589159,0.8061606703686707,0.987,0.9225674259029828,0.9800448574862637,0.1013215859030837,0.9631075406412666,0.9347826086956522,0.8726877040261153,9000.0,13792.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
10000.0,0.510992166,7.983432396294343E-10,10000.0,0.9970935060621159,0.8163384603630794,0.987,0.9343964473153007,0.9858863244589159,0.1210762331838565,0.9804707389591781,0.9722222222222222,0.8734177215189872,10000.0,13792.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
11000.0,0.529983767,8.661052770043413E-10,11000.0,0.9972666666666666,0.8135523073670523,0.99,0.9458874458874458,0.9970935060621159,0.1111111111111111,0.9855398971573343,0.98,0.9023957409050576,11000.0,13792.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
12000.0,0.544856227,9.191702182052864E-10,12000.0,0.9987895379881443,0.8346404746208028,0.991,0.949777906743153,0.9972666666666666,0.10864745011086474,0.9812948076520457,0.9693877551020408,0.9118367346938775,12000.0,13792.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
13000.0,0.558456266,9.68708442809681E-10,13000.0,0.9881628787878788,0.8158412077575721,0.989,0.9488372093023255,0.9987895379881443,0.13636363636363635,0.9829223589055056,0.975,0.8936802973977694,13000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
14000.0,0.57173537,1.0170776597286263E-9,14000.0,0.9991,0.8137520174362912,0.991,0.9497767857142857,0.9881628787878788,0.1111111111111111,0.972511068203225,0.95,0.9128027681660899,14000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
15000.0,0.58487817,1.06495038850026E-9,15000.0,0.9904681593486478,0.8118422084455422,0.992,0.953909085671487,0.9991,0.10497237569060773,0.9813616357264041,0.968421052631579,0.922077922077922,15000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
16000.0,0.598206016,1.1134971484500501E-9,16000.0,0.999158831120944,0.8386197589206903,0.994,0.9654314159292035,0.9904681593486478,0.10619469026548672,0.9826164672350123,0.96875,0.941320293398533,16000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
17000.0,0.612048732,1.1639193254998988E-9,17000.0,0.9993520733652312,0.835122277480324,0.995,0.9693221420507534,0.999158831120944,0.09649122807017543,0.9921190650493769,0.9886363636363636,0.9506960556844547,17000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
18000.0,0.625173213,1.2117253272028433E-9,18000.0,0.9993284493284493,0.8391699454200464,0.992,0.9525841631104789,0.9993520733652312,0.0989010989010989,0.9905968157035694,0.9888888888888889,0.9206174200661521,18000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
19000.0,0.637934675,1.258209029994905E-9,19000.0,0.9992825031670759,0.8355684226484906,0.994,0.9663673359566811,0.9993284493284493,0.10987791342952276,0.9830911625830084,0.9696969696969697,0.9404077365394667,19000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
20000.0,0.651253973,1.306724653802812E-9,20000.0,0.9992856447056532,0.8288052363065564,0.992,0.9574372998223007,0.9992825031670759,0.11482720178372352,0.9869262605898845,0.9805825242718447,0.9206349206349206,20000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
21000.0,0.666097607,1.3607926807428398E-9,21000.0,0.9985792118735616,0.8435479082844096,0.987,0.9247528420272741,0.9992856447056532,0.10375275938189846,0.9687353459993661,0.9468085106382979,0.8706161137440758,21000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
22000.0,0.679540066,1.4097569192407857E-9,22000.0,0.9989082492685271,0.8305073193388159,0.992,0.957076018371464,0.9985792118735616,0.11358574610244988,0.9868341565196794,0.9803921568627451,0.9204339963833633,22000.0,14080.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
23000.0,0.697349039,1.4881160756697256E-9,23000.0,0.9770131883488362,0.7978820658231148,0.984,0.9134124166594509,0.9989082492685271,0.11358574610244988,0.9602281396967669,0.9313725490196079,0.8409680207433015,23000.0,17008.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
24000.0,0.711004357,1.548199225846264E-9,24000.0,0.9957572244354271,0.8052618433764502,0.988,0.9267408212353939,0.9770131883488362,0.09769484083424808,0.9677644540794298,0.9438202247191011,0.8801498127340823,24000.0,17008.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
25000.0,0.724215953,1.6063300073146818E-9,25000.0,0.9982555555555556,0.8265979700439404,0.986,0.9235807860262009,0.9957572244354271,0.1111111111111111,0.9697937925146768,0.95,0.86016779864163,25000.0,17008.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
26000.0,0.740960604,1.6914422587719226E-9,26000.0,0.9931001442747167,0.8313068639222816,0.99,0.945884517560474,0.9982555555555556,0.11234705228031146,0.9811941094488823,0.9702970297029703,0.9001536098310291,26000.0,19648.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
27000.0,0.754556359,1.7605488241049975E-9,27000.0,0.9933295216314084,0.8348976692579034,0.991,0.950222340213712,0.9931001442747167,0.10987791342952276,0.9814476543354987,0.9696969696969697,0.9100998890122086,27000.0,19648.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
