learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.160647534,1.2235155642032623E-10,1000.0,0.9050723240115719,0.24494278662628144,0.927,0.2572242572242571,0.0,0.09289617486338798,0.40539594163649334,0.16470588235294117,0.1411764705882355,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.195522608,1.4891293260786269E-10,2000.0,0.9638000426013744,0.31356422144171375,0.919,0.3149989851836816,0.9050723240115719,0.10987791342952276,0.4597987887938619,0.21212121212121213,0.11956521739130449,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.219450154,1.6713650829262205E-10,3000.0,0.9508396981425032,0.3084240972585232,0.918,0.31878977187764884,0.9638000426013744,0.10741971207087486,0.4743900844344261,0.2268041237113402,0.12455516014234924,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.254757803,2.1814140113277568E-10,4000.0,0.9130326546958037,0.2768889133431882,0.915,0.33804747367765314,0.9508396981425032,0.11482720178372352,0.49073854822646246,0.24271844660194175,0.11458333333333347,4000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.298619749,3.1155086662206386E-10,5000.0,0.9266304347826086,0.310370122896391,0.928,0.37308442463081654,0.9130326546958037,0.1013215859030837,0.5096276680913969,0.2608695652173913,0.24369747899159674,5000.0,8232.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.323647969,3.6666452095740374E-10,6000.0,0.9424943988050785,0.40556168268583337,0.943,0.6134649812835673,0.9266304347826086,0.11482720178372352,0.7017019466811864,0.49514563106796117,0.409326424870466,6000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.3489997,4.224905660831266E-10,7000.0,0.9650673993706261,0.4110142688823839,0.933,0.5052137181342872,0.9424943988050785,0.10375275938189846,0.6398424316389392,0.4148936170212766,0.30312035661218517,7000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.374473559,4.785855444520712E-10,8000.0,0.9649914023002708,0.39894168510711103,0.925,0.5237611439892308,0.9650673993706261,0.122334455667789,0.6583673944752858,0.44036697247706424,0.23273657289002606,8000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.399440885,5.335651065160832E-10,9000.0,0.9613989526098901,0.3696633239531194,0.927,0.47122906646578216,0.9649914023002708,0.11607142857142858,0.5944634955381807,0.3557692307692308,0.2584650112866822,9000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.422878075,5.851752165539398E-10,10000.0,0.9663960923803443,0.3619860540764014,0.918,0.4501146712088095,0.9613989526098901,0.12485939257592801,0.5894057538527541,0.35135135135135137,0.17753259779338063,10000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
