learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.194852118,7.096693690791726E-9,1000.0,0.7937919778310084,0.3816756459483515,0.847,0.35639649341252855,0.0,0.10375275938189846,0.7388581852900016,0.6276595744680851,-0.6276595744680858,1000.0,140784.0,15.0,0.8903564508663816,0.10964354913361825,1372.3333333333333,10.330107023216698,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.318683966,1.1606763704096276E-8,2000.0,0.767424341674309,0.38550690476649213,0.849,0.3903128381543035,0.7937919778310084,0.11358574610244988,0.7563146688039036,0.6568627450980392,-0.5408163265306128,2000.0,140784.0,15.0,0.9474183550463783,0.05258164495362171,2745.5333333333333,14.568676988880927,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.544655504,2.6810780031085014E-8,3000.0,0.8080602147880436,0.36369832801624324,0.894,0.4833955533028572,0.767424341674309,0.122334455667789,0.7342072786694188,0.5779816513761468,-0.042622950819671795,3000.0,260080.0,15.0,0.9900424086463775,0.009957591353622492,4147.4,17.871712151836363,10830.4,344.202996583619,6.733333333333333,0.18170270503179914,3.8666666666666667,0.09085135251589957,3.8666666666666667,0.09085135251589957,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.659922947,3.581658911113317E-8,4000.0,0.867423029958151,0.4945041307780347,0.929,0.5890537818628022,0.8080602147880436,0.10253583241455347,0.7862133168500883,0.6451612903225806,0.28643216080402084,4000.0,302008.0,15.0,0.8867540235527999,0.11324597644720018,5505.733333333333,17.3022064837508,13604.266666666666,464.87331061337017,8.333333333333332,0.3187276291558383,4.666666666666666,0.15936381457791915,4.666666666666666,0.15936381457791915,2.7999999999999994,0.1447493728911492,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.77170128,4.575668065722825E-8,5000.0,0.8768836266936811,0.5122995609325453,0.948,0.7034400948991693,0.867423029958151,0.1185682326621924,0.8106012684699324,0.6698113207547169,0.4841269841269837,5000.0,343744.0,15.0,0.9263364342001679,0.07366356579983219,6893.266666666666,18.90967670310294,16362.666666666666,840.5156391659467,10.333333333333334,0.6068393265551997,5.666666666666667,0.30341966327759984,5.666666666666667,0.30341966327759984,3.6666666666666665,0.23231068414572317,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.855733314,5.345216488579702E-8,6000.0,0.8741614425804021,0.48188672351634637,0.932,0.6191030998285966,0.8768836266936811,0.11982082866741321,0.767977698758373,0.6074766355140186,0.3322422258592476,6000.0,353992.0,15.0,0.9372340522718352,0.06276594772816482,8294.266666666666,22.120765221127723,17041.066666666666,968.6615186832694,10.733333333333333,0.6723566702751539,5.866666666666666,0.33617833513757694,5.866666666666666,0.33617833513757694,3.8666666666666667,0.27371634025142694,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.940402958,6.144628429336473E-8,7000.0,0.8695642336757319,0.5138793756097295,0.948,0.6888910161298039,0.8741614425804021,0.10864745011086474,0.811502671200689,0.673469387755102,0.486600846262341,7000.0,364960.0,15.0,0.8716144779435371,0.1283855220564629,9665.666666666668,21.948135112592936,17765.866666666665,1036.2912528024738,11.266666666666666,0.7268108201271967,6.133333333333333,0.36340541006359833,6.133333333333333,0.36340541006359833,4.066666666666666,0.2839628860166776,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.023005865,6.971112547182788E-8,8000.0,0.8300333333333333,0.4098983469157619,0.938,0.6065989847715731,0.8695642336757319,0.1111111111111111,0.7345822698044864,0.55,0.386897404202719,8000.0,386760.0,15.0,0.8176475057565671,0.1823524942434328,11067.800000000001,25.93254987187227,19208.0,780.4139560881408,12.2,0.5451081150953975,6.6,0.27255405754769874,6.6,0.27255405754769874,4.466666666666667,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.104457847,7.816643448112325E-8,9000.0,0.8056663845564825,0.39890082546795474,0.94,0.5400254519249933,0.8300333333333333,0.088139281828074,0.6954260985829157,0.49382716049382713,0.39325842696629176,9000.0,401264.0,15.0,0.933387763073869,0.06661223692613098,12436.6,28.038205227527556,20166.933333333338,714.3912191287445,12.866666666666665,0.49633577983982413,6.933333333333333,0.24816788991991207,6.933333333333333,0.24816788991991207,4.6000000000000005,0.2138089935299395,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.176515454,8.566756638676548E-8,10000.0,0.8097651477442418,0.43388577166487835,0.931,0.5770089012039922,0.8056663845564825,0.10864745011086474,0.73827317925519,0.5612244897959183,0.3016194331983811,10000.0,402392.0,15.0,0.889845452871668,0.11015454712833202,13811.133333333333,29.228959329611186,20242.133333333335,704.116642573662,12.866666666666665,0.49633577983982413,6.933333333333333,0.24816788991991207,6.933333333333333,0.24816788991991207,4.6000000000000005,0.2138089935299395,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.25563038,9.419399148457373E-8,11000.0,0.8532210500714438,0.5072022378946147,0.942,0.68895133697296,0.8097651477442418,0.12485939257592801,0.8117603050242482,0.6756756756756757,0.41947224749772494,11000.0,416592.0,15.0,0.7065005055970747,0.29349949440292533,15200.999999999998,27.282996623573162,21180.8,507.78731205664667,13.533333333333333,0.3634054100635982,7.266666666666667,0.1817027050317991,7.266666666666667,0.1817027050317991,4.733333333333333,0.18170270503179914,0.0,0.0,0.0,0.0,1.0,0.0
