learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.18781214,1.4304052525096468E-10,1000.0,0.7906920764642337,0.22603802808019713,0.919,0.27061196556568085,0.0,0.10375275938189846,0.42432605904755616,0.18085106382978725,0.1382978723404257,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.240674513,1.833012964659267E-10,2000.0,0.7621293506266649,0.24144828464670123,0.91,0.2758753861997947,0.7906920764642337,0.11358574610244988,0.440830613957552,0.19607843137254902,0.08163265306122458,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.275470641,2.0980254620313645E-10,3000.0,0.7771702756412237,0.2061007949293655,0.894,0.061199185191745414,0.7621293506266649,0.122334455667789,0.19145772672026826,0.03669724770642202,-0.042622950819671795,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.335944213,3.4747464186615413E-10,4000.0,0.8080520681438276,0.3714305624433306,0.934,0.4709249194362946,0.7771702756412237,0.10253583241455347,0.5937098410204574,0.3548387096774194,0.33668341708542787,4000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.367097309,4.183967301580641E-10,5000.0,0.8564433751213542,0.4962987895756136,0.948,0.6865354938271603,0.8080520681438276,0.1185682326621924,0.7782432061152798,0.6132075471698113,0.4841269841269837,5000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.394033945,4.79719767736064E-10,6000.0,0.7952193069669601,0.42935365515422746,0.943,0.6613351712336903,0.8564433751213542,0.11982082866741321,0.7673028410499393,0.5981308411214953,0.4402618657937802,6000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.41667158,5.312558445417219E-10,7000.0,0.8528779582786551,0.46960532961425905,0.951,0.6935738049378388,0.7952193069669601,0.10864745011086474,0.7955371240904758,0.6428571428571429,0.5162200282087444,7000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.436193567,5.75698942128155E-10,8000.0,0.7518111111111111,0.33957394654219997,0.935,0.5535714285714288,0.8528779582786551,0.1111111111111111,0.6740754985739934,0.46,0.3572311495673678,8000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.461066162,6.323230535371436E-10,9000.0,0.7564045728717473,0.3385783058179736,0.95,0.5959204124844426,0.7518111111111111,0.088139281828074,0.7075768325811421,0.5061728395061729,0.4943820224719098,9000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.484773337,6.862940090563562E-10,10000.0,0.7633829585049097,0.3548167671795698,0.94,0.6110967072854546,0.7564045728717473,0.10864745011086474,0.7356943728449724,0.5510204081632653,0.3927125506072869,10000.0,8800.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.507755164,7.56021837124394E-10,11000.0,0.8566766991963842,0.45288787786049134,0.953,0.7425729559197263,0.7633829585049097,0.12485939257592801,0.8316468712188918,0.7027027027027027,0.5295723384895357,11000.0,11728.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
12000.0,0.521810105,7.986651182505819E-10,12000.0,0.8519050635775375,0.4175151734787426,0.946,0.6499870365569091,0.8566766991963842,0.10864745011086474,0.7571326969632842,0.5816326530612245,0.4586466165413529,12000.0,11728.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
13000.0,0.535496132,8.40189098810984E-10,13000.0,0.7951355820451905,0.38985543027645764,0.942,0.6504971376920757,0.8519050635775375,0.11982082866741321,0.7556480440444273,0.5794392523364486,0.42177914110429404,13000.0,11728.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
14000.0,0.563818869,9.649258589040902E-10,14000.0,0.7592185903983657,0.29761111919632804,0.924,0.510435454779696,0.7951355820451905,0.12359550561797752,0.6422954239635646,0.41818181818181815,0.2475247524752478,14000.0,17024.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
15000.0,0.587504896,1.1085566183014049E-9,15000.0,0.8126972263743564,0.453159776642939,0.933,0.5906246944960408,0.7592185903983657,0.1210762331838565,0.7140021265408572,0.5185185185185185,0.33968462549277345,15000.0,23440.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
16000.0,0.60235519,1.198607980840736E-9,16000.0,0.8643061040521978,0.4452043300899303,0.948,0.6672468516432882,0.8126972263743564,0.11607142857142858,0.7502503588546549,0.5673076923076923,0.48831488314883087,16000.0,23440.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
17000.0,0.618004433,1.2935041259850065E-9,17000.0,0.8825167037861915,0.4487642829584446,0.952,0.6893927628513742,0.8643061040521978,0.11358574610244988,0.7643984507338724,0.5882352941176471,0.5277777777777775,17000.0,23440.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
18000.0,0.633780358,1.3891684637798203E-9,18000.0,0.8117968414773262,0.4301778792070985,0.948,0.680601452034937,0.8825167037861915,0.11982082866741321,0.763878509095191,0.5887850467289719,0.4899182561307895,18000.0,23440.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
19000.0,0.648373746,1.4776619625257121E-9,19000.0,0.8516849816849816,0.4149340971954386,0.954,0.6656004652515264,0.8117968414773262,0.0989010989010989,0.7498717839122181,0.5666666666666667,0.5459740259740258,19000.0,23440.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
20000.0,0.665764427,1.5949954029669365E-9,20000.0,0.8286902199147356,0.3930787084696314,0.939,0.6040709297193446,0.8516849816849816,0.1185682326621924,0.7039358827829074,0.5,0.3993106843919248,20000.0,26080.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
21000.0,0.680371938,1.6935510329571037E-9,21000.0,0.8309970594098883,0.4220408587023309,0.956,0.6798603026775321,0.8286902199147356,0.09649122807017543,0.7653271704512659,0.5909090909090909,0.5639452571967907,21000.0,26080.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
22000.0,0.695742639,1.7984010472065875E-9,22000.0,0.8394135030220657,0.42157459761914745,0.948,0.6808993728445362,0.8309970594098883,0.122334455667789,0.7576869531961385,0.5779816513761468,0.4865350089766603,22000.0,26368.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
23000.0,0.710354897,1.8980774028599266E-9,23000.0,0.7833826961517932,0.38751197464004644,0.94,0.6418380869378346,0.8394135030220657,0.11982082866741321,0.7547888646374834,0.5794392523364486,0.4089935760171304,23000.0,26368.0,17.0,9.0,9.0,4.0,0.0,0.0,1.0
24000.0,0.727677554,2.029364021333556E-9,24000.0,0.859425876268914,0.46400192488993625,0.96,0.7226536498779672,0.7833826961517932,0.1013215859030837,0.7913715397972997,0.6304347826086957,0.6044499381953026,24000.0,29296.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
25000.0,0.742337094,2.1404671526244953E-9,25000.0,0.8524363675009299,0.44140530930141003,0.959,0.6955475688359516,0.859425876268914,0.08932461873638345,0.7915476220830936,0.6341463414634146,0.5914707054603424,25000.0,29296.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
26000.0,0.756894235,2.250794212528402E-9,26000.0,0.8294034075265146,0.37441371234293913,0.943,0.6087529515128217,0.8524363675009299,0.11234705228031146,0.7012456800616371,0.49504950495049505,0.4321839080459766,26000.0,29296.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
27000.0,0.771179616,2.359061631614136E-9,27000.0,0.8369566374035647,0.3854466793447033,0.949,0.6618485611987796,0.8294034075265146,0.11731843575418995,0.7294803129638676,0.5333333333333333,0.49281767955801037,27000.0,29296.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
28000.0,0.78543484,2.4671004939286255E-9,28000.0,0.8786916208791209,0.46866119610164614,0.957,0.7368421052631575,0.8369566374035647,0.11607142857142858,0.8054427234566284,0.6538461538461539,0.5728981908478179,28000.0,29296.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
29000.0,0.799473703,2.573499578692848E-9,29000.0,0.8222985987838501,0.41706623089658856,0.96,0.694138157794124,0.8786916208791209,0.09529025191675794,0.7568515126557778,0.5747126436781609,0.6008258774948377,29000.0,29296.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
30000.0,0.813842067,2.6823959173179345E-9,30000.0,0.7825981211807983,0.38684238030347107,0.939,0.6381368198751864,0.8222985987838501,0.12485939257592801,0.7423065138255082,0.5585585585585585,0.39343718926085475,30000.0,29296.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
31000.0,0.828137931,2.7818667453941382E-9,31000.0,0.8237363681614552,0.44051078871806004,0.951,0.6904611497157294,0.7825981211807983,0.10864745011086474,0.7896423250964846,0.6326530612244898,0.5123595505617973,31000.0,26896.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
32000.0,0.847230468,2.954108375184653E-9,32000.0,0.8376785012445959,0.49497579414880205,0.957,0.7366680547730442,0.8237363681614552,0.11358574610244988,0.8123947022168793,0.6666666666666666,0.5722723033882494,32000.0,34872.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
33000.0,0.861642251,3.0841229977624293E-9,33000.0,0.8535351805550798,0.4375633355439465,0.947,0.6508747892074193,0.8376785012445959,0.10741971207087486,0.7547500026702935,0.5773195876288659,0.47223898611949255,33000.0,34872.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
34000.0,0.878057106,3.243452980754277E-9,34000.0,0.8193261714485349,0.42465541210876245,0.954,0.7023347310659003,0.8535351805550798,0.11358574610244988,0.7711740244298182,0.5980392156862745,0.5421545667447302,34000.0,37520.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
35000.0,0.89259444,3.3866649569446853E-9,35000.0,0.8081161518661518,0.44278039775689465,0.947,0.6857359707793745,0.8193261714485349,0.12612612612612611,0.7646178418108251,0.5892857142857143,0.47420634920634874,35000.0,38080.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
