learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.019857352,4.835577467011412E-7,1000.0,0.5,0.0,0.915,0.0,0.0,0.09289617486338798,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.389802733,2.1236815711076145E-6,2000.0,0.568112551510989,0.21290902407694673,0.748,0.0838762214983709,0.5,0.11607142857142858,0.5104084902537153,0.3269230769230769,-1.6666666666666659,2000.0,2675104.0
3000.0,5.896235668,6.418986225959853E-6,3000.0,0.6485227784115289,0.19562493602201358,0.552,0.06734672634537316,0.568112551510989,0.11982082866741321,0.5831639277360992,0.6261682242990654,-3.5405405405405395,3000.0,2673424.0
4000.0,7.847688078,1.0580945166761167E-5,4000.0,0.6744622984851073,0.20107857208632424,0.581,0.07904801259000688,0.6485227784115289,0.09051254089422028,0.6165247316008821,0.6626506024096386,-3.4221635883905015,4000.0,8244080.0
5000.0,9.81627801,1.534967172865886E-5,5000.0,0.5980261849692834,0.12895777669070255,0.593,0.04486102375878873,0.6744622984851073,0.11982082866741321,0.5472896012446062,0.4953271028037383,-3.1872427983539118,5000.0,9363744.0
6000.0,11.896707562,2.1498459708658906E-5,6000.0,0.6341164453524004,0.133469075282875,0.576,0.07399318598759481,0.5980261849692834,0.12359550561797752,0.5863618547612908,0.6,-3.2684563758389245,6000.0,1.1424544E7
7000.0,14.126496646,3.410049406765138E-5,7000.0,0.5767329373688516,0.10268781604341401,0.542,0.018485896628134785,0.6341164453524004,0.10253583241455347,0.5251778617418152,0.5053763440860215,-3.653120464441219,7000.0,2.1604896E7
8000.0,16.94615469,6.227497978637992E-5,8000.0,0.6172608316371038,0.12676751550445847,0.615,0.0703626792871977,0.5767329373688516,0.10497237569060773,0.5835388524540159,0.5473684210526316,-2.9285714285714297,8000.0,2.9120272E7
9000.0,19.893482255,9.18051775571308E-5,9000.0,0.6495344506517691,0.30740166401547026,0.578,0.049356851614065875,0.6172608316371038,0.11731843575418995,0.5577288342142321,0.5333333333333333,-3.2722159730033766,9000.0,3.872936E7
10000.0,23.377843717,1.1433495359216567E-4,10000.0,0.7068558760417778,0.504337181128594,0.635,0.13810202982875405,0.6495344506517691,0.10253583241455347,0.6716862397828596,0.7204301075268817,-2.716904276985745,10000.0,2.4994016E7
11000.0,26.031801089,1.4330040791999248E-4,11000.0,0.6465273008241759,0.32439898727210703,0.6,0.11287747063624394,0.7068558760417778,0.11607142857142858,0.6348722371902437,0.6826923076923077,-3.0515653775322265,11000.0,3.3638192E7
12000.0,29.04118669,1.8269497064075886E-4,12000.0,0.6093779927217008,0.4154008797057194,0.566,0.05822512325532919,0.6465273008241759,0.1013215859030837,0.5800360106119178,0.5978260869565217,-3.42105263157895,12000.0,5.06012E7
13000.0,32.535777529,2.438617168414E-4,13000.0,0.6725120160747109,0.2284075608953377,0.62,0.10597070407159745,0.6093779927217008,0.10741971207087486,0.6284680470582709,0.6391752577319587,-2.874509803921569,13000.0,3.3641488E7
14000.0,36.18004775,2.9185427487120655E-4,14000.0,0.6127927254608869,0.12390208250584778,0.633,0.06143868407054283,0.6725120160747109,0.1210762331838565,0.555075776886991,0.4722222222222222,-2.715112075198844,14000.0,5.0905616E7
15000.0,39.415999088,3.4871732193037457E-4,15000.0,0.6178307647571969,0.11737355022411045,0.626,0.08438808235610938,0.6127927254608869,0.10497237569060773,0.5993890463176605,0.5684210526315789,-2.7956698240866023,15000.0,3.3644848E7
16000.0,42.44309831,3.884374387998189E-4,16000.0,0.6063509661070636,0.12220873287407658,0.609,0.06637121653501953,0.6178307647571969,0.10864745011086474,0.577376394227273,0.5408163265306123,-2.9695431472081206,16000.0,5.0720816E7
17000.0,45.49366665,4.417782481138853E-4,17000.0,0.7191776510430437,0.13895373361766666,0.648,0.11647029884388119,0.6063509661070636,0.09529025191675794,0.6460406594757889,0.6436781609195402,-2.59831629585087,17000.0,3.3648208E7
18000.0,48.491282357,4.8115787693238333E-4,18000.0,0.537781253097501,0.0876222346875038,0.62,0.02333208251301803,0.7191776510430437,0.11234705228031146,0.5113175242786799,0.40594059405940597,-2.8775510204081645,18000.0,5.0780624E7
19000.0,51.575292974,5.353263162083245E-4,19000.0,0.6705444444444445,0.11939902827833793,0.666,0.11358811040339718,0.537781253097501,0.1111111111111111,0.6160808027812225,0.56,-2.4045064377682412,19000.0,3.3651568E7
20000.0,54.467411249,5.731395268966222E-4,20000.0,0.5704869417862839,0.08806753398402464,0.641,0.02269312019513473,0.6705444444444445,0.09649122807017543,0.5071016793875165,0.38636363636363635,-2.678278688524589,20000.0,5.0539376E7
21000.0,57.395837895,6.246671857178226E-4,21000.0,0.6298037943894924,0.25810686913642733,0.58,0.06447546030034798,0.5704869417862839,0.13507377979568672,0.5688425732642466,0.5546218487394958,-3.258812168034767,21000.0,5.1066704E7
22000.0,60.457321389,6.744724991593201E-4,22000.0,0.6522098257038882,0.4376631299430448,0.615,0.11270695822117324,0.6298037943894924,0.1013215859030837,0.645212801695197,0.6847826086956522,-2.915857605177992,22000.0,6.2884864E7
23000.0,63.806789261,7.142670903994694E-4,23000.0,0.5844841675178754,0.22191538224778204,0.565,0.06116458755989106,0.6522098257038882,0.12359550561797752,0.5722917746945555,0.5818181818181818,-3.401671799384075,23000.0,4.5925152E7
24000.0,66.859377356,7.642018385624115E-4,24000.0,0.6353524004085802,0.2857934916552468,0.564,0.07305042945828716,0.5844841675178754,0.12359550561797752,0.5869538406311564,0.6181818181818182,-3.3911036508602606,24000.0,6.3232016E7
25000.0,70.55800481,8.164338254817532E-4,25000.0,0.6434313761046434,0.29920205550450063,0.632,0.09343975562289045,0.6353524004085802,0.1001100110011001,0.6142683816153793,0.5934065934065934,-2.718674211802747,25000.0,5.458808E7
26000.0,73.960008719,8.79422614743125E-4,26000.0,0.5268224443100853,0.1051845986835378,0.598,-0.005306618518648359,0.6434313761046434,0.10253583241455347,0.4767974155859889,0.3655913978494624,-3.071679002726921,26000.0,7.1569968E7
27000.0,77.480927164,9.423415812716658E-4,27000.0,0.6393231634923328,0.2839204996963229,0.575,0.08177198561946879,0.5268224443100853,0.1273957158962796,0.5938731320442213,0.6194690265486725,-3.281716417910448,27000.0,6.9076128E7
28000.0,81.047378693,0.00101233367611752,28000.0,0.587547491156819,0.29055609704872604,0.54,0.07706136338100512,0.6393231634923328,0.11358574610244988,0.5993212749891444,0.6862745098039216,-3.629762760603884,28000.0,6.9531968E7
29000.0,84.963917686,0.0011003197740045172,29000.0,0.628273748723187,0.3042982328155388,0.557,0.053459253878039494,0.587547491156819,0.12359550561797752,0.5638225004849624,0.5727272727272728,-3.4422544951590575,29000.0,7.8157328E7
