learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.160041154,5.828846304143468E-9,1000.0,0.9586715530134374,0.8202973170213719,0.956,0.7774968394437419,0.0,0.10741971207087486,0.9385875945287949,0.9175257731958762,0.5463917525773191,1000.0,140784.0,15.0,0.9842983622118263,0.01570163778817368,195.60000000000002,3.7452191747168384,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.232559731,8.470039703237512E-9,2000.0,0.9930888888888889,0.918516537971529,0.959,0.807330827067669,0.9586715530134374,0.1111111111111111,0.976956725983523,1.0,0.5837563451776647,2000.0,140784.0,15.0,0.7521800626332681,0.24781993736673186,379.9333333333333,6.098763861219795,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.286866483,1.0447941653914749E-8,3000.0,0.9943665662255994,0.9073329381867722,0.958,0.8061156658541987,0.9930888888888889,0.11358574610244988,0.9763346755409731,1.0,0.5785953177257522,3000.0,140784.0,15.0,0.9731941151520159,0.026805884847983873,582.2666666666667,6.7467570104999455,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.330165131,1.2024918313113351E-8,4000.0,0.9968781550560604,0.9154337596166626,0.957,0.7694369973190347,0.9943665662255994,0.08932461873638345,0.9762986435483435,1.0,0.5485564304461936,4000.0,140784.0,15.0,0.7511886532400947,0.2488113467599052,737.8666666666667,7.822961725505894,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.372252578,1.355778191578885E-8,5000.0,0.996118164313883,0.9227760172376406,0.963,0.8342085924757585,0.9968781550560604,0.122334455667789,0.9790166623404791,1.0,0.6224489795918363,5000.0,140784.0,15.0,0.891075432908376,0.10892456709162401,949.4666666666667,9.067401930971066,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.41162763,1.4991857593134047E-8,6000.0,0.9950797382005899,0.907631937316878,0.952,0.7739602169981916,0.996118164313883,0.10619469026548672,0.9730892327362669,1.0,0.5085324232081908,6000.0,140784.0,15.0,0.9772629710872544,0.02273702891274558,1134.7333333333331,9.330679894926584,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.449199518,1.6360260376011335E-8,7000.0,0.9930171460176991,0.8996356051083756,0.945,0.7477156801585262,0.9950797382005899,0.10619469026548672,0.9691023124703595,1.0,0.4354838709677414,7000.0,140784.0,15.0,0.8634688241842964,0.13653117581570368,1320.6666666666667,11.379039488574582,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.486441821,1.7716659369481108E-8,8000.0,0.996425884123401,0.9191397197189016,0.96,0.828243619250455,0.9930171460176991,0.12866817155756208,0.9771659394072726,1.0,0.5979899497487435,8000.0,140784.0,15.0,0.9306380454198921,0.06936195458010778,1541.0000000000002,10.172792845905901,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.522799711,1.9040847226517898E-8,9000.0,0.9963985742300719,0.9208093336011146,0.961,0.7991926514808253,0.996425884123401,0.09769484083424808,0.9783608236266742,1.0,0.6033898305084744,9000.0,140784.0,15.0,0.9019449022456478,0.09805509775435212,1715.3999999999999,10.293687385966212,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.559665845,2.038354579837372E-8,10000.0,0.9911429990170147,0.9065146953658978,0.958,0.8174182946868722,0.9963985742300719,0.12485939257592801,0.9760921603577252,1.0,0.578313253012048,10000.0,140784.0,15.0,0.8523029144965928,0.14769708550340724,1931.2666666666667,11.904967617270275,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.594513184,2.165271799604098E-8,11000.0,0.9939195106007721,0.9047789579010233,0.947,0.7423732768174832,0.9911429990170147,0.09769484083424808,0.9704752307172939,1.0,0.4626728110599073,11000.0,140784.0,15.0,0.9860403152965495,0.013959684703450439,2105.8,12.62393795627219,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
