learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.141439017,5.15133933302015E-9,1000.0,0.8532295662255331,0.4579250517648237,0.819,0.3412720364520401,0.0,0.09769484083424808,0.7883010950209028,0.7528089887640449,-1.0337078651685405,1000.0,140784.0,15.0,0.8634107718662661,0.1365892281337338,176.86666666666667,3.1845858916957006,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.222615357,8.107856438569724E-9,2000.0,0.9080370139322105,0.49288512563024967,0.795,0.31549845068917626,0.8532295662255331,0.09170305676855896,0.8068735438610607,0.8214285714285714,-1.3699421965317908,2000.0,140784.0,15.0,0.908612669012542,0.09138733098745791,337.1333333333333,4.663808648638055,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.278641743,1.0148389044143259E-8,3000.0,0.9036978485797383,0.4763115009038844,0.815,0.412392483705802,0.9080370139322105,0.12485939257592801,0.828741695010585,0.8468468468468469,-0.9542253521126765,3000.0,140784.0,15.0,0.897704331186525,0.10229566881347507,554.8666666666666,5.525582638243999,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.327658218,1.1933614231571554E-8,4000.0,0.9194154784705966,0.492926613074368,0.809,0.4191704172241822,0.9036978485797383,0.12485939257592801,0.8476386433335682,0.9009009009009009,-0.9341772151898728,4000.0,140784.0,15.0,0.8070455313795468,0.19295446862045304,768.0666666666666,6.845552373737805,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.370347742,1.3488406033391753E-8,5000.0,0.9298284384995639,0.5060328909779361,0.84,0.43284534401474584,0.9194154784705966,0.10497237569060773,0.854871608316382,0.8736842105263158,-0.6326530612244905,5000.0,140784.0,15.0,0.8837834197134945,0.11621658028650546,958.6666666666666,8.19213715162967,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.410521929,1.495158694382757E-8,6000.0,0.9200755690302729,0.4950910342135829,0.81,0.3876024960033006,0.9298284384995639,0.10864745011086474,0.8392709715039672,0.8775510204081632,-0.9387755102040816,6000.0,140784.0,15.0,0.870464172220934,0.129535827779066,1147.2666666666664,8.98117961637487,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.448937704,1.6350724868873755E-8,7000.0,0.9075319714333168,0.4663215549964055,0.807,0.3977482650157275,0.9200755690302729,0.1210762331838565,0.8302258953858328,0.8611111111111112,-0.9410919540229882,7000.0,140784.0,15.0,0.7352510174112848,0.2647489825887151,1355.3333333333333,10.283906366684315,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.486702399,1.7726149860359727E-8,8000.0,0.9152623090993711,0.4804150452012017,0.808,0.3904723204591777,0.9075319714333168,0.11482720178372352,0.8322323906995788,0.8640776699029126,-0.922403003754692,8000.0,140784.0,15.0,0.8180469939790708,0.18195300602092918,1558.0666666666666,11.633476598926816,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.52365547,1.907201475786666E-8,9000.0,0.9121559459254689,0.4709956842229971,0.816,0.39450181320380917,0.9152623090993711,0.11482720178372352,0.8243199711488121,0.8349514563106796,-0.8359201773835927,9000.0,140784.0,15.0,0.9655001656926131,0.034499834307386845,1763.4666666666665,10.95613186288051,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.560168897,2.0401867415768405E-8,10000.0,0.9191470756398614,0.4773451072117161,0.813,0.3950647636547143,0.9121559459254689,0.10987791342952276,0.8414880324568113,0.8787878787878788,-0.8681318681318693,10000.0,140784.0,15.0,0.9728572303959487,0.02714276960405117,1961.133333333333,12.172125324717747,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.595461837,2.168726881247014E-8,11000.0,0.9275219061151783,0.4943680579830205,0.812,0.4361702765764743,0.9191470756398614,0.122334455667789,0.8707253679660121,0.9541284403669725,-0.8630630630630618,11000.0,140784.0,15.0,0.8675921376663207,0.13240786233367915,2169.6666666666665,11.163147988621887,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.630266944,2.295490288178126E-8,12000.0,0.9208911992422824,0.4849652815319314,0.819,0.4162721397334846,0.9275219061151783,0.11234705228031146,0.854173026733269,0.900990099009901,-0.7935590421139561,12000.0,140784.0,15.0,0.8831917671544924,0.11680823284550755,2363.6,9.611897389619358,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.688607851,2.5119939785717678E-8,13000.0,0.9282270146416387,0.48737249342497646,0.819,0.3867566541985147,0.9208911992422824,0.09529025191675794,0.8578955012794737,0.9080459770114943,-0.8127889060092462,13000.0,143448.0,15.0,0.907788784916558,0.09221121508344189,2532.0666666666666,8.756747964891709,3120.0,176.0,1.1333333333333335,0.1333333333333333,1.0666666666666669,0.06666666666666665,1.0666666666666669,0.06666666666666665,0.06666666666666668,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.741169694,2.7179188554318003E-8,14000.0,0.9071903706050047,0.43920666818900966,0.791,0.3673491627214281,0.9282270146416387,0.10864745011086474,0.8407120123044065,0.9081632653061225,-1.0959885386819472,14000.0,151440.0,15.0,0.8877986782839552,0.11220132171604483,2717.2,9.898147974915975,3647.9999999999995,312.01465167062725,1.533333333333333,0.23637473611411153,1.2666666666666668,0.11818736805705576,1.2666666666666668,0.11818736805705576,0.26666666666666666,0.11818736805705576,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.786922244,2.903472868460541E-8,15000.0,0.9236049365152754,0.49058730992920435,0.824,0.4047739832119206,0.9071903706050047,0.10253583241455347,0.8538921723181175,0.8924731182795699,-0.7730020147750182,15000.0,156768.0,15.0,0.8315803778037105,0.1684196221962894,2892.6666666666665,10.31673013289195,3999.9999999999995,345.6571381338119,1.7999999999999998,0.26186146828319085,1.4,0.13093073414159542,1.4,0.13093073414159542,0.4,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.829548224,3.0795755805404234E-8,16000.0,0.9273049645390071,0.4827697302263571,0.811,0.3981888349700051,0.9236049365152754,0.10375275938189846,0.8643357156757443,0.9361702127659575,-0.9102969046114964,16000.0,159696.0,15.0,0.9588189880419373,0.04118101195806257,3071.0000000000005,8.65585406091216,4193.066666666667,357.25076515852163,2.0666666666666664,0.33046383948376135,1.5333333333333332,0.16523191974188067,1.5333333333333332,0.16523191974188067,0.5333333333333333,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.870015348,3.252060747241601E-8,17000.0,0.928919604262196,0.4876143684475772,0.793,0.3494412108564747,0.9273049645390071,0.09051254089422028,0.8608727036138749,0.9518072289156626,-1.112244897959184,17000.0,164760.0,15.0,0.9722832369266238,0.02771676307337613,3232.733333333333,10.366827437124197,4528.0,431.1101947298393,2.1999999999999997,0.3265986323710903,1.5999999999999999,0.16329931618554516,1.5999999999999999,0.16329931618554516,0.6,0.16329931618554522,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.908438242,3.4187669810062896E-8,18000.0,0.9241648706896551,0.4894074850080681,0.802,0.3158825805738296,0.928919604262196,0.07758620689655173,0.8407714027749386,0.8888888888888888,-1.0506329113924056,18000.0,167712.0,15.0,0.9394747411255734,0.060525258874426724,3369.5333333333338,11.552310289109839,4723.200000000001,432.4687404062534,2.333333333333333,0.3187276291558383,1.6666666666666665,0.15936381457791915,1.6666666666666665,0.15936381457791915,0.6666666666666666,0.15936381457791915,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,0.960065399,3.6641965142896196E-8,19000.0,0.9288332105133874,0.4857257319322188,0.834,0.482204685111825,0.9241648706896551,0.12994350282485875,0.8777273527819818,0.9391304347826087,-0.7021046950890452,19000.0,183760.0,15.0,0.8917330691227967,0.1082669308772033,3592.7999999999997,12.348587734944397,5782.933333333334,194.96889780452446,3.266666666666667,0.18170270503179917,2.1333333333333333,0.09085135251589957,2.1333333333333333,0.09085135251589957,1.1333333333333335,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
