learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.044133566,4.950681322636455E-7,1000.0,0.5,0.0,0.907,0.0,0.0,0.10253583241455347,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.315217883,1.937010549987207E-6,2000.0,0.7668925518925519,0.4959109401841509,0.936,0.5609220636663008,0.5,0.0989010989010989,0.7142625148857668,0.5222222222222223,0.30054644808743247,2000.0,2454240.0
3000.0,5.64959637,6.100633804812969E-6,3000.0,0.9957944446133422,0.8646583363484959,0.942,0.760806987735172,0.7668925518925519,0.12485939257592801,0.9668289172498907,1.0,0.4081632653061218,3000.0,3144160.0
4000.0,7.888845762,1.1107433134586158E-5,4000.0,0.9975338250599575,0.8668969812113824,0.945,0.751144734222576,0.9957944446133422,0.10864745011086474,0.969032708552143,1.0,0.438775510204081,4000.0,8642912.0
5000.0,10.401915877,1.761933205747261E-5,5000.0,0.9951962967815189,0.8799840202454604,0.945,0.757679361330913,0.9975338250599575,0.11358574610244988,0.9688925554282917,1.0,0.4433198380566797,5000.0,1.0016256E7
6000.0,12.826889253,2.5580607560682837E-5,6000.0,0.9978824115595416,0.8704004430791518,0.945,0.7667435706046005,0.9951962967815189,0.1210762331838565,0.9686799302013477,1.0,0.45182724252491674,6000.0,1.269048E7
7000.0,15.474936219,4.040756939917169E-5,7000.0,0.9974191436592766,0.8772251257299182,0.939,0.7084798898914204,0.9978824115595416,0.09529025191675794,0.9660161979144438,1.0,0.3802612481857759,7000.0,1.9382592E7
8000.0,18.033501189,6.458940203788192E-5,8000.0,0.9957094196253111,0.8650881970803599,0.935,0.7233241959375482,0.9974191436592766,0.11358574610244988,0.96312871751565,1.0,0.34260429835651157,8000.0,2.5154544E7
9000.0,20.64498432,8.748285559517685E-5,9000.0,0.9971962231476519,0.8736656396412622,0.945,0.7132848176491438,0.9957094196253111,0.08577633007600434,0.9696815466150832,1.0,0.4310344827586203,9000.0,3.388648E7
10000.0,23.611194048,1.0065949260726038E-4,10000.0,0.9964693509615384,0.8533640490146839,0.939,0.7400715868416566,0.9971962231476519,0.11607142857142858,0.965359851483965,1.0,0.37371663244353154,10000.0,1.7171376E7
11000.0,26.00850891,1.2194593027314882E-4,11000.0,0.9948141840255033,0.8423783884146931,0.942,0.7471224276246946,0.9964693509615384,0.11358574610244988,0.967167010772213,1.0,0.4070631970260217,11000.0,3.4322608E7
12000.0,28.979471693,1.3674566944954644E-4,12000.0,0.9958889344614122,0.8708538433322849,0.944,0.7780859916782246,0.9948141840255033,0.13507377979568672,0.9676961652974768,1.0,0.43765690376569,12000.0,1.9255696E7
13000.0,31.534167834,1.6081017961979056E-4,13000.0,0.9983359671798306,0.8525736519073567,0.942,0.7549537369555113,0.9958889344614122,0.11982082866741321,0.966980036990056,1.0,0.4208909370199687,13000.0,3.6411632E7
14000.0,34.603025523,2.0319079585118585E-4,14000.0,0.9958039185453584,0.8485340890468417,0.933,0.7149712418745536,0.9983359671798306,0.11234705228031146,0.9620149414105891,1.0,0.33143264433357134,14000.0,3.59952E7
15000.0,38.170630416,2.4372857649536866E-4,15000.0,0.9992338632445892,0.8703941957247956,0.954,0.7751798561151076,0.9958039185453584,0.1013215859030837,0.9743403958824955,1.0,0.5384615384615381,15000.0,4.3922352E7
16000.0,41.378149581,2.943422684086759E-4,16000.0,0.9956559120322187,0.8465939580299103,0.936,0.7196032385825946,0.9992338632445892,0.10864745011086474,0.9638706153799402,1.0,0.3571876961707475,16000.0,4.1547248E7
17000.0,44.5725412,3.4021190958888206E-4,17000.0,0.9965337396978022,0.8551172777806454,0.946,0.764332099713707,0.9956559120322187,0.11607142857142858,0.9693978248671403,1.0,0.4590453741897464,17000.0,5.5505952E7
18000.0,48.136646152,4.071632812589308E-4,18000.0,0.9977059458561701,0.8589295501332342,0.935,0.7332041767912263,0.9965337396978022,0.1210762331838565,0.9628759239087087,1.0,0.3518005540166212,18000.0,3.835808E7
19000.0,51.479848491,4.5497941474360317E-4,19000.0,0.9941119806041714,0.850064438932801,0.944,0.7557209286094413,0.9977059458561701,0.11482720178372352,0.9682818167765578,1.0,0.44234800838574384,19000.0,5.5285872E7
20000.0,54.602010622,5.108146408925126E-4,20000.0,0.9972406181015453,0.8720458018141206,0.95,0.7629522870363344,0.9941119806041714,0.10375275938189846,0.9720145894125793,1.0,0.5004995004994999,20000.0,6.8763616E7
21000.0,58.444114957,5.960301363463963E-4,21000.0,0.9970668138671516,0.8614194641722006,0.94,0.741848878333376,0.9972406181015453,0.11482720178372352,0.9659763806082303,1.0,0.40142517814726786,21000.0,8.4326608E7
22000.0,62.818113927,7.098939578322526E-4,22000.0,0.9953333333333333,0.8504947423005609,0.94,0.7368421052631576,0.9970668138671516,0.1111111111111111,0.9660917830792959,1.0,0.4013605442176865,22000.0,1.00625824E8
23000.0,67.408318351,8.096556067683433E-4,23000.0,0.9973870573870574,0.8609753158518548,0.951,0.7597803706245707,0.9953333333333333,0.0989010989010989,0.9727043981363743,1.0,0.5089324618736377,23000.0,8.4010512E7
24000.0,71.667632379,9.019357301534507E-4,24000.0,0.9964908536946806,0.8306943594414198,0.933,0.6998745744490237,0.9973870573870574,0.10253583241455347,0.962356534361473,1.0,0.3266331658291465,24000.0,8.3747312E7
25000.0,76.007933886,0.001015410784197591,25000.0,0.9972881355932204,0.8630537308191972,0.953,0.8039542838074578,0.9964908536946806,0.12994350282485875,0.9730840947046826,1.0,0.5305633240111861,25000.0,8.3750672E7
26000.0,80.51501252,0.0011326933558539615,26000.0,0.9972678586539973,0.8495724250721403,0.938,0.7131674639377478,0.9972881355932204,0.1001100110011001,0.9652943485372386,1.0,0.3785659213569768,26000.0,9.5079616E7
27000.0,85.08066811,0.001262525181180362,27000.0,0.9942111690385609,0.841134827148008,0.94,0.7260874328914207,0.9972678586539973,0.10375275938189846,0.9663202545932099,1.0,0.39732142857142777,27000.0,1.09920928E8
28000.0,90.101052545,0.0013951403127371717,28000.0,0.9961351969745469,0.8422462730777377,0.941,0.7277693699014429,0.9942111690385609,0.10253583241455347,0.9669283251035422,1.0,0.4059690758719879,28000.0,1.02107696E8
29000.0,94.893615574,0.0015103552235386539,29000.0,0.9952618018254072,0.8464374313660264,0.947,0.7648416008518943,0.9961351969745469,0.11358574610244988,0.9700412132773382,1.0,0.46687478321193127,29000.0,9.292728E7
30000.0,99.47403873,0.0016204741982005998,30000.0,0.9949240159441953,0.8627031238983918,0.956,0.8063107479926749,0.9952618018254072,0.1210762331838565,0.975024433406625,1.0,0.5586760280842524,30000.0,9.293064E7
31000.0,103.918070722,0.0017468594341680137,31000.0,0.9938589075196093,0.8412153193353767,0.935,0.7086612761532534,0.9949240159441953,0.10375275938189846,0.9634604665683884,1.0,0.34683954619124835,31000.0,9.2934E7
32000.0,108.523173764,0.0018778070074318668,32000.0,0.9939656909817312,0.8590482826074664,0.942,0.7313745287475566,0.9938589075196093,0.10253583241455347,0.9674982799571046,1.0,0.41598489616110723,32000.0,9.293736E7
