learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.169849353,6.180797131936997E-9,1000.0,0.6405930470347648,0.05680167067720239,0.977,-0.0019167102282598369,0.0,0.022494887525562373,0.0,0.0,-0.045454545454545456,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.250210436,9.105127089942495E-9,2000.0,0.9912810194500336,0.06303776216177055,0.994,0.0,0.6405930470347648,0.006036217303822937,0.0,0.0,0.5714285714285714,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.307005743,1.1171901348500202E-8,3000.0,0.855041823697031,0.02849362328402475,0.989,0.0,0.9912810194500336,0.011122345803842264,0.0,0.0,0.15384615384615385,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.417828351,1.6353352857333504E-8,4000.0,0.7687287434506848,0.021036478055956508,0.989,0.0,0.855041823697031,0.011122345803842264,0.0,0.0,0.1199999999999961,4000.0,180728.0,15.0,3983.5333333333333,15.59727285889813,5590.933333333333,0.7268108201271996,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.48581345,1.9588944094671555E-8,5000.0,0.974104445403539,0.04874781553776678,0.993,0.0,0.7687287434506848,0.007049345417925478,0.0,0.0,0.38596491228069935,5000.0,183968.0,15.0,4983.866666666667,16.370666759748385,5805.333333333332,194.22781583605493,3.1333333333333333,0.1333333333333333,2.066666666666667,0.06666666666666665,2.066666666666667,0.06666666666666665,1.0666666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.55539675,2.3104948141924623E-8,6000.0,0.7695259784075573,0.07151600315337074,0.988,0.0,0.974104445403539,0.012145748987854251,0.0,0.0,-0.043478260869570254,6000.0,195320.0,15.0,5980.666666666666,20.516350428880724,6556.266666666666,384.6358756348617,3.8000000000000003,0.26186146828319085,2.4000000000000004,0.13093073414159542,2.4000000000000004,0.13093073414159542,1.4000000000000001,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.629007629,2.73946926276779E-8,7000.0,0.6823647294589178,8.443966103610147E-4,0.998,0.0,0.7695259784075573,0.002004008016032064,0.0,0.0,0.8028169014084501,7000.0,225264.0,15.0,6977.400000000001,20.572473518433963,8536.000000000002,33.21502815350439,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.708356985,3.270776314899118E-8,8000.0,0.8270582329317269,0.01579759151071239,0.996,0.0,0.6823647294589178,0.004016064257028112,0.0,0.0,0.5733333333333339,8000.0,258824.0,15.0,7989.533333333332,23.421168013382918,10752.533333333333,213.02282164050527,6.733333333333333,0.18170270503179917,3.8666666666666667,0.09085135251589958,3.8666666666666667,0.09085135251589958,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.767756971,3.6745794341574524E-8,9000.0,0.7435735887096774,0.014397812019450739,0.992,0.0,0.8270582329317269,0.008064516129032258,0.0,0.0,0.13253012048192886,9000.0,262776.0,15.0,8997.666666666668,24.060175882400852,11016.0,236.26425882896464,6.733333333333333,0.18170270503179917,3.8666666666666667,0.09085135251589958,3.8666666666666667,0.09085135251589958,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.833034857,4.124298604300659E-8,10000.0,0.7702883970489605,0.016040215575346038,0.994,0.0,0.7435735887096774,0.006036217303822937,0.0,0.0,0.32584269662921433,10000.0,266304.0,15.0,10008.4,25.97284296007217,11249.599999999999,182.42506093501194,6.866666666666666,0.1333333333333333,3.933333333333333,0.06666666666666665,3.933333333333333,0.06666666666666665,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
