learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.072555122,5.085440007761866E-7,1000.0,0.5,0.0,0.907,0.0,0.0,0.10253583241455347,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.711349244,2.1552787575179838E-6,2000.0,0.769981684981685,0.4973659102036057,0.936,0.5609220636663008,0.5,0.0989010989010989,0.7142625148857668,0.5222222222222223,0.30054644808743247,2000.0,2412240.0
3000.0,5.822701364,5.2836365642020595E-6,3000.0,0.9954802946928931,0.8619819427928402,0.94,0.7541366508494576,0.769981684981685,0.12485939257592801,0.965664764007388,1.0,0.38775510204081565,3000.0,4137152.0
4000.0,8.154277742,1.013497370741037E-5,4000.0,0.9975790759762885,0.8675567729115792,0.945,0.751144734222576,0.9954802946928931,0.10864745011086474,0.969032708552143,1.0,0.438775510204081,4000.0,8042928.0
5000.0,10.663890422,1.586495617939003E-5,5000.0,0.994988864142539,0.8785587625465009,0.947,0.7648416008518943,0.9975790759762885,0.11358574610244988,0.9700412132773382,1.0,0.4635627530364368,5000.0,8825696.0
6000.0,12.865179684,2.1685748029510048E-5,6000.0,0.9978201295465869,0.8690583743807334,0.943,0.7598584428715873,0.994988864142539,0.1210762331838565,0.9675219143298617,1.0,0.43189368770764097,6000.0,1.0221328E7
7000.0,15.388778603,3.835677661026467E-5,7000.0,0.9970162782792612,0.8738117870359716,0.939,0.7084798898914204,0.9978201295465869,0.09529025191675794,0.9660161979144438,1.0,0.3802612481857759,7000.0,2.5293168E7
8000.0,18.285396169,6.985285231481174E-5,8000.0,0.9957858421765142,0.8661743268933363,0.936,0.7266545939112314,0.9970162782792612,0.11358574610244988,0.9637066525916708,1.0,0.35271807838179603,8000.0,4.1931104E7
9000.0,21.305341029,1.156735249548766E-4,9000.0,0.9971962231476519,0.8730441314115395,0.947,0.7212638842140691,0.9957858421765142,0.08577633007600434,0.9708006255179134,1.0,0.45172413793103405,9000.0,4.1934464E7
10000.0,24.674853051,1.672110443990317E-4,10000.0,0.9962547218406593,0.8495680685958586,0.938,0.7366990555140313,0.9971962231476519,0.11607142857142858,0.9647816185171499,1.0,0.3634496919917862,10000.0,5.9123328E7
11000.0,28.302722133,2.2122342959861465E-4,11000.0,0.9947595964889296,0.8427318783778946,0.941,0.7436521315976986,0.9962547218406593,0.11358574610244988,0.9665911446831879,1.0,0.3968401486988841,11000.0,5.754984E7
12000.0,32.251835339,2.9786770759473606E-4,12000.0,0.9958984728965365,0.8706875006929298,0.944,0.7780859916782246,0.9947595964889296,0.13507377979568672,0.9676961652974768,1.0,0.43765690376569,12000.0,4.1941632E7
13000.0,36.166815967,3.5772221428611385E-4,13000.0,0.9979173425709831,0.8518987242681236,0.942,0.7549537369555113,0.9958984728965365,0.11982082866741321,0.966980036990056,1.0,0.4208909370199687,13000.0,5.9097568E7
14000.0,39.780031512,4.106501763710748E-4,14000.0,0.9957378385224507,0.8491186196677655,0.934,0.7182689762919078,0.9979173425709831,0.11234705228031146,0.9625929017759789,1.0,0.34141126158232404,14000.0,4.431424E7
15000.0,43.143713031,4.638214310312272E-4,15000.0,0.9990183872821299,0.8712045600984201,0.952,0.7672614429790533,0.9957378385224507,0.1013215859030837,0.973209414194423,1.0,0.5183946488294311,15000.0,6.1103264E7
16000.0,46.800106442,5.057419625287021E-4,16000.0,0.9956332865740531,0.8466028701910783,0.933,0.7095291771438483,0.9990183872821299,0.10864745011086474,0.9621437630845882,1.0,0.3270558694287513,16000.0,4.43176E7
17000.0,49.960627209,5.560006611068071E-4,17000.0,0.9962976476648352,0.8579051256092886,0.948,0.7714808043875683,0.9956332865740531,0.11607142857142858,0.9705484458357995,1.0,0.4790807307012373,17000.0,6.1468832E7
18000.0,53.561073938,5.972828938174175E-4,18000.0,0.9977059458561701,0.8598049591756404,0.938,0.7430371352785143,0.9962976476648352,0.1210762331838565,0.9646207926136575,1.0,0.3817174515235453,18000.0,4.432096E7
19000.0,56.723144588,6.473862066538416E-4,19000.0,0.9937764500871297,0.8514432006206268,0.945,0.7592492077110288,0.9977059458561701,0.11482720178372352,0.9688573186501174,1.0,0.45230607966456987,19000.0,6.1248752E7
20000.0,60.385999597,6.893871880980549E-4,20000.0,0.9971936498990184,0.8723791718975206,0.95,0.7629522870363344,0.9937764500871297,0.10375275938189846,0.9720145894125793,1.0,0.5004995004994999,20000.0,4.432432E7
21000.0,63.254865694,7.348785612131523E-4,21000.0,0.9969910489116905,0.862230771873946,0.942,0.7487371877626344,0.9971936498990184,0.11482720178372352,0.9671297856526517,1.0,0.4213776722090256,21000.0,6.1294448E7
22000.0,66.81258375,7.761082098902897E-4,22000.0,0.9953555555555555,0.8521185422062589,0.942,0.7438162544169609,0.9969910489116905,0.1111111111111111,0.9672412085697939,1.0,0.4213151927437636,22000.0,4.4796064E7
23000.0,69.917693787,8.255810424502948E-4,23000.0,0.9974725274725275,0.8629761397716935,0.951,0.7597803706245707,0.9953555555555555,0.0989010989010989,0.9727043981363743,1.0,0.5089324618736377,23000.0,6.158744E7
24000.0,73.826830297,8.751188065380871E-4,24000.0,0.9966212611587296,0.8290941703541783,0.933,0.6998745744490237,0.9974725274725275,0.10253583241455347,0.962356534361473,1.0,0.3266331658291465,24000.0,4.8984416E7
25000.0,77.273031078,9.342257108327104E-4,25000.0,0.9972291820191599,0.862437269639607,0.95,0.7934311092749431,0.9966212611587296,0.12994350282485875,0.9713407357146909,1.0,0.5005992808629639,25000.0,6.6278784E7
26000.0,80.910894603,0.001012440468174721,26000.0,0.9971348783229972,0.8514633281434957,0.937,0.7096399535423928,0.9972291820191599,0.1001100110011001,0.964724348872221,1.0,0.36854279105628396,26000.0,8.3108352E7
27000.0,85.177773021,0.0010855984775897387,27000.0,0.9941172326335072,0.8407551286239672,0.939,0.7225507140907849,0.9971348783229972,0.10375275938189846,0.9657489744637082,1.0,0.38727678571428487,27000.0,6.6275648E7
28000.0,88.439568225,0.0011558535802885482,28000.0,0.9960640656305201,0.8419603662927535,0.943,0.7350069735006971,0.9941172326335072,0.10253583241455347,0.9680678992469332,1.0,0.42610571736785274,28000.0,6.6279008E7
29000.0,92.03088484,0.0012333666286894016,29000.0,0.9952399668107778,0.8463591191884815,0.95,0.7757767094783669,0.9960640656305201,0.11358574610244988,0.9717616542624418,1.0,0.49705168227540686,29000.0,8.343024E7
30000.0,96.510974503,0.00131018805226902,30000.0,0.9948202125892709,0.8634609969803342,0.952,0.7915798249270528,0.9952399668107778,0.1210762331838565,0.9727221292883055,1.0,0.5185556670010026,30000.0,6.6282368E7
31000.0,99.987642031,0.001385094211061518,31000.0,0.994035038279085,0.8414473961232962,0.934,0.7052518756698822,0.9948202125892709,0.10375275938189846,0.9628874897311703,1.0,0.33679092382495984,31000.0,6.6285728E7
32000.0,104.048104525,0.001472562224573694,32000.0,0.9938708491896955,0.857010144364468,0.942,0.7313745287475566,0.994035038279085,0.10253583241455347,0.9674982799571046,1.0,0.41598489616110723,32000.0,8.3267616E7
33000.0,108.361056718,0.0015465251904145738,33000.0,0.9972537216631705,0.8486472005697124,0.952,0.795485338855229,0.9938708491896955,0.12485939257592801,0.9726287828130296,1.0,0.5183946488294311,33000.0,6.6289088E7
34000.0,112.071936443,0.0016266646286123467,34000.0,0.9953854739010989,0.8554178972334614,0.953,0.7897956993094563,0.9972537216631705,0.11607142857142858,0.9734190479218818,1.0,0.5290303566165631,34000.0,6.6292448E7
35000.0,116.092906718,0.0017134259255882965,35000.0,0.9968333333333333,0.8535142079244764,0.941,0.7403169014084504,0.9953854739010989,0.1111111111111111,0.9666666666666667,1.0,0.40881763527054055,35000.0,8.3406048E7
36000.0,120.448144896,0.0017881216266894078,36000.0,0.9989035087719298,0.8698566519923551,0.944,0.729018271910808,0.9968333333333333,0.09649122807017543,0.9688118967209631,1.0,0.43702876291538606,36000.0,6.6295808E7
37000.0,124.23654052,0.00186986790591717,37000.0,0.9960444444444444,0.8335630413296645,0.935,0.7198275862068969,0.9989035087719298,0.1111111111111111,0.963212218453326,1.0,0.3466449334420001,37000.0,6.6299168E7
38000.0,128.446913349,0.0019608872591722003,38000.0,0.9961696562032885,0.8427731283155948,0.954,0.798894795747062,0.9960444444444444,0.1210762331838565,0.9738739616980949,1.0,0.5386645552916333,38000.0,8.3563296E7
39000.0,132.900871899,0.0020372838340262786,39000.0,0.9960311868864778,0.8400323075352085,0.939,0.7225507140907849,0.9961696562032885,0.10375275938189846,0.9657489744637082,1.0,0.38732938449652254,39000.0,6.6302528E7
40000.0,136.262869326,0.0021096714539716125,40000.0,0.9968986568986569,0.8586491858508309,0.941,0.7219342068055421,0.9960311868864778,0.0989010989010989,0.9670392107690542,1.0,0.40599043543921415,40000.0,6.6305888E7
41000.0,140.411219835,0.0021990341400058787,41000.0,0.9974741428845049,0.8614687295695679,0.953,0.7712049225017522,0.9968986568986569,0.1013215859030837,0.9737750692344486,1.0,0.5259532595325948,41000.0,8.326896E7
42000.0,144.896542277,0.0022763948971038298,42000.0,0.9966410542582418,0.8497902900397427,0.946,0.764332099713707,0.9974741428845049,0.11607142857142858,0.9693978248671403,1.0,0.4559846485967854,42000.0,6.6669776E7
