learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.146106416,5.316794565419356E-9,1000.0,0.6569387755102041,0.14721064994026425,0.982,0.2449664429530221,0.0,0.02040816326530612,0.3871006829954065,0.15,0.1,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.228783908,8.325418362940351E-9,2000.0,0.6291181125017983,0.0038199647717577453,0.993,0.0,0.6569387755102041,0.007049345417925478,0.0,0.0,0.48148148148147935,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.294545332,1.0718468519871434E-8,3000.0,0.6678427419354839,0.006874936936567346,0.992,0.0,0.6291181125017983,0.008064516129032258,0.0,0.0,0.31428571428571644,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.419569994,1.6816729900265733E-8,4000.0,0.5295640914976263,0.0038391115765438136,0.993,0.0,0.6678427419354839,0.007049345417925478,0.0,0.0,0.3333333333333298,4000.0,188544.0,15.0,3983.5333333333333,15.59727285889813,6107.733333333333,333.6908102201749,3.5333333333333337,0.2363747361141115,2.2666666666666666,0.11818736805705575,2.2666666666666666,0.11818736805705575,1.2666666666666668,0.11818736805705575,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.50271833,2.1401743240977326E-8,5000.0,0.6678403755868545,0.03288113277168965,0.994,0.0,0.5295640914976263,0.006036217303822937,0.0,0.0,0.3750000000000029,5000.0,213152.0,15.0,4983.866666666667,16.370666759748385,7734.933333333333,305.6864167685987,4.466666666666666,0.23637473611411156,2.733333333333333,0.11818736805705578,2.733333333333333,0.11818736805705578,1.7333333333333332,0.11818736805705576,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.574190931,2.5619093324713822E-8,6000.0,0.8103643358225843,0.05000323479109777,0.982,0.0,0.6678403755868545,0.018329938900203666,0.0,0.0,-0.6363636363636364,6000.0,228088.0,15.0,5980.666666666666,20.516350428880724,8724.266666666665,43.5307736431167,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.638438031,2.9414745491964535E-8,7000.0,0.8568075117370892,0.04365820762282313,0.994,0.0,0.8103643358225843,0.006036217303822937,0.0,0.0,0.4166666666666631,7000.0,228368.0,15.0,6977.400000000001,20.572473518433963,8742.933333333336,30.50674658664188,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.70371168,3.331130214536976E-8,8000.0,0.9567839195979899,0.03639470881721894,0.995,0.0,0.8568075117370892,0.005025125628140704,0.0,0.0,0.4805194805194798,8000.0,230752.0,15.0,7989.533333333332,23.421168013382918,8900.266666666666,143.15703886913053,5.133333333333334,0.13333333333333333,3.066666666666667,0.06666666666666667,3.066666666666667,0.06666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.766504584,3.7112271418619073E-8,9000.0,0.8041582830315225,0.012907425421983386,0.994,0.0,0.9567839195979899,0.006036217303822937,0.0,0.0,0.34939759036144663,9000.0,233984.0,15.0,8997.666666666668,24.060175882400852,9114.133333333333,230.34082132408483,5.2666666666666675,0.18170270503179917,3.1333333333333337,0.09085135251589958,3.1333333333333337,0.09085135251589958,2.066666666666667,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.840560455,4.203656932954573E-8,10000.0,0.6757974078499862,0.025107912302503147,0.989,0.0,0.8041582830315225,0.011122345803842264,0.0,0.0,-0.17021276595745233,10000.0,257032.0,15.0,10008.4,25.97284296007217,10637.866666666667,361.05957649365536,6.333333333333333,0.2519763153394848,3.6666666666666665,0.1259881576697424,3.6666666666666665,0.1259881576697424,2.1333333333333333,0.09085135251589957,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.910457175,4.693080548969822E-8,11000.0,0.8813004032258065,0.018421034535839,0.992,0.0,0.6757974078499862,0.008064516129032258,0.0,0.0,0.13725490196078807,11000.0,270664.0,15.0,11014.466666666669,24.648745098293183,11538.666666666666,368.80546771417715,7.0,0.2760262237369417,3.9999999999999996,0.13801311186847084,3.9999999999999996,0.13801311186847084,2.466666666666667,0.19189944456771316,0.0,0.0,0.0,0.0,1.0,0.0
