learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,1.08543041,5.146487224229922E-7,1000.0,0.5,0.0,0.907,0.0,0.0,0.10253583241455347,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.521154252,2.0475022712057165E-6,2000.0,0.7678937728937729,0.4982619805077129,0.935,0.5565561468140263,0.5,0.0989010989010989,0.7138606794025496,0.5222222222222223,0.2896174863387986,2000.0,2432624.0
3000.0,5.64481819,4.961774836008259E-6,3000.0,0.9953992237456805,0.8713891837092044,0.944,0.7675634842233713,0.7678937728937729,0.12485939257592801,0.9679916704268421,1.0,0.42857142857142794,3000.0,3516560.0
4000.0,7.978135383,9.740135775163016E-6,4000.0,0.9976808905380334,0.8731937712106866,0.945,0.751144734222576,0.9953992237456805,0.10864745011086474,0.969032708552143,1.0,0.438775510204081,4000.0,7916032.0
5000.0,10.473812515,1.5355576686883774E-5,5000.0,0.995272719332722,0.8845077872889435,0.95,0.7757767094783669,0.9976808905380334,0.11358574610244988,0.9717616542624418,1.0,0.49392712550607243,5000.0,8697568.0
6000.0,12.82960052,2.1502721824455505E-5,6000.0,0.9976229031722306,0.8704876028373169,0.946,0.770220588235294,0.995272719332722,0.1210762331838565,0.9692584193124514,1.0,0.4617940199335546,6000.0,1.008648E7
7000.0,15.278152776,3.786681475286508E-5,7000.0,0.9975324495474059,0.8775947731278266,0.941,0.7157941386153873,0.9976229031722306,0.09529025191675794,0.9671493551344131,1.0,0.40058055152394717,7000.0,2.5528032E7
8000.0,18.249370638,7.061472898338037E-5,8000.0,0.9964190576007685,0.8690569657001217,0.94,0.7402057570404238,0.9975324495474059,0.11358574610244988,0.9660149353057917,1.0,0.39317319848293275,8000.0,4.2604112E7
9000.0,21.506233717,1.2059713195521523E-4,9000.0,0.9970862711142264,0.8710876004615473,0.948,0.7253066528615648,0.9964190576007685,0.08577633007600434,0.9713596814960191,1.0,0.46206896551724097,9000.0,4.2607472E7
10000.0,25.049069298,1.7540251286684135E-4,10000.0,0.9966839800824175,0.8514675058970799,0.939,0.7400715868416566,0.9970862711142264,0.11607142857142858,0.965359851483965,1.0,0.37371663244353154,10000.0,5.8630384E7
11000.0,28.738366428,2.471748929338956E-4,11000.0,0.9950762042010568,0.8400827115910795,0.942,0.7471224276246946,0.9966839800824175,0.11358574610244988,0.967167010772213,1.0,0.4070631970260217,11000.0,7.5199696E7
12000.0,33.184187118,3.139424431708133E-4,12000.0,0.99570770419405,0.8692802224402787,0.946,0.7847113138191414,0.9950762042010568,0.13507377979568672,0.9688684203187927,1.0,0.45774058577405824,12000.0,5.8051824E7
13000.0,36.872321167,3.856998904570688E-4,13000.0,0.9980533955688585,0.8527950862288168,0.943,0.7583762886597936,0.99570770419405,0.11982082866741321,0.9675588936937934,1.0,0.4308755760368658,13000.0,7.520776E7
14000.0,40.839438817,4.5698243240957265E-4,14000.0,0.9959470919283252,0.8492694859473003,0.935,0.7215892542018609,0.9980533955688585,0.11234705228031146,0.9631705153303748,1.0,0.3513898788310767,14000.0,6.9456112E7
15000.0,44.523012651,5.316815903433234E-4,15000.0,0.9992338632445892,0.8707722913793875,0.955,0.7791866216534504,0.9959470919283252,0.1013215859030837,0.9749053947098463,1.0,0.5484949832775916,15000.0,7.8274208E7
16000.0,48.560551598,6.312737477013428E-4,16000.0,0.9960066066337844,0.846655057518154,0.934,0.7128637059724352,0.9992338632445892,0.10864745011086474,0.9627197246824659,1.0,0.3370998116760834,16000.0,7.8277568E7
17000.0,52.771631042,7.352347664550949E-4,17000.0,0.9966410542582418,0.8581174699759374,0.946,0.764332099713707,0.9960066066337844,0.11607142857142858,0.9693978248671403,1.0,0.4590453741897464,17000.0,9.54288E7
18000.0,57.525091186,8.328083316615788E-4,18000.0,0.9975294801527985,0.858898154211777,0.935,0.7332041767912263,0.9966410542582418,0.1210762331838565,0.9628759239087087,1.0,0.3518005540166212,18000.0,7.9345936E7
19000.0,61.366293069,9.108065475447647E-4,19000.0,0.9941552748644349,0.8513013495737093,0.944,0.7557209286094413,0.9975294801527985,0.11482720178372352,0.9682818167765578,1.0,0.44234800838574384,19000.0,7.8284624E7
20000.0,65.120347538,0.0010031329948478093,20000.0,0.9973932647597576,0.8769189579982734,0.954,0.7785053929121725,0.9941552748644349,0.10375275938189846,0.974283004608226,1.0,0.5404595404595399,20000.0,7.8287984E7
21000.0,69.381514436,0.001108142386756958,21000.0,0.9970018724767564,0.8638274070185904,0.939,0.7384399012074641,0.9973932647597576,0.11482720178372352,0.9653991613271646,1.0,0.391448931116389,21000.0,9.5258112E7
22000.0,74.029933491,0.0012026524898233566,22000.0,0.9954555555555555,0.8522198342224362,0.941,0.7403169014084504,0.9970018724767564,0.1111111111111111,0.9666666666666667,1.0,0.41133786848072507,22000.0,7.8591392E7
23000.0,78.03208067,0.0012934291803477214,23000.0,0.9974725274725275,0.8623096697008343,0.95,0.7558593749999999,0.9954555555555555,0.0989010989010989,0.9721393650372075,1.0,0.498910675381263,23000.0,8.0691616E7
24000.0,81.946895876,0.001392251871831392,24000.0,0.9966686820547475,0.8313362200763988,0.934,0.7032720994847728,0.9974725274725275,0.10253583241455347,0.962929195247833,1.0,0.33668341708542787,24000.0,8.0694976E7
25000.0,86.36737266,0.0015043324772222764,25000.0,0.9974355195283714,0.8630524153131245,0.951,0.7969164456233421,0.9966686820547475,0.12994350282485875,0.9719222028339418,1.0,0.5105872952457047,25000.0,9.8008496E7
26000.0,91.01847778,0.0016130720639515844,26000.0,0.9975821757999975,0.8521913546241402,0.938,0.7131674639377478,0.9974355195283714,0.1001100110011001,0.9652943485372386,1.0,0.3785659213569768,26000.0,9.0372E7
27000.0,95.392777927,0.001704397147005561,27000.0,0.9939293598233996,0.8409475282491026,0.938,0.7190400232018559,0.9975821757999975,0.10375275938189846,0.965177356198498,1.0,0.377232142857142,27000.0,8.070192E7
28000.0,99.451258504,0.0018069584860832552,28000.0,0.9961944730945691,0.8405508794750935,0.94,0.7241911906666295,0.9939293598233996,0.10253583241455347,0.9663580340925028,1.0,0.3959007551240555,28000.0,8.070528E7
29000.0,103.450627149,0.001908204701538558,29000.0,0.9951853792742041,0.8469510914230856,0.949,0.7721057429352778,0.9961944730945691,0.11358574610244988,0.9711885125704356,1.0,0.486992715920915,29000.0,8.070864E7
30000.0,107.854329164,0.0020198192820781117,30000.0,0.9949447766151802,0.8644649972894141,0.952,0.7915798249270528,0.9951853792742041,0.1210762331838565,0.9727221292883055,1.0,0.5185556670010026,30000.0,9.7972768E7
31000.0,112.572413808,0.0021186327187428934,31000.0,0.9943520736461415,0.8424253781510194,0.932,0.6985067215266203,0.9949447766151802,0.10375275938189846,0.961740511968811,1.0,0.31669367909238283,31000.0,8.0956608E7
32000.0,116.490212269,0.002200441084408928,32000.0,0.9946888596460031,0.8579155013944461,0.943,0.7350069735006971,0.9943520736461415,0.10253583241455347,0.9680678992469332,1.0,0.426054122089364,32000.0,8.0715696E7
33000.0,120.475845858,0.0023015249374383514,33000.0,0.9971118475055483,0.8456948235307071,0.953,0.7990800430909182,0.9946888596460031,0.12485939257592801,0.9732068683219058,1.0,0.5284280936454846,33000.0,8.0719056E7
34000.0,124.60457545,0.002406100905525891,34000.0,0.9955035199175825,0.8554205018040477,0.954,0.793536804308797,0.9971118475055483,0.11607142857142858,0.9739921530924746,1.0,0.539050987326849,34000.0,9.790792E7
35000.0,129.024353148,0.0025087114928567904,35000.0,0.9970333333333333,0.8538810685730978,0.944,0.7508896797153024,0.9955035199175825,0.1111111111111111,0.9683892697555967,1.0,0.43887775551102154,35000.0,8.9741664E7
36000.0,132.996681993,0.0025916691076757585,36000.0,0.9988038277511961,0.8703941993138893,0.942,0.7215607957600428,0.9970333333333333,0.09649122807017543,0.9676794452565012,1.0,0.4169226473052213,36000.0,8.0726E7
37000.0,136.913523879,0.0026908089761100407,37000.0,0.9962,0.8344873813034895,0.935,0.7198275862068969,0.9988038277511961,0.1111111111111111,0.963212218453326,1.0,0.3466449334420001,37000.0,8.072936E7
38000.0,141.092738182,0.0027967561770046185,38000.0,0.9962942202291978,0.84127892848696,0.951,0.7879595651872878,0.9962,0.1210762331838565,0.9721457013092178,1.0,0.5085774610715224,38000.0,8.93556E7
39000.0,145.585772861,0.002910356747953571,39000.0,0.9961133812408999,0.838246535469301,0.94,0.7260874328914207,0.9962942202291978,0.10375275938189846,0.9663202545932099,1.0,0.39737316507854675,39000.0,9.7733424E7
40000.0,149.783692507,0.0029992615503565776,40000.0,0.9971428571428571,0.8593035270853462,0.943,0.7292675976061554,0.9961133812408999,0.0989010989010989,0.968174900192438,1.0,0.42612635288195266,40000.0,8.1864032E7
41000.0,153.618695234,0.0030793647090219737,41000.0,0.9973903466768819,0.8624626436437597,0.954,0.7751798561151076,0.9971428571428571,0.1013215859030837,0.9743403958824955,1.0,0.5360393603936034,41000.0,8.0739552E7
42000.0,157.296047034,0.0031725272957401373,42000.0,0.9967483688186813,0.8487778099598168,0.944,0.757281553398058,0.9973903466768819,0.11607142857142858,0.9682458365518543,1.0,0.4358359318781478,42000.0,8.0742912E7
43000.0,161.249006082,0.0032726371104764606,43000.0,0.9952945543473514,0.8524769008405481,0.935,0.7233241959375482,0.9967483688186813,0.11358574610244988,0.96312871751565,1.0,0.34558651369702714,43000.0,9.7894144E7
44000.0,165.728856991,0.003378434668505161,44000.0,0.9930763162265405,0.8585348644913069,0.938,0.7430371352785143,0.9952945543473514,0.1210762331838565,0.9646207926136575,1.0,0.3770267184288644,44000.0,9.128816E7
45000.0,170.251548565,0.0034729139012556094,45000.0,0.9962968874700718,0.8581740000890796,0.942,0.751892886170167,0.9930763162265405,0.11731843575418995,0.9670550815368569,1.0,0.4179304192685096,45000.0,8.0749856E7
46000.0,174.149942751,0.0035715919196637287,46000.0,0.9996524624715524,0.8513415019881949,0.961,0.8139987409145538,0.9962968874700718,0.10987791342952276,0.9781179690488508,1.0,0.6085533493344967,46000.0,8.0753216E7
47000.0,178.031321175,0.0036700882154458167,47000.0,0.9965210746460746,0.8451031061576425,0.934,0.7361350988293996,0.9996524624715524,0.12612612612612611,0.9621204060177061,1.0,0.33929712460063977,47000.0,8.0756576E7
48000.0,182.384056396,0.0037802213288965895,48000.0,0.9985893594456285,0.8521196808139582,0.954,0.800182442118066,0.9965210746460746,0.122334455667789,0.9738442457802385,1.0,0.5403830141548703,48000.0,9.780432E7
49000.0,187.01872325,0.0038803426549307183,49000.0,0.995658419792498,0.8334442622390422,0.938,0.7383193348246316,0.9985893594456285,0.11731843575418995,0.9647415493194228,1.0,0.38113668771643844,49000.0,8.3504608E7
50000.0,191.154081305,0.003966745090868344,50000.0,0.9931575575139931,0.8305668820143016,0.941,0.7239120262049599,0.995658419792498,0.1001100110011001,0.96700233161608,1.0,0.40999999999999936,50000.0,8.076352E7
51000.0,195.300839122,0.004071588216353833,51000.0,0.9976526656471174,0.8556048955371113,0.95,0.761224821157391,0.9931575575139931,0.10253583241455347,0.9720458880008044,1.0,0.4993127822501465,51000.0,8.076688E7
