learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.139014974,5.063053453241786E-9,1000.0,0.9494374696209885,0.6606320599893519,0.928,0.6561637424666434,0.0,0.10253583241455347,0.9068740814673392,0.8817204301075269,0.2258064516129035,1000.0,140784.0,15.0,0.8225342545129686,0.17746574548703153,182.40000000000003,4.515370574888781,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.214498987,7.812250764059525E-9,2000.0,0.9801235286730372,0.7193821675002268,0.929,0.6857850947070281,0.9494374696209885,0.10741971207087486,0.9421387588725785,0.9587628865979382,0.2526315789473687,2000.0,140784.0,15.0,0.9390347918548412,0.06096520814515874,370.73333333333335,5.789536264566462,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.268669409,9.785187450510761E-9,3000.0,0.9800565469856809,0.7357017193759297,0.915,0.667589594381091,0.9801235286730372,0.12485939257592801,0.93221228854243,0.954954954954955,0.15282392026578154,3000.0,140784.0,15.0,0.9783797342819862,0.021620265718013756,587.5333333333333,5.935259184509263,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.312121938,1.136776859752834E-8,4000.0,0.9799006396726954,0.7423883594196705,0.929,0.7016556013110347,0.9800565469856809,0.11482720178372352,0.95139534333938,0.9805825242718447,0.29702970297029735,4000.0,140784.0,15.0,0.8727104410124709,0.12728955898752914,788.2666666666668,7.331904622731082,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.350930036,1.278119528775414E-8,5000.0,0.9809341142354808,0.7333281942155532,0.924,0.671850847574719,0.9799006396726954,0.10741971207087486,0.9437853478641137,0.9690721649484536,0.24151696606786438,5000.0,140784.0,15.0,0.8339669979216439,0.1660330020783562,974.3333333333334,8.066194397824297,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.390691652,1.422934998219212E-8,6000.0,0.9753544320473454,0.7252987739260366,0.911,0.6561316745228345,0.9809341142354808,0.12485939257592801,0.9299048288439213,0.954954954954955,0.127450980392157,6000.0,140784.0,15.0,0.8390381832704595,0.1609618167295403,1191.2,9.128813619262818,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.426938538,1.5549494971260428E-8,7000.0,0.9838765670202507,0.7505993054195589,0.925,0.6530026834459148,0.9753544320473454,0.09289617486338798,0.9530542690371784,0.9882352941176471,0.24677187948350088,7000.0,140784.0,15.0,0.8641173159115895,0.13588268408841062,1356.1333333333334,10.38307536177283,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.485192915,1.775146841434141E-8,8000.0,0.977732379979571,0.7143983359581745,0.907,0.645173597863411,0.9838765670202507,0.12359550561797752,0.9312747861253021,0.9636363636363636,0.07806691449814199,8000.0,146112.0,15.0,0.7273301712333088,0.27266982876669116,1573.4,11.323300881683883,3296.0,239.8475706419749,1.2666666666666668,0.18170270503179914,1.1333333333333335,0.0908513525158996,1.1333333333333335,0.0908513525158996,0.13333333333333333,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.527561948,1.935298730922242E-8,9000.0,0.9737447747874689,0.7089583427850196,0.913,0.6263721161939774,0.977732379979571,0.10375275938189846,0.9279628360704907,0.9468085106382979,0.13096559378468436,9000.0,146112.0,15.0,0.9258991073685249,0.07410089263147501,1761.3333333333333,12.873992486392185,3296.0,239.8475706419749,1.2666666666666668,0.18170270503179914,1.1333333333333335,0.0908513525158996,1.1333333333333335,0.0908513525158996,0.13333333333333333,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.572238041,2.110329103232672E-8,10000.0,0.9715890217571832,0.706211545982064,0.9,0.6131947023146429,0.9737447747874689,0.1210762331838565,0.9112775863563469,0.9259259259259259,0.008919722497522419,10000.0,151440.0,15.0,0.9770606640654866,0.02293933593451321,1977.0000000000002,14.075984275827151,3648.0,312.01465167062725,1.5333333333333332,0.23637473611411153,1.2666666666666668,0.11818736805705576,1.2666666666666668,0.11818736805705576,0.2666666666666667,0.11818736805705576,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.61761854,2.2978398648792258E-8,11000.0,0.9812873924625529,0.7207263931322154,0.913,0.6509668619112575,0.9715890217571832,0.11358574610244988,0.9421217249843785,0.9803921568627451,0.13861386138613876,11000.0,159720.0,15.0,0.9670139389940055,0.03298606100599461,2177.4,13.397512206873843,4195.2,449.16908683860754,1.9333333333333331,0.33046383948376135,1.4666666666666666,0.16523191974188067,1.4666666666666666,0.16523191974188067,0.4666666666666668,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.656252559,2.4601369625683874E-8,12000.0,0.9871074787833944,0.7489670210584722,0.931,0.6985899250406251,0.9812873924625529,0.10987791342952276,0.947979315827872,0.9696969696969697,0.31570247933884343,12000.0,162384.0,15.0,0.7136377573572321,0.2863622426427678,2364.4666666666662,14.382484938837008,4371.2,448.63139180655384,2.0666666666666664,0.33046383948376135,1.5333333333333332,0.16523191974188067,1.5333333333333332,0.16523191974188067,0.5333333333333333,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.69695867,2.636749438870077E-8,13000.0,0.9846022727272727,0.7458516763398855,0.925,0.7138715092324128,0.9871074787833944,0.13636363636363635,0.9426952012311521,0.9666666666666667,0.2669172932330832,13000.0,167712.0,15.0,0.8760014174138557,0.12399858258614439,2596.2666666666664,14.165170789371494,4723.2,432.46874040625335,2.333333333333333,0.3187276291558383,1.6666666666666665,0.15936381457791915,1.6666666666666665,0.15936381457791915,0.6666666666666666,0.15936381457791915,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.737071321,2.8163160145251698E-8,14000.0,0.9770482461694314,0.6974334553555905,0.914,0.6573595971186336,0.9846022727272727,0.1185682326621924,0.934881161361192,0.9622641509433962,0.16155988857938725,14000.0,173040.0,15.0,0.8995604488659188,0.10043955113408118,2803.2,15.505820719667696,5075.199999999999,393.81178970960946,2.5999999999999996,0.2894987457822984,1.7999999999999998,0.1447493728911492,1.7999999999999998,0.1447493728911492,0.7999999999999999,0.1447493728911492,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.776764325,2.999475131011878E-8,15000.0,0.9789705358505928,0.7109896530668395,0.917,0.6215368340416219,0.9770482461694314,0.09409190371991247,0.9333141289755431,0.9534883720930233,0.1819973718791071,15000.0,178368.0,15.0,0.9201536463775332,0.07984635362246682,2966.0,15.835764224420267,5427.2,414.51515223037563,2.8666666666666663,0.3065424178939254,1.9333333333333331,0.1532712089469627,1.9333333333333331,0.1532712089469627,0.9333333333333333,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.818040655,3.195937221933777E-8,16000.0,0.978161196911197,0.718528561285738,0.912,0.6648180876348346,0.9789705358505928,0.12612612612612611,0.9381138059265586,0.9732142857142857,0.1383108935128524,16000.0,183984.0,15.0,0.9487862302272145,0.05121376977278554,3186.4666666666662,15.904736241781395,5798.4,333.9978443044206,3.1333333333333333,0.23637473611411153,2.066666666666667,0.11818736805705576,2.066666666666667,0.11818736805705576,1.0666666666666667,0.11818736805705576,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.856703012,3.3829102241595585E-8,17000.0,0.9865291888557364,0.7439096090507238,0.935,0.6868918476271222,0.978161196911197,0.09529025191675794,0.9486574201374334,0.9655172413793104,0.3579314352120867,17000.0,186936.0,15.0,0.8696162773505876,0.13038372264941236,3354.4000000000005,16.88555313757606,5993.600000000001,379.0500004711025,3.266666666666667,0.2666666666666666,2.1333333333333333,0.1333333333333333,2.1333333333333333,0.1333333333333333,1.1333333333333335,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.898385038,3.590542317910741E-8,18000.0,0.9804431962187896,0.6971939130233036,0.926,0.6782468802991435,0.9865291888557364,0.10741971207087486,0.9449217544742805,0.9690721649484536,0.2673267326732676,18000.0,192552.0,15.0,0.97445892961298,0.02554107038701994,3542.933333333333,16.646597440594483,6364.8,346.0526136710593,3.5333333333333337,0.23637473611411156,2.2666666666666675,0.11818736805705576,2.2666666666666675,0.11818736805705576,1.2666666666666668,0.11818736805705578,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,0.936698831,3.7813961180628586E-8,19000.0,0.9780799397198342,0.7214183675381511,0.903,0.6147001811306365,0.9804431962187896,0.10741971207087486,0.940465008548797,0.9896907216494846,0.037597911227154425,19000.0,192552.0,15.0,0.9122134961630243,0.08778650383697562,3732.9333333333334,16.82500029481826,6364.8,346.0526136710593,3.5333333333333337,0.23637473611411156,2.2666666666666675,0.11818736805705576,2.2666666666666675,0.11818736805705576,1.2666666666666668,0.11818736805705578,0.0,0.0,0.0,0.0,1.0,0.0
