learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.179550056,6.533804524789254E-9,1000.0,0.9641984876238786,0.6946111061340308,0.984,0.9023389813955759,0.0,0.10375275938189846,0.931927589957884,0.8723404255319149,0.829787234042553,1000.0,140664.0,15.0,998.6666666666667,8.83481568873784,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.262803993,9.563405085187405E-9,2000.0,0.9984559365781711,0.7381145585029001,0.984,0.9042512447338183,0.9641984876238786,0.10619469026548672,0.933342551576896,0.875,0.8315789473684209,2000.0,140664.0,15.0,1990.5333333333333,12.091660513273357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.327768364,1.1927450581168134E-8,3000.0,0.9960230662159475,0.7071745619496629,0.98,0.8908547167134171,0.9984559365781711,0.11982082866741321,0.9246615062337146,0.8598130841121495,0.7979797979797978,3000.0,140664.0,15.0,2989.4,15.877147398818499,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.453532259,1.850112460622357E-8,4000.0,0.9980020778390474,0.6487265448347657,0.979,0.8699529353480305,0.9960230662159475,0.10741971207087486,0.8957358463534004,0.8041237113402062,0.7868020304568527,4000.0,202048.0,15.0,3983.5333333333333,15.59727285889813,6999.466666666666,351.86704559787603,4.0666666666666655,0.2666666666666666,2.5333333333333328,0.1333333333333333,2.5333333333333328,0.1333333333333333,1.5333333333333334,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.523835174,2.2362094432057605E-8,5000.0,0.9907199800697558,0.7430116478663802,0.983,0.9114066538814307,0.9980020778390474,0.1210762331838565,0.9531240427964514,0.9166666666666666,0.8306772908366533,5000.0,212288.0,15.0,4983.866666666667,16.370666759748385,7677.333333333333,315.7302445151356,4.466666666666666,0.2363747361141115,2.733333333333333,0.11818736805705575,2.733333333333333,0.11818736805705575,1.7333333333333332,0.11818736805705578,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.590081932,2.6170862147402433E-8,6000.0,0.9841441923092155,0.770007506621431,0.993,0.9646728707834548,0.9907199800697558,0.12866817155756208,0.9727790892433136,0.9473684210526315,0.9318181818181818,6000.0,222240.0,15.0,5980.666666666666,20.516350428880724,8336.0,176.0,4.866666666666667,0.1333333333333333,2.9333333333333336,0.06666666666666665,2.9333333333333336,0.06666666666666665,1.9333333333333331,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.671577921,3.166932696975768E-8,7000.0,0.9981992871150359,0.7628887004702621,0.989,0.9304008908685968,0.9841441923092155,0.09769484083424808,0.9524259985036041,0.9101123595505618,0.8907801418439716,7000.0,260800.0,15.0,6977.400000000001,20.572473518433963,10882.666666666666,172.8403245130539,6.866666666666666,0.13333333333333336,3.933333333333333,0.06666666666666668,3.933333333333333,0.06666666666666668,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.726025245,3.535072936467827E-8,8000.0,0.9991232912296653,0.7651511682639408,0.989,0.938624291389546,0.9981992871150359,0.11482720178372352,0.954246576619963,0.912621359223301,0.891089108910891,8000.0,261360.0,15.0,7989.533333333332,23.421168013382918,10920.000000000002,174.53939383417142,6.866666666666666,0.13333333333333336,3.933333333333333,0.06666666666666668,3.933333333333333,0.06666666666666668,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.780113095,3.9019580032763386E-8,9000.0,0.9988116458704694,0.7565482119374183,0.987,0.9247615519955551,0.9991232912296653,0.10987791342952276,0.9465709650575828,0.898989898989899,0.8710033076074971,9000.0,262200.0,15.0,8997.666666666668,24.060175882400852,10976.0,176.0,6.866666666666666,0.13333333333333336,3.933333333333333,0.06666666666666668,3.933333333333333,0.06666666666666668,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.831740183,4.252151394768308E-8,10000.0,0.9972226656025539,0.7822472611388882,0.988,0.9356119547137414,0.9988116458704694,0.11731843575418995,0.9633894231478499,0.9333333333333333,0.8814229249011856,10000.0,262200.0,15.0,10008.4,25.97284296007217,10976.0,176.0,6.866666666666666,0.13333333333333336,3.933333333333333,0.06666666666666668,3.933333333333333,0.06666666666666668,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.882589393,4.597068336521586E-8,11000.0,0.9998604910714286,0.7768221945213916,0.994,0.9669632631486212,0.9972226656025539,0.11607142857142858,0.970725343394151,0.9423076923076923,0.9408602150537634,11000.0,262200.0,15.0,11014.466666666669,24.648745098293183,10976.0,176.0,6.866666666666666,0.13333333333333336,3.933333333333333,0.06666666666666668,3.933333333333333,0.06666666666666668,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.931962578,4.931973204754914E-8,12000.0,0.9962082000581565,0.7755722625115644,0.984,0.9069496946786856,0.9998604910714286,0.10497237569060773,0.9527298132845724,0.9157894736842105,0.8414533443435176,12000.0,262200.0,15.0,12011.333333333334,19.574440736805958,10976.0,176.0,6.866666666666666,0.13333333333333336,3.933333333333333,0.06666666666666668,3.933333333333333,0.06666666666666668,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.980958015,5.264315758157522E-8,13000.0,0.997194072136864,0.7848810520224857,0.988,0.9455159638226,0.9962082000581565,0.14416475972540047,0.9725445326768664,0.9523809523809523,0.8833208676140611,13000.0,262200.0,15.0,13006.666666666666,18.024234127224805,10976.0,176.0,6.866666666666666,0.13333333333333336,3.933333333333333,0.06666666666666668,3.933333333333333,0.06666666666666668,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.047615377,5.7670769840416816E-8,14000.0,0.9974876417563245,0.7384077531429196,0.984,0.905162705233833,0.997194072136864,0.10497237569060773,0.9427644908146623,0.8947368421052632,0.8435754189944134,14000.0,291552.0,15.0,13999.133333333333,20.74743051599094,12914.666666666668,421.8400810357569,8.466666666666665,0.30654241789392545,4.7333333333333325,0.15327120894696272,4.7333333333333325,0.15327120894696272,2.799999999999999,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.107566259,6.251340492820989E-8,15000.0,0.9992400797365609,0.7519635205209343,0.989,0.9375042610731086,0.9974876417563245,0.11234705228031146,0.9533439227650604,0.9108910891089109,0.892367906066536,15000.0,312240.0,15.0,14986.666666666666,23.599569541406524,14283.2,244.92072964435616,9.266666666666666,0.18170270503179922,5.133333333333333,0.09085135251589961,5.133333333333333,0.09085135251589961,3.1333333333333337,0.09085135251589958,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.178502294,6.8487969381921E-8,16000.0,0.9980882842659629,0.7967347791283331,0.99,0.9389506843628282,0.9992400797365609,0.09769484083424808,0.9740462095443951,0.9550561797752809,0.9013563501849567,16000.0,325568.0,15.0,15983.066666666668,18.348859226683135,15163.733333333334,342.06397990610816,9.933333333333332,0.26666666666666666,5.466666666666666,0.13333333333333333,5.466666666666666,0.13333333333333333,3.4,0.1309307341415954,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.241221093,7.390011319082438E-8,17000.0,0.9983334181466592,0.7930770458642755,0.994,0.9626214801893844,0.9980882842659629,0.09409190371991247,0.9914460366046447,0.9883720930232558,0.9402810304449648,17000.0,333560.0,15.0,16985.866666666665,18.976643957059927,15691.733333333334,305.9325706389854,10.333333333333334,0.2519763153394848,5.666666666666667,0.1259881576697424,5.666666666666667,0.1259881576697424,3.5999999999999996,0.13093073414159542,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.293153387,7.852838994174162E-8,18000.0,0.9987306422949987,0.7948465866873499,0.995,0.9699258974112211,0.9983334181466592,0.1001100110011001,0.9873166577724569,0.978021978021978,0.9499722067815453,18000.0,344496.0,15.0,17975.0,23.70613744119764,16414.399999999994,456.0215199600413,10.866666666666667,0.36340541006359844,5.933333333333334,0.18170270503179922,5.933333333333334,0.18170270503179922,3.8,0.10690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.343262925,8.308890467483344E-8,19000.0,0.9997026398969152,0.8097352903594931,0.994,0.9666670370329218,0.9987306422949987,0.11234705228031146,0.9789072745651705,0.9603960396039604,0.94,19000.0,351800.0,15.0,18973.933333333334,23.394436999844242,16898.13333333333,452.5594290536845,11.133333333333331,0.3634054100635983,6.0666666666666655,0.18170270503179914,6.0666666666666655,0.18170270503179914,3.933333333333333,0.11818736805705574,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.394183783,8.7797239422258E-8,20000.0,0.9987107478783395,0.7939274283662981,0.988,0.9327346719133622,0.9997026398969152,0.10987791342952276,0.9659908197710173,0.9393939393939394,0.8799399699849924,20000.0,357416.0,15.0,19965.133333333335,23.0181846677106,17269.333333333336,356.3759741068903,11.4,0.2894987457822984,6.2,0.1447493728911492,6.2,0.1447493728911492,4.066666666666666,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.44991166,9.316445656081664E-8,21000.0,0.9996336996336996,0.8366192737119054,0.994,0.9640890591333492,0.9987107478783395,0.0989010989010989,0.9916932153924587,0.9888888888888889,0.9396840593585447,21000.0,372288.0,15.0,20965.4,23.9522938557539,18251.200000000004,490.24047743356095,12.200000000000001,0.3804758924845368,6.6000000000000005,0.1902379462422684,6.6000000000000005,0.1902379462422684,4.2,0.10690449676496971,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.501855214,9.825438578726726E-8,22000.0,0.9985916415563998,0.8101558470082703,0.989,0.9402134921842729,0.9996336996336996,0.11358574610244988,0.9719189281517723,0.9509803921568627,0.889548151528982,22000.0,378776.0,15.0,21961.266666666663,23.39789707006977,18680.533333333336,550.9048994644795,12.466666666666667,0.4125030062420516,6.733333333333333,0.2062515031210258,6.733333333333333,0.2062515031210258,4.2,0.10690449676496971,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.551655079,1.031524984358686E-7,23000.0,0.9976008699649099,0.7987792424429938,0.984,0.9126685224605643,0.9985916415563998,0.10987791342952276,0.9684538663705251,0.9494949494949495,0.8393013100436679,23000.0,380192.0,15.0,22979.600000000002,26.0360190066433,18774.933333333334,573.5438993176064,12.466666666666667,0.4125030062420516,6.733333333333333,0.2062515031210258,6.733333333333333,0.2062515031210258,4.2,0.10690449676496971,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.6029186,1.0824517779637959E-7,24000.0,0.9968102073365231,0.7815571112620543,0.985,0.9079664261522602,0.9976008699649099,0.09649122807017543,0.9605324604902754,0.9318181818181818,0.8486122792262404,24000.0,384008.0,15.0,23965.666666666668,24.246289194071373,19027.733333333334,666.1275686967006,12.600000000000001,0.48599431703516477,6.800000000000001,0.24299715851758238,6.800000000000001,0.24299715851758238,4.2666666666666675,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.652163571,1.1313732805310234E-7,25000.0,0.9978279560161093,0.807818792343113,0.987,0.9274569764067766,0.9968102073365231,0.10864745011086474,0.969826232579403,0.9489795918367347,0.8687399030694668,25000.0,384008.0,15.0,24959.933333333338,27.878728307860413,19027.733333333334,666.1275686967006,12.600000000000001,0.48599431703516477,6.800000000000001,0.24299715851758238,6.800000000000001,0.24299715851758238,4.2666666666666675,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.701747122,1.1806311391159895E-7,26000.0,0.9980952380952381,0.8161050539191723,0.992,0.9584825367170066,0.9978279560161093,0.11731843575418995,0.9913271151953971,0.9904761904761905,0.9194110809763657,26000.0,384008.0,15.0,25947.13333333333,26.447768231826963,19027.733333333334,666.1275686967006,12.600000000000001,0.48599431703516477,6.800000000000001,0.24299715851758238,6.800000000000001,0.24299715851758238,4.2666666666666675,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,1.751159214,1.229718664939288E-7,27000.0,0.9996288047512992,0.8361774939510795,0.995,0.9728243146292149,0.9980952380952381,0.11358574610244988,0.9884922380415164,0.9803921568627451,0.949683190458442,27000.0,384008.0,15.0,26955.533333333333,26.31636584164136,19027.733333333334,666.1275686967006,12.600000000000001,0.48599431703516477,6.800000000000001,0.24299715851758238,6.800000000000001,0.24299715851758238,4.2666666666666675,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,1.800271071,1.2785445190583876E-7,28000.0,0.9966303228021978,0.8238109293694423,0.989,0.9422050355176327,0.9996288047512992,0.11607142857142858,0.9810620926681092,0.9711538461538461,0.8894869034804448,28000.0,384296.0,15.0,27953.86666666666,22.891226571947545,19046.93333333333,661.6379636331601,12.600000000000001,0.48599431703516477,6.800000000000001,0.24299715851758238,6.800000000000001,0.24299715851758238,4.2666666666666675,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,1.847532871,1.325531089983736E-7,29000.0,0.9977737438777957,0.81250633570584,0.992,0.9551584587962288,0.9966303228021978,0.10741971207087486,0.9863437156505306,0.979381443298969,0.9195561719833564,29000.0,384296.0,15.0,28955.799999999996,23.814801319867314,19046.93333333333,661.6379636331601,12.600000000000001,0.48599431703516477,6.800000000000001,0.24299715851758238,6.800000000000001,0.24299715851758238,4.2666666666666675,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.8941523,1.371879030756363E-7,30000.0,0.9987205583018319,0.8248030257623462,0.989,0.9380700371579777,0.9977737438777957,0.10497237569060773,0.984485642468599,0.9789473684210527,0.8892245720040282,30000.0,384296.0,15.0,29946.13333333333,27.832982604006123,19046.93333333333,661.6379636331601,12.600000000000001,0.48599431703516477,6.800000000000001,0.24299715851758238,6.800000000000001,0.24299715851758238,4.2666666666666675,0.1532712089469627,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,1.942864383,1.420679445592149E-7,31000.0,0.9995704798510997,0.8071294743802919,0.996,0.9777780246886145,0.9987205583018319,0.11234705228031146,0.9844885589290227,0.9702970297029703,0.9597402597402597,31000.0,387248.0,15.0,30952.866666666665,28.440224141281664,19242.133333333335,696.2908934159402,12.733333333333334,0.5114560602703829,6.866666666666667,0.25572803013519146,6.866666666666667,0.25572803013519146,4.333333333333334,0.15936381457791915,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,1.992265489,1.4705167292160712E-7,32000.0,0.997926455566905,0.7980195099860214,0.987,0.9338691626818597,0.9995704798510997,0.12359550561797752,0.968513492992366,0.9454545454545454,0.8695924764890282,32000.0,389960.0,15.0,31953.333333333332,30.501938528038487,19420.266666666666,757.7759404157775,13.133333333333333,0.6005288674451217,7.066666666666666,0.30026443372256084,7.066666666666666,0.30026443372256084,4.533333333333335,0.19189944456771318,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,2.049235856,1.5323891854117732E-7,33000.0,0.9976046216711286,0.7627703494360379,0.992,0.9539106788956998,0.997926455566905,0.10375275938189846,0.9860232209773806,0.9787234042553191,0.9196102314250914,33000.0,419808.0,15.0,32945.73333333333,33.43571894826393,21393.600000000002,733.8873197536786,14.333333333333334,0.5404289889185184,7.666666666666667,0.2702144944592592,7.666666666666667,0.2702144944592592,5.133333333333334,0.1652319197418807,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,2.102181664,1.5914281487716987E-7,34000.0,0.9959916693702839,0.7918843552165171,0.987,0.9344017439044081,0.9976046216711286,0.11982082866741321,0.984490033283465,0.9813084112149533,0.8696549690356825,34000.0,431032.0,15.0,33936.2,34.73960276111393,22135.466666666667,785.52445244997,14.866666666666667,0.5679257720333551,7.933333333333334,0.2839628860166776,7.933333333333334,0.2839628860166776,5.4,0.21380899352993948,0.0,0.0,0.0,0.0,1.0,0.0
