learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.15872376,1.2088638146718342E-10,1000.0,0.7406653088934148,0.026733880223955328,0.982,0.0,0.0,0.018329938900203666,0.0,0.0,0.0,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.192683684,1.4675076577398512E-10,2000.0,0.9519257284676901,0.05031357416268698,0.989,0.0,0.7406653088934148,0.011122345803842264,0.0,0.0,0.24137931034482468,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.215746847,1.6431601448191537E-10,3000.0,0.937337003767024,0.05238399773782316,0.986,0.0,0.9519257284676901,0.014198782961460446,0.0,0.0,0.02325581395348585,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.250114086,2.1396240533639987E-10,4000.0,0.6875989066321393,0.03933652432367641,0.993,0.0,0.937337003767024,0.007049345417925478,0.0,0.0,0.4399999999999975,4000.0,5584.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.277399713,2.7003760165845354E-10,5000.0,0.9397681451612904,0.06563657074963809,0.992,0.0,0.6875989066321393,0.008064516129032258,0.0,0.0,0.3103448275862095,5000.0,7944.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.295049022,3.089024476396541E-10,6000.0,0.6986868686868687,0.030980041389222033,0.99,0.0,0.9397681451612904,0.010101010101010102,0.0,0.0,0.11764705882352654,6000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.313472577,3.4947223014508685E-10,7000.0,0.9444304435483871,0.07086332353201039,0.992,0.0,0.6986868686868687,0.008064516129032258,0.0,0.0,0.26315789473684426,7000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.33089128,3.878292677654988E-10,8000.0,0.8837313600179393,0.0788572407719246,0.991,0.0,0.9444304435483871,0.009081735620585268,0.0,0.0,0.15294117647058714,8000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.347880117,4.2523971445237593E-10,9000.0,0.930921052631579,0.10348805991098155,0.988,0.139908256880731,0.8837313600179393,0.012145748987854251,0.2885290069546752,0.08333333333333333,-0.11340206185567138,9000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.363245739,4.590757435249785E-10,10000.0,0.8623219680621493,0.037156773815104,0.993,0.0,0.930921052631579,0.007049345417925478,0.0,0.0,0.32692307692307404,10000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
11000.0,0.377272628,4.899638015549215E-10,11000.0,0.9717171717171718,0.06327002801946831,0.99,0.0,0.8623219680621493,0.010101010101010102,0.0,0.0,0.03508771929824373,11000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
12000.0,0.398141074,5.517679120000037E-10,12000.0,0.68563287066826,0.023023825602857897,0.989,0.0,0.9717171717171718,0.011122345803842264,0.0,0.0,-0.05600000000000469,12000.0,11448.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
13000.0,0.418289093,6.237394460145797E-10,13000.0,0.9561721240220226,0.09653797808160039,0.986,0.0,0.68563287066826,0.014198782961460446,0.0,0.0,-0.3093525179856157,13000.0,13808.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
