learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.119859071,4.3653778141116105E-9,1000.0,0.6041247484909457,0.12100480984460948,0.989,-0.005484460694693661,0.0,0.006036217303822937,0.0,0.0,-0.8333333333333334,1000.0,140784.0,15.0,0.9999999999925884,7.411542939677644E-12,17.06666666666667,0.7896151363113953,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.188650132,6.870811645636956E-9,2000.0,0.9235131048387096,0.5459802106952883,0.967,0.2568906503332745,0.6041247484909457,0.008064516129032258,0.852386356061616,0.75,-3.7142857142857144,2000.0,140784.0,15.0,0.9999996411917397,3.5880826036617304E-7,31.399999999999995,1.4269514624508,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.23940111,8.719209030643105E-9,3000.0,0.9819500674763832,0.7240382060806994,0.945,0.27094379639448457,0.9235131048387096,0.012145748987854251,0.9308949737171041,0.9166666666666666,-5.346153846153819,3000.0,140784.0,15.0,0.9997994451629453,2.0055483705469496E-4,53.666666666666664,1.581640699270002,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.279449397,1.0177804547064005E-8,4000.0,0.9961809045226131,0.8147639949974697,0.943,0.14130762277794434,0.9819500674763832,0.005025125628140704,0.970934378750282,1.0,-6.354838709677393,4000.0,140784.0,15.0,0.9999997881045691,2.118954307806697E-7,63.0,1.820517979665599,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.316797411,1.1538053632564841E-8,5000.0,0.9688888888888889,0.639640595292342,0.949,0.24800943674432369,0.9961809045226131,0.010101010101010102,0.9244162777371754,0.9,-5.219512195121968,5000.0,140784.0,15.0,0.9999999999999994,4.634916692302321E-18,81.86666666666666,2.1862485082173393,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.353164499,1.2862576489237445E-8,6000.0,0.990806342780027,0.77490046082714,0.941,0.25640250050413194,0.9688888888888889,0.012145748987854251,0.9288994838044349,0.9166666666666666,-5.679245283018854,6000.0,140784.0,15.0,0.9999823035653898,1.7696434610178143E-5,103.2,1.9103726886458077,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.387045231,1.4096543969251212E-8,7000.0,0.9844064386317908,0.7354208384052414,0.941,0.15978353745371554,0.990806342780027,0.006036217303822937,0.9698679617242104,1.0,-5.999999999999987,7000.0,140784.0,15.0,0.9999999965169504,3.483049588236358E-9,113.19999999999999,2.0706566706286798,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.420558579,1.531713098544627E-8,8000.0,0.9826213701087566,0.7317499974057813,0.941,0.2213893581081081,0.9844064386317908,0.009081735620585268,0.9697753232570859,1.0,-5.941176470588281,8000.0,140784.0,15.0,0.9999999999999994,1.4157659146082094E-19,130.66666666666666,2.444949442785633,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.453574333,1.6519595169636107E-8,9000.0,0.9915574596774194,0.8122260415436436,0.924,0.16166607836216035,0.9826213701087566,0.008064516129032258,0.960930328782578,1.0,-7.999999999999961,9000.0,140784.0,15.0,0.9999999980313201,1.9686798684703775E-9,144.73333333333332,2.4367555843329427,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.486493802,1.7718552565400796E-8,10000.0,0.9844152931943043,0.7357039784624416,0.939,0.21533316182145462,0.9915574596774194,0.009081735620585268,0.9687342329695716,1.0,-6.176470588235341,10000.0,140784.0,15.0,0.9999999983357191,1.6642808065899101E-9,160.86666666666667,2.819771464340878,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.520130154,1.894361950062215E-8,11000.0,0.9635995955510617,0.6603881005338534,0.929,0.1865634022272121,0.9844152931943043,0.011122345803842264,0.872410090353458,0.8181818181818182,-7.135416666666692,11000.0,140784.0,15.0,0.9468530529515434,0.053146947048456544,180.13333333333333,2.940467514928401,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.555246586,2.0222592313314474E-8,12000.0,0.9715221774193549,0.6640782771480013,0.931,0.15647921760391129,0.9635995955510617,0.008064516129032258,0.902784670500293,0.875,-6.961538461538415,12000.0,140784.0,15.0,0.9999980152047668,1.9847952331588708E-6,196.19999999999996,2.9923712527501856,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.588745921,2.1442668963136768E-8,13000.0,0.9706060606060606,0.6582310359235568,0.924,0.17677642980935984,0.9715221774193549,0.010101010101010102,0.912040668949681,0.9,-7.666666666666679,13000.0,140784.0,15.0,0.9999996411940054,3.5880599458874756E-7,216.06666666666666,3.185482944123478,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.620811184,2.2610515389243758E-8,14000.0,0.9739881152595582,0.6922299537559223,0.932,0.17725347852389658,0.9706060606060606,0.009081735620585268,0.9103803960559788,0.8888888888888888,-6.739837398373978,14000.0,140784.0,15.0,0.9154943525856771,0.08450564741432279,231.53333333333336,3.722347782767352,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.652418529,2.3761684019826348E-8,15000.0,0.9701010101010101,0.674738390032198,0.911,0.15286502950694816,0.9739881152595582,0.010101010101010102,0.9055385138137416,0.9,-9.037593984962376,15000.0,140784.0,15.0,0.9911370617834133,0.008862938216586515,249.66666666666669,3.700278839771874,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.684131315,2.49166929087912E-8,16000.0,0.9860131048387096,0.7550073407553505,0.912,0.14116177389131823,0.9701010101010101,0.008064516129032258,0.9546152746424316,1.0,-8.985815602836874,16000.0,140784.0,15.0,0.9999999791225037,2.087749616677014E-8,264.3333333333334,4.487725764759088,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.715139417,2.6046036557120577E-8,17000.0,0.960093896713615,0.6572716082802501,0.931,0.11678869489529371,0.9860131048387096,0.006036217303822937,0.8810928522878752,0.8333333333333334,-6.979591836734651,17000.0,140784.0,15.0,0.9977252221153114,0.0022747778846884514,276.0666666666667,4.704067810762721,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.746865821,2.7201541426194206E-8,18000.0,0.9848637739656912,0.7409722380188533,0.909,0.15111940298507462,0.960093896713615,0.009081735620585268,0.9529814069846939,1.0,-9.499999999999943,18000.0,140784.0,15.0,0.9999997413873399,2.5861265996447223E-7,292.66666666666663,5.037636129950016,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,0.778160833,2.8341334601106737E-8,19000.0,0.9818893074471168,0.7336941668196252,0.918,0.2358729685403311,0.9848637739656912,0.014198782961460446,0.9575153783606613,1.0,-8.164705882352976,19000.0,140784.0,15.0,0.9999985882988829,1.4117011170201775E-6,320.06666666666666,5.653036829601003,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.810000462,2.9500963229015463E-8,20000.0,0.9876855600539811,0.7615701531665339,0.912,0.19708029197080346,0.9818893074471168,0.012145748987854251,0.9544271444636667,1.0,-8.67032967032967,20000.0,140784.0,15.0,0.9928208546382334,0.00717914536176656,342.06666666666666,5.738314558148061,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,0.841839088,3.066055532673994E-8,21000.0,0.9906241382480008,0.8011511446420638,0.923,0.2067089755213063,0.9876855600539811,0.011122345803842264,0.9602830725224225,1.0,-7.378238341968904,21000.0,140784.0,15.0,0.9999999709952909,2.900470897829985E-8,363.4666666666667,5.312040829829697,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,0.87426234,3.184144004210829E-8,22000.0,0.9811111111111112,0.7330452842994991,0.915,0.1595807791180546,0.9906241382480008,0.010101010101010102,0.9075441386711522,0.9,-8.211822660098495,22000.0,140784.0,15.0,0.946855899972656,0.05314410002734406,384.53333333333336,5.208844736797546,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,0.90760782,3.305591315105557E-8,23000.0,0.9788306451612904,0.7029319654311696,0.915,0.14583165849344876,0.9811111111111112,0.008064516129032258,0.9561979481932766,1.0,-8.265402843601898,23000.0,140784.0,15.0,0.9999999999970431,2.956724914159163E-12,402.46666666666664,5.417666574376011,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,0.941293534,3.428277789580325E-8,24000.0,0.9821319796954314,0.7374324534197901,0.908,0.22552403400959742,0.9788306451612904,0.015228426395939087,0.9521549163721068,1.0,-8.769911504424815,24000.0,140784.0,15.0,0.9814600345479944,0.018539965452005557,431.1333333333334,5.647474502285801,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,0.97315593,3.544323571883142E-8,25000.0,0.9876667787868595,0.7608674810802462,0.93,0.19148051468040372,0.9821319796954314,0.009081735620585268,0.9640354135126774,1.0,-6.446808510638321,25000.0,140784.0,15.0,0.9999999997803549,2.196450590966239E-10,449.1333333333333,5.774217462270306,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.005443921,3.661919410393884E-8,26000.0,0.9851310483870968,0.7382783715298536,0.916,0.1300745650372817,0.9876667787868595,0.008064516129032258,0.8954268895427081,0.875,-7.987654320987605,26000.0,140784.0,15.0,0.9999991048837943,8.951162056741884E-7,465.26666666666665,5.721693610966755,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,1.037274192,3.7778481904864314E-8,27000.0,0.9863911290322581,0.7497686701646498,0.92,0.15426251691474918,0.9851310483870968,0.008064516129032258,0.9588299321097967,1.0,-7.605577689243069,27000.0,140784.0,15.0,0.9999999999999993,6.533983634814777E-16,481.8666666666667,5.636502348989018,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,1.069820667,3.896385451544077E-8,28000.0,0.975927337398374,0.705570042045504,0.922,0.2435996896819243,0.9863911290322581,0.016260162601626018,0.8985647996594301,0.875,-7.1797752808988475,28000.0,140784.0,15.0,0.9998156530175699,1.8434698242998304E-4,513.1999999999999,6.3584963781130055,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,1.101636127,4.0122602886098133E-8,29000.0,0.9820344129554656,0.7237051148592656,0.925,0.22610203070827098,0.975927337398374,0.012145748987854251,0.9612955158669528,1.0,-6.795698924731209,29000.0,140784.0,15.0,0.9999989609355834,1.0390644167097988E-6,535.7333333333335,6.697879313752025,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
