learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.993296399,4.7096406920523695E-7,1000.0,0.5,0.0,0.992,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,1000.0,1832976.0
2000.0,3.225711828,1.5466990727166127E-6,2000.0,0.7347546531302876,0.45564985161211946,0.97,0.3044284720612115,0.5,0.015228426395939087,0.6754581073777522,0.4666666666666667,-1.6086956521739257,2000.0,1862656.0
3000.0,5.324933878,5.613982404081213E-6,3000.0,0.9956565656565657,0.8794989793190588,0.952,0.28186714542190255,0.7347546531302876,0.010101010101010102,0.9754563811443091,1.0,-3.3636363636363638,3000.0,4676896.0
4000.0,7.559673725,8.369945502815748E-6,4000.0,0.9903517587939699,0.7241480881928397,0.944,0.1435999388285671,0.9956565656565657,0.005025125628140704,0.9714517965214867,1.0,-4.8947368421052975,4000.0,4767040.0
5000.0,9.714936365,9.02551163844576E-6,5000.0,0.9907160584612557,0.7707544361389937,0.955,0.31577666950492744,0.9903517587939699,0.011122345803842264,0.9769848998008245,1.0,-3.5918367346938673,5000.0,1175760.0
6000.0,11.559498927,1.5869067889296252E-5,6000.0,0.9949596774193549,0.7897752394448436,0.946,0.2174820310688604,0.9907160584612557,0.008064516129032258,0.9724014171776141,1.0,-4.684210526315823,6000.0,1.3570688E7
7000.0,13.885886049,3.342161092471211E-5,7000.0,0.9896130159021969,0.7295698167691165,0.947,0.2798130231546889,0.9949596774193549,0.011122345803842264,0.972836325222489,1.0,-4.455882352941203,7000.0,2.7993328E7
8000.0,16.580647107,6.341248378343673E-5,8000.0,0.9959718026183283,0.7888989435760609,0.957,0.2362344582593261,0.9896130159021969,0.007049345417925478,0.9781088273535973,1.0,-3.58666666666666,8000.0,3.5251488E7
9000.0,19.18741283,9.242402791974596E-5,9000.0,0.9932383829664796,0.7235100187310378,0.963,0.26563988567799374,0.9959718026183283,0.007049345417925478,0.9811927304151498,1.0,-3.0609756097561194,9000.0,4.302008E7
10000.0,22.100841934,1.1319688209208971E-4,10000.0,0.9911425047651082,0.7372128132375285,0.957,0.28409696323921096,0.9932383829664796,0.009081735620585268,0.9780641519697544,1.0,-3.725274725274731,10000.0,2.7560944E7
11000.0,24.340813196,1.3818544192052104E-4,11000.0,0.9887878787878788,0.6804598070869308,0.96,0.3220338983050847,0.9911425047651082,0.010101010101010102,0.9795896894087645,1.0,-3.356435643564361,11000.0,4.1484992E7
12000.0,27.224619462,1.8020455071995274E-4,12000.0,0.9923232323232323,0.7193236184360431,0.964,0.3464052287581696,0.9887878787878788,0.010101010101010102,0.9816498172140428,1.0,-2.8918918918919037,12000.0,5.6322656E7
13000.0,30.291428734,2.3721011673107003E-4,13000.0,0.9931606682363494,0.708626326690928,0.966,0.3362745480810519,0.9923232323232323,0.009081735620585268,0.9826958944601836,1.0,-2.683333333333323,13000.0,4.0764736E7
14000.0,33.414677147,2.8272078278341846E-4,14000.0,0.9906060606060606,0.7245784050333893,0.959,0.31643881293764564,0.9931606682363494,0.010101010101010102,0.9790739801393246,1.0,-3.4153846153846454,14000.0,5.6326016E7
15000.0,36.592280093,3.374933515231075E-4,15000.0,0.9930695564516129,0.6899550502236482,0.966,0.3107362958157638,0.9906060606060606,0.008064516129032258,0.9827134915384101,1.0,-2.6956521739130523,15000.0,6.5110624E7
16000.0,40.062532982,4.099171103147457E-4,16000.0,0.9913131313131314,0.7014957779804813,0.97,0.3902439024390255,0.9930695564516129,0.010101010101010102,0.9847319278346619,1.0,-2.243243243243253,16000.0,8.0671904E7
17000.0,44.169113708,4.887152423559191E-4,17000.0,0.9881072874493927,0.6651729212155515,0.964,0.38825448613376795,0.9913131313131314,0.012145748987854251,0.9816123231889651,1.0,-2.825000000000008,17000.0,7.4171648E7
18000.0,47.803095138,5.628288193330051E-4,18000.0,0.9901507537688442,0.6524325650023645,0.963,0.20566766852726345,0.9881072874493927,0.005025125628140704,0.981230895534664,1.0,-3.0363636363636446,18000.0,7.7925104E7
19000.0,51.591959977,6.547206977194992E-4,19000.0,0.9902127178094592,0.6700782411093534,0.968,0.5021160069703763,0.9901507537688442,0.018329938900203666,0.9563629053810411,0.9444444444444444,-2.3224043715846974,19000.0,7.7928464E7
20000.0,55.456422081,7.481531317759969E-4,20000.0,0.9946182307433569,0.6896932033667577,0.964,0.3231810490693742,0.9902127178094592,0.009081735620585268,0.9816685069399237,1.0,-2.7499999999999827,20000.0,9.3456816E7
21000.0,59.919459334,8.381325088612984E-4,21000.0,0.9870951417004049,0.6981415741906358,0.957,0.3453105968331305,0.9946182307433569,0.012145748987854251,0.9779967959014602,1.0,-3.4264705882353157,21000.0,7.7931824E7
22000.0,63.696059484,9.296369826279885E-4,22000.0,0.9943147208121828,0.724627563622472,0.969,0.48004025494800456,0.9870951417004049,0.015228426395939087,0.9841381604133262,1.0,-2.11415525114156,22000.0,7.7935184E7
23000.0,67.729996072,0.001027311324958258,23000.0,0.9886213077702439,0.6364870121045509,0.966,0.42155228146585405,0.9943147208121828,0.013171225937183385,0.9826251463900849,1.0,-2.3706896551724346,23000.0,8.7163696E7
24000.0,71.914381234,0.0011314875930703333,24000.0,0.9933817446456475,0.7146627269189979,0.964,0.36804409647860153,0.9886213077702439,0.011122345803842264,0.9816310893360406,1.0,-2.555555555555541,24000.0,9.6236432E7
25000.0,76.195183528,0.0012207982720828729,25000.0,0.9877571718342509,0.6876021952534512,0.965,0.4320763289413909,0.9933817446456475,0.014198782961460446,0.982091157987052,1.0,-2.4046692607004068,25000.0,8.0645584E7
26000.0,80.003772522,0.0013115833498953838,26000.0,0.9918139669660968,0.6726965677174843,0.967,0.44708799678305655,0.9877571718342509,0.014198782961460446,0.9831233087269734,1.0,-2.1660516605166245,26000.0,8.7850208E7
27000.0,84.145942427,0.001422432556850944,27000.0,0.9931059840058829,0.6990092918567068,0.962,0.35507959675503303,0.9918139669660968,0.011122345803842264,0.9806005052310823,1.0,-2.638297872340417,27000.0,8.7853568E7
28000.0,88.400009547,0.0015363161973751644,28000.0,0.9929993252361673,0.6987962964361213,0.97,0.4122257053291528,0.9931059840058829,0.012145748987854251,0.9432711481008026,0.9166666666666666,-1.8571428571428723,28000.0,1.00675168E8
29000.0,92.833652025,0.0016671624146544243,29000.0,0.9855837563451777,0.6410579517323576,0.96,0.41477688368690624,0.9929993252361673,0.015228426395939087,0.9794849988356955,1.0,-2.75404530744337,29000.0,1.14078256E8
30000.0,97.537322302,0.0017988281418849577,30000.0,0.9934475806451613,0.6884690546151903,0.971,0.3469645108989382,0.9855837563451777,0.008064516129032258,0.9852746464982534,1.0,-1.744479495268155,30000.0,1.08202736E8
31000.0,102.162464903,0.0019165176108127727,31000.0,0.9963000336360579,0.7206767102538257,0.973,0.3912337662337665,0.9934475806451613,0.009081735620585268,0.9862833229545374,1.0,-1.567484662576688,31000.0,9.8359168E7
32000.0,106.488571224,0.0020266016864306713,32000.0,0.9955151922861307,0.6976572594521034,0.96,0.2996953674848553,0.9963000336360579,0.009081735620585268,0.9796104994206507,1.0,-2.8208955223880534,32000.0,9.8362528E7
33000.0,110.8432259,0.0021433799154238395,33000.0,0.9935312914036318,0.6679637179706933,0.966,0.42155228146585405,0.9955151922861307,0.013171225937183385,0.9826251463900849,1.0,-2.224137931034492,33000.0,9.8365888E7
34000.0,115.23665055,0.0022727177936615224,34000.0,0.9912810194500336,0.691188866974167,0.967,0.2589598490972798,0.9935312914036318,0.006036217303822937,0.9832602935281043,1.0,-2.1694915254237346,34000.0,9.8369248E7
35000.0,119.768823094,0.0024062214205305735,35000.0,0.9873991935483871,0.6202955325393553,0.964,0.29819089207735444,0.9912810194500336,0.008064516129032258,0.981687158630159,1.0,-2.4806629834254323,35000.0,9.8372608E7
36000.0,124.375949597,0.0025420939444304918,36000.0,0.9916497975708503,0.6539560100187044,0.969,0.42558553216721107,0.9873991935483871,0.012145748987854251,0.9841867108335575,1.0,-1.9839572192513386,36000.0,9.8375968E7
