learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.176885373,1.3471853663523993E-10,1000.0,0.7972592902878344,0.0439093277177561,0.983,0.0,0.0,0.017293997965412006,0.0,0.0,0.0,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.217237412,1.6545125100347732E-10,2000.0,0.9658291457286432,0.11490871420754926,0.995,0.0,0.7972592902878344,0.005025125628140704,0.0,0.0,0.5454545454545454,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.247983856,1.8886820104387074E-10,3000.0,0.9351962496552992,0.039057149062913514,0.989,0.0,0.9658291457286432,0.011122345803842264,0.0,0.0,0.0,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.295444435,2.5752725644451053E-10,4000.0,0.6771673387096774,0.029097127791813664,0.992,0.0,0.9351962496552992,0.008064516129032258,0.0,0.0,0.2195121951219491,4000.0,5592.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.325395983,3.0302637145130177E-10,5000.0,0.8109248991935484,0.05935543077408396,0.992,0.0,0.6771673387096774,0.008064516129032258,0.0,0.0,0.18367346938775694,5000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.351138661,3.4213183160664316E-10,6000.0,0.9785850431662743,0.06715054528525367,0.991,0.0,0.8109248991935484,0.009081735620585268,0.0,0.0,0.06896551724138288,6000.0,5872.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
7000.0,0.387499971,4.2220163563266407E-10,7000.0,0.7521022536158762,0.018843229834568355,0.991,0.0,0.9785850431662743,0.009081735620585268,0.0,0.0,0.05970149253731188,7000.0,8512.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.4167515,5.044743157178165E-10,8000.0,0.977570564516129,0.06914566899520726,0.992,0.0,0.7521022536158762,0.008064516129032258,0.0,0.0,0.14666666666666792,8000.0,10872.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.438029511,5.643207255192102E-10,9000.0,0.9911111111111112,0.07145224803415168,0.99,0.0,0.977570564516129,0.010101010101010102,0.0,0.0,-0.05882352941176194,9000.0,10872.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.461854061,6.348303432534967E-10,10000.0,0.8595959595959596,0.08709611175511141,0.99,0.0,0.9911111111111112,0.010101010101010102,0.0,0.0,-0.05263157894737457,10000.0,11440.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
