learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.241698903,9.1720601862669E-9,1000.0,0.7743267276422764,0.307837627454618,0.969,0.1898390131716481,0.0,0.016260162601626018,0.4951492342997637,0.25,-0.9375,1000.0,146688.0,15.0,0.9999978802689878,2.119731012081478E-6,1106.4666666666667,8.419855595790718,3334.4,390.4,1.2666666666666668,0.2666666666666666,1.1333333333333335,0.1333333333333333,1.1333333333333335,0.1333333333333333,0.13333333333333336,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.332670124,1.2624262508551281E-8,2000.0,0.9861169289689427,0.6198873199505214,0.974,0.5070342421599486,0.7743267276422764,0.017293997965412006,0.8968058132208849,0.8235294117647058,-0.575757575757581,2000.0,146688.0,15.0,0.9999987295763505,1.2704236493814902E-6,2219.2666666666664,12.840956301232328,3334.4,390.4,1.2666666666666668,0.2666666666666666,1.1333333333333335,0.1333333333333333,1.1333333333333335,0.1333333333333333,0.13333333333333336,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.417885616,1.615221735427777E-8,3000.0,0.9830731066686123,0.6129129325115539,0.968,0.46912638110089916,0.9861169289689427,0.021450459652706845,0.8338560547450748,0.7142857142857143,-0.7777777777777778,3000.0,160032.0,15.0,0.992023338791834,0.007976661208165939,3364.4,17.376174163820668,4215.466666666667,758.9946098476443,2.066666666666666,0.5474326805028538,1.5333333333333334,0.27371634025142694,1.5333333333333334,0.27371634025142694,0.5333333333333333,0.27371634025142694,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.520100325,2.255417786145169E-8,4000.0,0.900765306122449,0.19949484972324488,0.973,0.16871921182265817,0.9830731066686123,0.02040816326530612,0.38531725597889077,0.15,-0.4594594594594638,4000.0,242104.0,15.0,0.9999629960250294,3.7003974970640705E-5,4505.666666666667,18.588953879904317,9642.666666666666,428.41380381774263,5.666666666666667,0.31872762915583835,3.3333333333333335,0.15936381457791918,3.3333333333333335,0.15936381457791918,2.1333333333333337,0.1333333333333333,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.613010531,2.9384614220160166E-8,5000.0,0.9399776253708838,0.49396443813536556,0.97,0.4298095563918337,0.900765306122449,0.021450459652706845,0.7477774842242436,0.5714285714285714,-0.5789473684210527,5000.0,284176.0,15.0,0.994974788143667,0.005025211856332936,5647.933333333333,19.467547272971913,12421.866666666667,508.9914384785312,7.8,0.38047589248453667,4.3999999999999995,0.19023794624226842,4.3999999999999995,0.19023794624226842,2.466666666666667,0.16523191974188067,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.684083379,3.4869997905457604E-8,6000.0,0.9445011916922029,0.5596823060489283,0.978,0.549013980566603,0.9399776253708838,0.021450459652706845,0.8102173548314918,0.6666666666666666,-0.1379310344827608,6000.0,298336.0,15.0,0.9987463559186625,0.0012536440813374768,6782.866666666666,22.69798956204555,13357.866666666667,422.25225891489333,8.466666666666667,0.30654241789392533,4.733333333333334,0.15327120894696256,4.733333333333334,0.15327120894696256,2.733333333333333,0.15327120894696272,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.750313836,4.012337847349752E-8,7000.0,0.9894233555491162,0.658803780684877,0.976,0.4678964171692089,0.9445011916922029,0.014198782961460446,0.8769150505011427,0.7857142857142857,-0.29230769230769343,7000.0,306608.0,15.0,0.9974968444609352,0.0025031555390647147,7883.533333333333,22.028740245992203,13904.533333333333,559.2312909927313,8.866666666666667,0.4125030062420516,4.933333333333334,0.2062515031210258,4.933333333333334,0.2062515031210258,2.933333333333333,0.18170270503179917,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.821199315,4.604952666170482E-8,8000.0,0.9827780460325125,0.6005028635912424,0.974,0.5237571894347363,0.9894233555491162,0.019367991845056064,0.8785037687571897,0.7894736842105263,-0.39597315436241715,8000.0,323160.0,15.0,0.9176758144743121,0.0823241855256879,9024.8,24.50115643529234,14998.400000000001,432.83390413809843,9.666666666666668,0.3187276291558383,5.333333333333334,0.15936381457791915,5.333333333333334,0.15936381457791915,3.266666666666667,0.11818736805705576,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.904526269,5.400499940209919E-8,9000.0,0.9686153846153847,0.5153957221550922,0.968,0.514047076689445,0.9827780460325125,0.02564102564102564,0.8375789285425352,0.72,-0.6551724137931066,9000.0,369048.0,15.0,0.9977926788307644,0.0022073211692354585,10210.0,26.217587699136324,18030.4,525.8178283126472,11.933333333333334,0.38379888913542637,6.466666666666667,0.19189944456771318,6.466666666666667,0.19189944456771318,3.8,0.10690449676496976,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.976583381,6.141883883910047E-8,10000.0,0.9860204081632653,0.6157547468173701,0.97,0.5324189526184534,0.9686153846153847,0.02040816326530612,0.9350324669687755,0.9,-0.5463917525773231,10000.0,397712.0,15.0,0.9999955016842882,4.4983157118164454E-6,11346.333333333336,28.45140663803004,19925.333333333332,587.6575182282269,13.266666666666666,0.43057731639837393,7.133333333333333,0.21528865819918697,7.133333333333333,0.21528865819918697,3.933333333333333,0.06666666666666665,0.0,0.0,0.0,0.0,1.0,0.0
