learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.18849357,1.4355951249599458E-10,1000.0,0.9744044454781049,0.7921390445669764,0.946,0.8889291120910945,0.0,0.6778523489932886,0.9486119380147584,0.9628712871287128,0.8663366336633662,1000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.230239405,1.7535376267300713E-10,2000.0,0.982625930901793,0.7868877262070563,0.947,0.8917616305191356,0.9744044454781049,0.6835016835016835,0.952183141123041,0.9827586206896551,0.8691358024691357,2000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.265012598,2.0183754477236007E-10,3000.0,0.9838434982738781,0.7936221229457208,0.945,0.8866680403873891,0.982625930901793,0.6528925619834711,0.9498349441738617,0.9746835443037974,0.863070539419087,3000.0,2944.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.329661131,3.393808338128858E-10,4000.0,0.9607606448945846,0.7629533847204161,0.933,0.8642900546890826,0.9838434982738781,0.6949152542372882,0.9399409795619841,0.9853658536585366,0.8340557275541797,4000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.351749484,3.863750126461188E-10,5000.0,0.9851574920508744,0.8208730209168507,0.962,0.9224591073818929,0.9607606448945846,0.6891891891891891,0.9673731497260045,1.0,0.9060800790904596,5000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6000.0,0.377738327,4.4166769723925325E-10,6000.0,0.9886154592280421,0.8521428240874096,0.97,0.938094294770206,0.9851574920508744,0.6556291390728477,0.9748492836473823,1.0,0.9255890863993385,6000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.398222036,4.852479082180394E-10,7000.0,0.98665,0.8318342566256756,0.955,0.9079001227998361,0.9886154592280421,0.6666666666666666,0.9614312247893761,0.9975,0.8882582476055337,7000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.419857288,5.312780898975001E-10,8000.0,0.9781728685607269,0.8025772848350194,0.948,0.8943093727261271,0.98665,0.6863406408094435,0.9548564998782301,0.9975429975429976,0.8710477371357718,8000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
9000.0,0.443789889,5.821960071971019E-10,9000.0,0.9876204093919325,0.8235774956136,0.959,0.9157931057145673,0.9781728685607269,0.6556291390728477,0.9654632076355957,1.0,0.89812258420762,9000.0,8224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.48487544,7.257281519058677E-10,10000.0,0.9635757446861747,0.7917859474106863,0.941,0.8796664926249835,0.9876204093919325,0.6638935108153078,0.9486852761286313,0.9924812030075187,0.8532703307634916,10000.0,13504.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
11000.0,0.499489355,7.767817829632096E-10,11000.0,0.9885307494561993,0.8617734582058049,0.963,0.9234860579189862,0.9635757446861747,0.6366612111292962,0.969248954184742,1.0,0.9077097505668933,11000.0,13504.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
12000.0,0.513904914,8.271424584339061E-10,12000.0,0.9823850574712644,0.8380544017478948,0.948,0.8950597352276396,0.9885307494561993,0.7241379310344828,0.954119923063242,1.0,0.870807453416149,12000.0,13504.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
13000.0,0.527016458,8.729475647293858E-10,13000.0,0.9889885690075727,0.8447828407763149,0.953,0.9048629216394345,0.9823850574712644,0.7152658662092625,0.9588443587403352,1.0,0.8835525061940155,13000.0,13504.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
